fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,76632,14,257,510,14.9,0,0,0,71.7,86.6,1,3,121,3,46.4,0,9,194,0,3,1,0,35,263,109,0,40,14,9.4,2,Elijah Jones,6,5,58,90.6,69.6,1,1,CB,91.6,18.1,0,0,13,BOSTON COL,4,9,32.5,44.0,26,0,0,363,524
0,84268,5,413,797,12.1,0,0,0,69.5,85.0,0,7,305,3,81.3,0,14,303,0,0,0,0,125,380,51,0,52,5,16.3,4,Josh Newton,6,1,120,76.9,59.6,1,0,CB,77.2,64.8,0,0,25,TCU,9,12,48.1,45.0,33,0,0,620,802
0,97180,18,261,480,16.9,0,0,0,75.7,86.9,0,2,222,10,62.8,0,9,338,0,5,6,0,73,208,303,2,38,18,6.7,0,Mike Sainristil,5,5,183,77.3,74.5,3,7,CB,77.2,69.7,1,0,20,MICHIGAN,29,12,52.6,69.0,18,0,2,99,498
0,97232,10,463,810,17.3,0,0,0,68.9,86.8,0,7,214,5,55.8,0,10,468,0,0,0,0,42,355,29,0,56,10,18.4,5,Micah Abraham,9,3,108,76.0,52.7,5,0,CB,76.4,84.5,0,0,27,MARSHALL,2,12,48.2,43.0,26,0,0,739,820
0,97250,5,367,584,14.5,0,0,1,80.9,86.1,2,6,220,6,75.7,0,12,349,1,2,2,0,28,212,68,2,40,5,14.0,2,Jaden Davis,4,0,131,76.8,64.9,1,4,CB,73.8,96.8,1,0,24,MIAMI FL,10,12,60.0,56.0,31,0,0,486,589
0,97486,2,217,397,9.9,1,0,1,76.3,87.1,1,5,167,1,95.2,0,11,149,0,1,1,0,23,175,344,3,29,2,20.0,0,Jarrian Jones,3,3,108,90.1,52.6,0,4,CB,85.8,27.0,2,0,15,FLORIDA ST,7,11,51.7,33.0,19,0,1,29,399
0,98832,5,328,657,17.4,0,1,0,51.7,85.7,0,7,268,5,69.8,0,8,435,0,0,0,0,37,331,35,0,55,4,18.9,4,M.J. Devonshire,5,4,142,61.9,48.6,3,0,CB,63.1,60.8,0,0,25,PITTSBURGH,3,12,45.5,54.0,25,1,1,585,662
0,98875,1,254,470,11.2,0,0,0,52.4,84.0,0,5,115,4,51.0,0,8,134,0,2,1,0,27,213,13,1,26,1,17.2,2,Nehemiah Pritchett,3,1,25,71.0,53.4,1,1,CB,74.6,58.8,0,0,12,AUBURN,4,9,46.2,28.0,20,1,0,427,471
0,98888,16,401,722,14.2,0,0,0,75.4,86.2,0,5,226,4,70.5,0,15,327,0,0,1,0,56,330,5,4,41,16,12.5,3,Deantre Prince,5,1,76,77.8,72.3,2,2,CB,76.6,88.2,1,0,23,OLE MISS,7,12,56.1,51.0,31,0,0,661,738
0,99773,17,330,584,9.3,0,0,1,61.0,45.4,0,6,167,5,66.9,0,12,269,0,5,2,0,28,261,15,2,54,17,12.8,6,Renardo Green,9,1,99,79.2,73.0,3,4,CB,82.0,78.4,1,0,29,FLORIDA ST,10,12,53.7,22.0,36,0,0,535,601
0,100379,2,360,689,12.0,0,0,0,53.3,86.1,0,7,115,6,52.1,0,17,385,0,1,0,0,50,327,32,5,52,2,13.7,1,D.J. James,10,2,109,83.9,65.6,3,0,CB,89.0,87.4,0,0,32,AUBURN,4,12,61.5,68.0,38,0,0,605,691
0,101365,22,196,313,10.1,0,0,0,67.7,86.9,0,4,266,3,58.4,0,6,201,0,10,1,0,24,123,192,2,40,22,20.0,1,Daequan Hardy,5,2,113,68.9,56.4,1,2,CB,68.7,52.2,1,0,20,PENN STATE,16,10,50.0,30.0,13,1,0,87,335
0,102955,6,308,566,9.1,1,0,0,73.7,42.4,2,4,258,4,60.0,0,6,137,0,2,0,0,13,263,53,1,28,6,16.7,4,Cam Hart,2,0,42,83.3,58.7,0,0,CB,84.2,67.1,0,0,15,NOTRE DAME,1,12,53.6,38.0,16,0,0,498,572
0,122537,53,411,694,9.6,0,0,0,66.0,55.0,0,10,193,5,64.4,0,14,240,0,2,1,0,60,333,18,3,49,53,16.9,3,T.J. Tampa,6,2,99,75.8,52.7,1,1,CB,78.3,54.8,0,0,25,IOWA STATE,3,12,51.0,30.0,44,0,0,614,747
0,123377,4,349,646,12.1,1,0,0,83.4,47.2,1,6,339,4,52.9,0,11,436,0,2,0,0,46,295,77,1,64,4,11.8,2,Caelen Carson,4,0,146,73.7,68.2,4,0,CB,71.7,98.2,0,0,36,WAKE,6,11,56.3,41.0,41,0,0,521,650
0,124075,14,384,639,11.8,0,0,0,60.7,87.4,0,14,202,4,63.3,0,21,435,0,2,1,0,42,266,207,1,54,14,22.6,4,Andru Phillips,4,0,155,68.1,51.1,3,1,CB,68.7,111.3,0,0,37,KENTUCKY,3,11,68.5,39.0,44,1,0,387,653
0,124183,3,421,778,9.2,0,0,0,72.8,86.3,0,3,227,16,74.8,0,21,396,0,2,0,0,47,357,9,0,67,3,3.9,5,Decamerion Richardson,2,0,149,86.4,90.3,2,1,CB,86.5,90.1,1,0,43,MISS STATE,3,12,64.2,48.0,57,1,0,720,781
0,124194,3,445,754,13.5,0,0,0,55.1,52.5,1,4,229,4,50.0,0,16,324,0,13,2,0,53,305,64,3,49,3,7.5,2,Kris Abrams-Draine,10,4,83,85.1,78.4,3,2,CB,89.9,56.8,0,0,24,MISSOURI,7,12,49.0,46.0,45,0,0,624,757
