fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,74867,442,1,1,,0,79,1,66.2,83.5,0,2,138,8,61.8,0,14,0,0,0,12,8,0,208,0,3,0,47,7.4,0,Jowon Briggs,0,0,0,65.8,69.6,0,15,DI,61.1,0.0,2,308,0,CINCINNATI,234,12,,,17,0,0,0,443
0,75763,262,2,4,,0,169,3,63.1,82.6,0,3,261,2,69.3,0,8,0,0,0,13,57,4,96,0,2,0,5,21.4,0,Jonah Laulu,0,0,0,68.4,29.5,0,17,DI,59.6,0.0,1,31,0,OKLAHOMA,168,12,,,9,0,0,0,266
0,76958,401,0,2,,0,330,3,67.0,42.1,0,5,167,6,73.1,0,18,0,0,0,17,20,1,167,1,1,0,24,14.3,3,Braden Fiske,0,0,0,70.7,55.5,0,23,DI,60.0,0.0,3,27,0,FLORIDA ST,236,12,,,24,0,0,0,403
0,83508,544,11,22,,0,330,3,72.8,68.8,0,4,227,13,62.4,0,17,0,2,0,16,63,22,263,0,0,0,34,12.1,1,Jaden Crumedy,0,0,0,68.3,73.9,0,22,DI,56.4,0.0,3,117,0,MISS STATE,292,12,,,16,0,0,0,566
0,97610,434,0,2,,0,315,1,90.6,84.0,0,0,140,17,67.2,0,13,0,0,0,17,54,2,184,0,3,0,22,0.0,0,Tyler Davis,0,0,0,84.5,84.2,0,20,DI,60.0,0.0,2,43,0,CLEMSON,252,12,,,17,0,0,0,436
0,97937,531,0,2,,1,400,1,87.4,84.5,1,8,115,12,63.4,0,30,0,1,0,15,12,1,233,0,5,0,5,16.7,1,Marcus Harris,0,0,0,82.1,53.4,0,23,DI,68.0,0.0,7,114,0,AUBURN,300,12,,,28,0,0,0,533
1,98175,547,0,1,,1,396,3,67.6,52.0,1,12,154,10,66.2,0,15,0,3,0,17,15,1,253,0,4,0,94,29.3,2,DeWayne Carter,0,0,0,68.4,30.3,0,22,DI,63.0,0.0,2,42,0,DUKE,295,12,,,19,1,0,0,548
0,98944,302,0,2,,0,177,3,73.7,82.1,0,3,173,4,63.5,0,7,0,1,0,7,42,2,131,0,2,0,2,18.8,0,Zion Logue,0,0,0,71.6,51.7,0,10,DI,60.0,0.0,0,81,0,GEORGIA,173,12,,,9,0,0,0,304
0,99321,432,1,2,,0,343,3,92.0,84.1,0,4,311,14,85.7,0,24,0,6,0,24,52,1,168,0,9,0,8,9.5,1,T'Vondre Sweat,0,0,0,91.7,68.7,0,29,DI,59.7,0.0,2,29,0,TEXAS,265,12,,,24,0,0,0,434
0,99325,378,0,1,,0,262,0,75.0,85.1,0,3,211,17,60.2,0,13,0,1,0,4,113,1,196,0,4,0,0,8.3,0,Jordan Jefferson,0,0,0,72.1,65.0,0,6,DI,60.5,0.0,2,3,0,LSU,183,12,,,16,0,0,0,379
0,99768,408,1,1,,0,271,4,78.6,85.0,0,3,140,4,66.9,0,17,0,1,0,17,63,1,173,0,3,0,36,13.6,0,Ruke Orhorhoro,0,0,0,75.8,68.8,0,26,DI,59.3,0.0,5,38,0,CLEMSON,235,12,,,15,0,0,0,409
0,100452,488,4,6,,1,219,7,69.7,29.8,0,3,264,5,77.7,0,16,0,6,0,31,6,6,156,0,2,0,126,14.3,3,Brandon Dorlus,0,0,0,75.8,72.1,0,42,DI,65.7,0.0,4,137,0,OREGON,334,12,,,13,0,0,0,494
0,101416,621,2,4,,0,503,6,80.8,32.5,0,5,192,15,68.6,0,20,0,3,0,16,93,4,282,0,4,0,1,11.4,4,Logan Lee,0,0,0,77.4,56.7,0,23,DI,70.5,0.0,1,24,0,IOWA,341,12,,,24,0,0,0,625
0,124076,342,0,1,,0,213,0,65.6,84.5,0,2,115,7,57.5,0,7,0,0,0,6,127,0,184,0,1,0,0,11.1,0,Justin Rogers,0,0,0,64.0,62.4,0,7,DI,60.0,0.0,1,2,0,AUBURN,159,12,,,9,0,0,0,343
0,124324,430,0,0,,1,179,2,76.9,66.2,1,7,312,7,70.0,0,15,0,0,0,8,235,0,202,0,3,0,4,26.9,1,McKinnley Jackson,0,0,0,76.8,36.6,0,14,DI,60.0,0.0,4,12,0,TEXAS A&M,228,12,,,12,0,0,0,430
0,128050,341,0,3,,0,227,2,80.0,83.4,0,2,211,6,71.1,0,8,0,0,0,9,38,2,139,0,0,0,6,9.5,0,Mekhi Wingo,0,0,0,79.3,62.6,0,14,DI,60.5,0.0,3,70,0,LSU,205,7,,,13,0,0,0,344
0,129420,735,0,14,,1,330,7,77.1,55.2,2,12,187,15,84.0,0,32,0,2,0,29,5,13,347,0,1,0,12,20.0,3,Jer'Zhan Newton,0,0,0,84.9,48.7,0,43,DI,67.0,0.0,7,388,0,ILLINOIS,402,12,,,33,1,0,0,749
0,129584,313,2,1,,0,173,0,78.5,82.4,0,2,222,3,69.2,0,21,0,0,0,12,9,1,146,0,2,0,22,6.9,0,Kris Jenkins,0,1,0,78.7,53.8,0,14,DI,63.5,0.0,2,109,0,MICHIGAN,166,12,,,24,0,0,0,314
0,146774,528,1,4,,0,407,2,56.7,21.3,0,0,211,6,74.8,0,12,0,2,0,15,49,3,220,0,2,0,5,0.0,4,Maason Smith,0,0,0,64.7,82.0,0,19,DI,64.1,0.0,2,67,0,LSU,311,11,,,16,1,0,0,532
