fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,75742,579,19,6,-2.0,1,57,12,77.4,57.3,4,5,326,8,82.0,0,30,-2,1,0,21,0,5,264,1,4,1,450,11.4,2,Solomon Byrd,0,0,5,81.9,70.3,0,40,ED,63.4,79.2,7,72,1,USC,302,12,100.0,-2.0,31,0,0,0,585
0,76807,437,14,7,17.0,1,7,6,73.5,29.8,0,2,140,5,72.3,0,13,34,1,0,29,0,6,163,1,1,3,395,9.1,3,Xavier Thomas,0,0,34,69.7,71.9,0,38,ED,42.0,104.9,3,35,2,CLEMSON,267,11,66.7,22.0,15,0,0,0,444
3,82474,608,20,6,,4,9,5,78.2,88.9,1,11,341,18,76.5,0,24,0,2,0,26,2,3,271,3,2,0,574,19.0,0,Brennan Jackson,0,0,0,82.3,62.3,0,40,ED,71.4,0.0,9,23,0,WASH STATE,323,12,,,29,0,0,0,614
0,83500,564,35,6,-3.0,0,18,4,59.5,88.3,0,10,315,7,63.1,0,28,-3,1,0,19,1,3,254,2,3,2,368,23.3,0,Myles Cole,0,0,3,64.9,53.8,0,27,ED,73.3,56.3,4,177,1,TEXAS TECH,281,12,50.0,-3.0,26,0,0,0,570
0,83514,495,3,1,8.0,1,9,9,84.7,70.4,0,3,258,13,73.4,0,26,8,2,0,21,0,1,209,0,5,1,445,7.0,1,Javontae Jean-Baptiste,0,0,9,81.3,79.1,0,35,ED,57.6,100.0,5,41,1,NOTRE DAME,284,12,100.0,8.0,27,0,0,0,496
1,97731,590,8,22,,1,3,12,72.2,0.0,2,11,144,12,91.2,1,29,0,0,0,38,0,22,262,0,3,0,568,23.4,7,Mohamed Kamara,0,0,0,85.9,55.3,0,64,ED,72.5,0.0,14,19,0,COLO STATE,342,12,,,24,1,0,0,612
0,97821,492,2,0,7.5,1,36,9,79.4,47.9,1,4,318,9,87.8,0,28,15,0,0,19,1,0,210,0,3,2,202,11.8,2,Javon Solomon,0,0,23,87.1,75.3,0,43,ED,61.8,97.9,15,253,2,TROY,280,12,100.0,13.0,21,0,0,0,492
0,98344,472,19,85,5.7,0,3,3,83.4,53.1,2,6,347,13,84.7,1,35,17,1,0,28,0,85,250,0,4,3,435,10.5,2,Marshawn Kneeland,0,0,9,89.7,73.0,0,37,ED,74.4,90.3,6,34,3,W MICHIGAN,288,10,100.0,8.0,38,0,0,0,557
0,98925,547,1,3,,0,136,4,86.6,69.6,0,2,103,18,62.4,0,26,0,2,0,15,24,3,234,0,3,0,249,4.2,1,Justin Eboigbe,0,0,0,78.1,82.0,0,25,ED,65.8,0.0,6,138,0,ALABAMA,315,12,,,28,0,0,0,550
0,98946,464,5,1,,1,15,6,81.0,68.2,1,7,229,7,76.2,0,25,0,0,0,23,0,1,197,0,3,0,351,20.0,1,Darius Robinson,0,0,0,82.4,57.1,0,37,ED,67.8,0.0,8,98,0,MISSOURI,263,11,,,21,0,0,0,465
