fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,77127,174,310,542,9.2,2,0,7,83.5,88.1,2,6,248,31,76.8,0,67,221,3,7,9,0,490,255,44,11,37,174,4.7,0,Payton Wilson,3,3,164,89.8,90.6,0,22,LB,90.4,47.2,6,0,24,NC STATE,151,12,64.9,25.0,92,0,1,1,716
0,81317,34,242,706,12.7,2,0,6,70.6,32.2,2,6,227,34,74.3,0,46,203,2,0,19,0,652,333,52,4,21,34,5.4,2,Nathaniel Watson,0,1,174,72.4,90.0,0,35,LB,63.0,86.0,10,0,16,MISS STATE,165,12,76.2,49.0,71,0,0,2,740
0,81459,18,268,478,8.1,0,0,0,78.1,45.9,1,9,340,13,75.8,0,31,138,0,2,6,0,403,198,68,3,28,18,10.7,2,Edefuan Ulofoshio,2,1,133,86.0,76.0,0,9,LB,88.0,58.3,3,0,17,WASHINGTON,30,12,60.7,48.0,62,0,1,5,496
0,83822,22,201,402,8.0,2,0,0,80.7,84.5,3,5,222,12,93.8,0,24,112,0,0,14,0,363,177,35,1,22,22,10.0,0,Michael Barrett,2,0,88,89.9,70.3,0,16,LB,72.1,76.3,2,0,14,MICHIGAN,46,12,63.6,27.0,33,0,0,4,424
0,86008,28,287,590,10.6,0,0,0,73.1,23.8,0,9,324,17,73.5,0,30,180,4,0,12,0,547,218,42,5,23,28,13.0,2,Darius Muasau,1,1,162,79.1,72.8,2,16,LB,81.0,107.2,4,0,17,UCLA,113,12,73.9,32.0,43,0,0,1,618
0,98155,14,249,543,7.1,0,0,3,83.1,84.5,0,13,306,20,90.7,0,41,85,1,1,11,0,470,276,70,9,16,14,14.9,0,Jordan Magee,2,0,41,89.5,63.1,0,20,LB,79.8,86.7,6,0,12,TEMPLE,32,11,75.0,18.0,54,0,0,2,557
0,98532,29,198,419,6.9,0,0,2,68.7,83.0,0,12,167,13,69.5,0,28,90,0,0,7,0,381,210,38,4,24,29,19.4,1,Tatum Bethune,1,0,72,68.7,56.6,0,9,LB,63.0,62.8,0,0,13,FLORIDA ST,40,11,54.2,21.0,37,0,0,0,448
0,98781,35,252,527,11.0,0,0,1,60.9,19.7,0,17,229,13,64.2,0,29,231,1,1,13,0,469,223,56,4,30,35,22.7,3,Ty'Ron Hopper,2,0,199,51.5,47.6,1,17,LB,39.6,103.6,3,0,21,MISSOURI,87,10,70.0,37.0,45,0,0,1,562
0,100609,24,193,319,8.0,0,0,1,51.7,83.9,2,1,264,6,72.9,0,13,88,0,0,9,0,249,100,65,3,16,24,4.2,0,Jamal Hill,2,0,61,68.3,81.9,0,12,LB,71.8,82.3,2,0,11,OREGON,50,12,68.8,16.0,17,0,0,5,343
0,101488,18,269,589,11.5,0,0,2,67.3,51.5,1,8,260,27,65.2,0,31,207,1,2,8,0,552,274,35,2,24,18,8.7,1,Tommy Eichenberg,2,0,122,61.9,79.7,0,11,LB,52.7,100.5,1,0,18,OHIO STATE,64,10,75.0,21.0,57,0,0,0,607
0,102787,41,233,572,10.7,0,0,7,76.6,54.7,1,13,258,29,80.8,0,30,118,0,0,17,0,536,284,34,5,19,41,16.0,2,JD Bertrand,2,0,47,82.2,61.5,0,28,LB,72.8,76.2,4,0,11,NOTRE DAME,96,11,57.9,21.0,39,0,0,2,613
0,102789,148,191,447,6.2,1,0,4,66.5,33.7,1,10,258,14,66.9,0,22,62,0,1,16,0,421,275,19,3,11,148,18.9,2,Marist Liufau,1,0,52,74.3,52.1,0,25,LB,84.1,90.2,5,0,10,NOTRE DAME,129,12,90.9,12.0,29,0,0,6,595
0,122025,10,333,768,12.1,2,0,0,77.3,60.3,1,15,330,19,84.0,0,75,255,4,11,9,0,729,405,24,11,32,10,9.9,2,Tyrice Knight,2,0,188,82.9,80.4,1,14,LB,69.9,100.4,5,0,21,UTEP,40,12,65.6,32.0,117,0,0,4,778
0,122835,24,379,856,7.2,2,0,7,62.7,63.6,2,19,245,31,76.5,0,54,245,0,1,9,0,773,401,76,8,49,24,14.6,1,Cedric Gray,3,1,221,74.0,60.8,1,21,LB,78.0,79.0,5,0,34,N CAROLINA,100,12,69.4,29.0,80,0,0,3,880
