snap_counts_ce,player_id,non_spike_pass_block_percentage,grades_run_block,franchise_id,pass_block_percent,hurries_allowed,snap_counts_block,snap_counts_run_block,pbe,snap_counts_rg,hits_allowed,sacks_allowed,block_percent,grades_offense,penalties,player,non_spike_pass_block,snap_counts_pass_play,position,grades_pass_block,snap_counts_te,pressures_allowed,snap_counts_rt,team_name,snap_counts_pass_block,player_game_count,snap_counts_offense,declined_penalties,snap_counts_lt,snap_counts_lg
0,99434,100.0,77.5,199,100.0,7,870,449,98.6,0,0,2,100.0,82.0,2,Cooper Beebe,401,421,G,90.1,0,9,103,KANSAS ST,421,12,870,1,19,748
868,129915,100.0,61.1,349,100.0,8,868,371,98.7,0,2,1,100.0,65.9,5,Tanor Bortolini,477,497,C,80.3,0,11,0,WISCONSIN,497,12,868,1,0,0
0,98261,100.0,74.5,121,100.0,7,862,440,99.1,826,0,0,100.0,74.9,5,Christian Mahogany,394,422,G,82.2,2,7,32,BOSTON COL,422,12,862,1,2,0
0,77487,100.0,66.8,199,100.0,12,861,446,97.7,0,2,2,100.0,71.7,2,KT Leveston,395,415,T,74.4,5,16,0,KANSAS ST,415,12,861,0,855,0
0,158192,100.0,73.2,187,100.0,20,841,323,95.8,0,2,9,100.0,65.6,6,Isaiah Adams,479,518,T,56.0,1,31,730,ILLINOIS,518,12,841,0,9,101
0,81748,100.0,85.8,229,100.0,12,831,412,98.2,0,0,1,100.0,83.7,10,Javon Foster,395,419,T,80.5,5,13,0,MISSOURI,419,12,831,0,825,0
76,77345,100.0,86.5,339,100.0,5,811,358,99.0,0,1,1,100.0,82.5,5,Michael Jurgens,421,453,G,81.2,0,7,0,WAKE,453,12,811,1,0,735
776,99067,100.0,77.6,111,100.0,9,809,387,98.1,0,0,3,100.0,74.5,3,Beaux Limmer,402,422,C,61.5,0,12,0,ARKANSAS,422,12,809,0,0,33
806,123419,100.0,74.8,343,100.0,3,806,447,99.1,0,3,0,100.0,77.1,4,Zach Frazier,328,359,C,83.8,0,6,0,W VIRGINIA,359,12,806,1,0,0
0,100525,100.0,68.7,328,100.0,24,803,415,96.1,0,5,0,100.0,65.4,4,Sataoa Laumea,372,388,T,54.0,0,29,798,UTAH,388,12,803,1,4,1
