fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,73864,7,399,608,8.5,2,0,1,64.4,86.9,1,13,264,15,84.3,0,32,195,0,243,0,0,235,200,123,1,29,7,15.9,1,Evan Williams,2,0,56,77.2,67.7,0,6,S,78.1,94.7,5,0,23,OREGON,16,11,79.3,40.0,54,0,0,7,615
0,83349,25,416,703,10.1,1,0,1,90.0,55.9,1,11,265,15,67.5,0,21,212,1,168,6,0,263,277,257,1,35,25,14.3,1,Kitan Oladapo,6,2,58,85.5,72.8,1,9,S,82.5,63.0,2,0,21,OREGON ST,35,12,60.0,40.0,51,0,0,15,728
0,83413,1,328,578,7.8,0,0,0,66.9,6.4,0,8,103,8,64.8,0,14,94,0,222,0,0,187,247,161,3,19,1,14.0,3,Jaylen Key,0,1,57,70.6,65.3,0,0,S,73.3,53.4,0,0,12,ALABAMA,4,10,63.2,17.0,41,0,0,8,579
0,83452,25,503,766,14.8,0,0,0,69.0,26.3,0,14,340,30,54.7,0,8,413,0,309,0,0,221,282,214,0,44,25,13.6,3,Dominique Hampton,5,2,161,69.4,73.5,1,0,S,70.9,82.9,0,0,28,WASHINGTON,6,12,63.6,68.0,59,1,0,22,791
0,97348,9,394,738,8.4,0,0,3,77.5,20.8,0,8,315,15,90.9,0,15,142,1,438,4,0,109,338,186,1,31,9,9.9,2,Dadrion Taylor-Demerson,4,4,72,79.2,79.3,2,8,S,76.7,48.8,1,0,17,TEXAS TECH,15,12,54.8,21.0,58,1,0,4,747
0,97895,13,414,755,15.0,1,0,0,70.2,21.7,1,6,225,15,71.3,0,13,90,0,468,4,0,198,341,84,0,20,13,9.4,2,Tyler Nubin,4,5,38,89.2,84.3,2,5,S,90.1,39.6,1,0,6,MINNESOTA,13,12,30.0,46.0,43,0,0,5,768
0,98876,4,343,646,11.3,1,0,1,48.0,87.6,0,7,115,12,60.2,0,7,169,0,299,2,0,150,297,195,0,25,4,14.9,2,Jaylin Simpson,4,4,64,76.9,65.9,1,3,S,87.4,54.0,0,0,15,AUBURN,10,12,60.0,30.0,28,0,1,1,650
0,99500,52,305,505,6.7,0,0,0,68.6,52.1,0,9,173,11,83.4,0,25,187,0,13,7,0,65,223,398,4,50,52,13.0,2,Tykee Smith,2,4,177,82.7,70.3,3,9,S,85.0,51.0,2,0,28,GEORGIA,29,12,56.0,49.0,49,1,0,29,557
0,101309,21,447,783,9.2,2,0,1,51.9,88.4,2,22,130,19,87.3,0,17,194,0,357,2,0,247,338,171,1,34,21,23.2,1,Patrick McMorris,2,1,112,67.2,46.0,2,4,S,70.6,84.7,1,0,21,CAL,19,12,61.8,44.0,54,0,0,8,804
0,124196,19,375,614,12.1,1,0,0,60.3,87.4,1,12,229,15,90.9,0,23,350,0,299,5,0,153,244,141,3,41,19,17.4,0,Jaylon Carlies,3,2,191,67.1,56.4,5,6,S,65.3,115.9,1,0,29,MISSOURI,14,11,70.7,33.0,42,0,0,21,633
0,125278,17,357,639,9.4,0,0,0,75.5,52.2,1,10,101,20,71.4,0,22,198,0,181,3,0,307,294,147,2,35,17,12.7,3,Trey Taylor,4,3,119,84.6,71.3,1,5,S,88.9,49.5,2,0,21,AIR FORCE,5,12,60.0,21.0,49,0,1,3,656
