player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Marcus Harris,97230,CB,CAL,13,2,0,55.2,0,0,130,0,0,73.9,74.2,19.3,60.0,76.7,81.1,0,0,0,2,27.0,7.1,4,6,3,82.9,37,0,0,41,713,490,802,10,0,0,10,0,6,792,1,311,31,16,50,3,67,0,4,440,99,11.9
Quincy Riley,97539,CB,LOUISVILLE,10,4,1,47.7,0,0,210,0,0,65.1,62.4,85.2,66.1,40.2,39.9,0,2,0,2,55.0,25.6,11,9,2,73.0,31,0,0,23,475,336,554,0,0,0,0,0,2,554,6,212,54,7,28,3,65,2,3,446,176,14.4
Darien Porter,99553,CB,IOWA STATE,12,5,0,29.4,0,0,193,0,0,90.1,79.4,85.3,55.3,36.8,50.4,0,0,0,3,32.0,20.8,5,2,0,4.7,5,0,0,42,344,203,425,27,0,0,27,0,1,398,4,218,11,5,14,2,17,0,0,70,22,14.0
Zah Frazier,104231,CB,UTSA,12,5,2,47.4,0,1,331,0,0,82.5,85.9,84.2,93.9,82.1,80.5,0,2,0,6,35.0,6.5,2,5,2,37.7,18,0,0,44,441,294,498,5,0,0,5,0,5,493,4,200,2,6,24,1,38,2,1,246,57,13.7
Mac McWilliams,121497,CB,UCF,11,2,0,55.3,0,1,323,0,0,84.8,81.6,85.8,52.7,66.0,57.2,0,0,0,1,20.0,16.7,6,1,0,69.3,21,1,0,38,428,297,542,15,0,0,15,0,4,527,9,236,57,17,28,5,38,1,2,133,35,6.3
Trey Amos,122628,CB,OLE MISS,13,6,0,51.6,0,1,226,0,0,85.6,85.6,86.2,52.2,81.0,76.4,0,0,0,3,24.0,11.5,6,10,3,54.5,32,0,0,68,759,515,841,4,0,0,4,0,7,837,3,323,2,16,40,3,62,0,2,280,92,8.8
Korie Black,122958,CB,OKLA STATE,12,4,0,55.4,0,0,262,0,0,74.5,73.9,87.3,62.5,63.2,70.8,0,1,0,3,50.0,10.3,4,9,2,77.2,31,0,0,24,600,387,690,15,0,0,15,0,7,675,1,302,44,7,31,0,56,1,3,449,150,14.5
Jahdae Barron,123105,CB,TEXAS,16,10,1,54.4,0,0,311,1,0,91.1,90.7,87.2,58.4,83.4,80.5,0,4,0,5,43.0,9.5,7,9,2,34.2,37,1,0,142,679,541,971,12,0,0,12,0,15,959,21,409,122,19,57,2,68,5,0,284,131,7.7
Kobee Minor,123148,CB,MEMPHIS,11,6,0,53.8,0,2,218,0,0,70.0,72.1,45.9,87.7,75.1,65.2,2,0,0,0,71.0,16.3,8,3,1,96.2,21,2,0,64,527,386,617,14,0,0,14,0,1,603,5,226,9,15,35,5,39,4,2,301,81,14.3
Dorian Strong,123366,CB,VA TECH,12,5,0,46.6,1,1,337,1,0,75.0,73.9,51.4,57.4,65.3,69.8,0,0,0,2,63.0,5.6,2,6,3,61.6,27,0,0,21,683,408,748,4,0,0,4,0,1,744,2,338,38,6,29,0,58,0,1,408,174,15.1
Nohl Williams,128375,CB,CAL,13,12,0,47.7,1,1,130,0,0,78.2,80.0,86.6,60.0,78.7,81.0,1,0,1,7,45.0,5.7,3,9,3,40.1,31,0,0,45,785,535,877,4,0,0,4,0,3,873,1,341,38,8,38,1,65,1,3,350,103,11.3
Robert Longerbeam,129886,CB,RUTGERS,12,8,0,56.4,0,0,278,0,0,73.6,71.2,85.3,48.4,58.6,46.9,0,0,0,2,44.0,20.4,11,9,3,73.3,31,0,0,43,471,349,545,17,0,0,17,0,0,528,5,191,14,12,35,2,55,0,2,360,186,11.6
Donte Kent,130439,CB,C MICHIGAN,12,13,0,56.1,1,0,134,0,0,67.6,69.9,88.9,58.9,74.4,75.9,0,0,0,0,45.0,10.4,7,5,3,78.7,37,0,0,67,215,385,743,4,0,0,4,0,12,739,10,348,442,15,47,0,66,0,1,393,198,10.6
Micah Robinson,139042,CB,TULANE,14,5,0,46.8,1,1,319,0,0,80.7,84.3,84.0,59.6,90.0,68.9,0,1,1,2,42.0,13.0,6,4,1,52.8,22,0,0,60,477,294,546,1,0,0,1,0,1,545,1,251,7,13,35,1,47,1,1,252,102,11.5
