player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ty Hamilton,66298,DI,OHIO STATE,16,14,0,0.0,0,1,260,1,0,58.7,65.0,71.5,60.9,67.0,66.6,1,12,0,0,,7.8,4,0,1,39.6,0,6,0,3,0,4,669,664,39,595,1,29,0,5,374,291,0,28,33,2,1,19,0,0,0,
Darius Alexander,98333,DI,TOLEDO,12,7,3,0.0,0,0,316,0,0,71.8,90.1,54.2,78.0,90.3,53.6,8,25,1,1,,15.0,6,0,2,0.0,0,4,0,6,0,10,630,624,8,545,22,49,0,6,327,293,0,27,27,4,1,37,0,0,0,
Ty Robinson,101446,DI,NEBRASKA,13,8,4,,0,1,238,0,0,59.4,75.1,26.4,79.5,70.2,48.8,11,25,0,0,,17.5,7,0,4,0.0,0,6,1,1,0,3,598,596,61,303,102,130,0,2,355,240,0,28,25,7,0,42,0,0,0,
Aeneas Peebles,122379,DI,VA TECH,12,8,2,,0,0,337,0,0,60.2,89.1,30.4,91.2,78.5,55.3,3,31,0,0,,13.3,4,0,3,0.0,0,3,0,0,0,4,516,515,36,384,17,78,0,1,289,223,0,20,18,3,0,37,0,0,0,
Rylie Mills,122907,DI,NOTRE DAME,13,6,0,,0,0,258,0,0,62.5,71.8,21.6,83.1,61.9,79.5,5,21,0,0,,3.4,1,0,4,0.0,0,8,0,1,0,0,539,536,13,438,10,75,0,3,291,248,1,21,22,1,0,34,0,0,0,
Vernon Broughton,123107,DI,TEXAS,16,1,2,,0,2,311,3,0,63.2,86.1,49.9,86.3,79.0,52.3,2,26,0,0,,16.7,6,0,2,0.0,0,4,0,0,0,0,588,588,47,338,37,166,0,0,348,240,0,26,29,1,0,32,0,0,0,
Alfred Collins,123110,DI,TEXAS,16,26,6,,0,1,311,0,0,72.8,87.2,70.2,69.8,85.0,79.1,0,17,0,0,,3.0,2,0,1,0.0,0,1,0,0,0,1,593,593,146,299,19,129,0,0,305,287,0,27,38,2,0,18,0,0,0,
Tim Smith,123935,DI,ALABAMA,13,10,1,,1,0,103,1,0,65.5,73.7,14.5,64.7,78.9,79.3,1,8,0,0,,3.2,1,0,4,0.0,0,2,0,0,0,0,453,453,5,268,74,106,0,0,216,237,0,18,20,1,0,11,0,0,0,
JJ Pegues,123998,DI,OLE MISS,13,13,0,,0,0,226,1,0,65.1,74.6,17.9,65.6,81.8,54.8,3,24,0,0,,13.2,5,0,6,0.0,0,4,0,1,0,0,487,485,39,242,128,76,0,2,293,194,0,22,20,9,0,31,0,0,0,
Warren Brinson,124013,DI,GEORGIA,12,3,0,,0,0,173,0,0,65.3,73.9,60.9,65.1,75.5,59.7,3,11,0,0,,16.7,5,0,1,0.0,0,2,0,0,0,0,405,404,50,209,9,136,0,1,226,179,0,18,22,4,0,16,0,0,0,
