player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Elijah Roberts,122222,ED,SMU,13,3,2,,1,2,287,1,0,80.2,91.1,57.3,90.7,81.3,49.4,7,45,0,0,,24.2,8,0,3,0.0,0,8,0,38,0,5,590,552,1,7,488,56,0,38,372,213,0,25,22,5,0,60,0,0,0,
Jalen McLeod,122248,ED,AUBURN,12,15,1,90.9,1,2,115,1,0,65.6,89.1,52.2,90.7,85.7,57.9,6,19,0,0,14.0,18.8,13,1,2,91.7,10,7,0,145,0,123,598,418,0,5,389,24,0,180,206,269,35,36,41,6,11,32,0,66,48,6.6
Kyle Kennard,122483,ED,S CAROLINA,12,10,1,,0,3,289,2,0,63.4,77.0,16.9,80.7,72.3,64.2,6,23,0,0,,15.4,4,0,5,0.0,0,10,0,1,0,4,554,552,0,1,533,18,0,2,310,240,1,18,12,4,0,39,0,0,0,
Quandarrius Robinson,123932,ED,ALABAMA,9,5,0,,0,1,103,1,0,69.7,86.0,16.2,90.3,76.1,72.7,6,10,0,0,,10.0,2,0,2,0.0,0,3,0,47,0,38,246,193,0,0,193,0,1,53,108,100,5,12,13,4,0,19,0,0,0,
Jordan Burch,124227,ED,OREGON,10,10,4,0.0,0,1,264,1,0,59.4,77.6,65.7,81.3,68.1,82.4,2,20,0,0,,4.0,1,1,1,39.6,0,10,0,0,0,5,426,426,1,21,281,123,0,0,246,175,0,14,14,1,1,32,0,0,0,
Tyler Baron,124268,ED,MIAMI FL,13,5,0,75.0,1,1,220,0,0,47.1,76.1,0.0,84.4,76.7,51.9,10,28,0,0,5.0,18.2,6,0,6,77.1,3,10,0,10,0,33,452,441,0,13,363,65,0,11,250,169,1,25,22,3,4,48,0,10,9,3.3
Fadil Diggs,124314,ED,SYRACUSE,12,8,1,75.0,1,1,304,1,0,56.5,74.7,74.5,83.2,65.7,57.1,6,28,0,0,14.0,17.5,7,0,1,89.1,6,8,0,186,0,110,657,471,0,1,444,26,0,186,276,271,0,25,25,6,8,42,0,47,23,7.8
Antwaun Powell-Ryland,124392,ED,VA TECH,12,6,0,66.7,0,2,337,3,0,77.4,78.6,58.3,85.2,63.2,64.9,9,25,0,0,3.0,18.4,7,0,2,70.1,2,14,0,22,0,15,596,570,0,0,565,5,0,26,324,257,3,33,25,4,3,48,0,0,2,0.0
Princely Umanmielen,124398,ED,OLE MISS,12,2,0,100.0,0,1,226,0,1,57.3,91.1,89.7,91.5,78.7,70.7,16,28,0,0,29.0,15.4,4,0,0,118.8,2,11,0,5,0,18,474,465,0,0,464,1,0,9,288,168,4,27,20,3,2,55,0,34,11,17.0
Bradyn Swinson,131726,ED,LSU,13,16,0,42.9,0,2,211,0,0,65.4,83.3,77.3,90.3,69.6,64.8,8,43,0,0,19.0,15.0,9,0,1,55.7,3,9,0,11,0,43,637,611,0,0,610,1,0,26,313,281,15,31,35,6,7,60,0,30,39,10.0
Donovan Ezeiruaku,143824,ED,BOSTON COL,12,16,0,,0,3,121,0,0,55.1,90.0,66.4,90.5,83.6,79.3,20,26,0,0,,8.1,5,0,2,0.0,0,14,0,39,0,36,766,721,0,0,719,2,0,45,428,302,6,42,41,6,0,60,0,0,0,
Ashton Gillotte,144154,ED,LOUISVILLE,12,10,0,,0,0,210,0,0,71.2,87.8,44.0,89.9,78.0,71.6,11,41,0,0,,11.9,5,0,3,0.0,0,5,0,7,0,2,632,625,0,32,477,116,0,7,363,267,0,23,27,6,0,57,0,0,0,
Collin Oliver,144664,ED,OKLA STATE,2,1,0,,0,0,262,0,0,63.3,88.6,82.5,90.8,67.7,62.0,2,10,0,0,,25.0,1,0,0,0.0,0,2,0,1,0,4,80,79,0,0,79,0,0,1,46,30,0,2,2,1,0,14,0,0,0,
Barryn Sorrell,144739,ED,TEXAS,16,14,1,50.0,0,0,311,0,0,49.5,71.5,30.9,74.6,73.0,47.4,11,29,0,0,4.0,19.6,11,0,4,95.8,1,9,0,0,0,29,651,651,1,72,424,154,0,0,362,260,0,25,31,5,2,49,1,4,0,4.0
Jack Sawyer,145071,ED,OHIO STATE,16,16,6,,0,3,260,3,2,83.0,90.5,76.1,89.4,82.5,57.7,16,38,0,1,,17.3,9,0,1,0.0,0,10,0,1,0,21,698,693,0,6,669,18,0,5,380,297,2,28,27,0,0,64,0,0,0,
JT Tuimoloau,145074,ED,OHIO STATE,16,12,1,100.0,0,2,260,0,0,67.5,86.2,76.2,77.8,87.3,73.2,14,22,0,0,13.0,10.7,6,0,1,118.8,1,15,0,0,0,27,667,665,0,6,632,27,0,2,356,284,0,39,38,8,1,51,0,13,6,13.0
Ahmed Hassanein,145990,ED,BOISE ST,14,16,0,0.0,0,0,120,1,0,54.4,81.4,88.7,76.9,80.3,54.2,17,35,0,0,,22.6,12,0,0,39.6,0,10,0,2,0,12,734,730,0,11,675,44,0,4,429,293,0,30,25,5,1,62,0,0,0,
Oluwafemi Oladejo,146302,ED,UCLA,12,14,0,75.0,0,0,324,0,0,74.5,73.8,27.5,65.6,78.6,75.4,7,19,0,0,23.0,10.5,6,2,4,97.4,6,7,0,108,0,85,662,539,0,6,513,20,0,123,325,252,15,29,37,8,8,33,0,63,37,10.5
Tyrion Ingram-Dawkins,146730,ED,GEORGIA,14,3,3,,0,1,173,0,0,76.2,69.8,69.5,60.2,70.8,34.7,1,15,0,0,,34.5,10,0,1,0.0,0,3,0,2,0,1,536,534,26,104,218,186,0,2,299,236,0,17,16,5,0,19,0,0,0,
Sai'vion Jones,146782,ED,LSU,13,9,2,100.0,0,2,211,1,0,55.8,74.9,74.4,76.8,69.1,37.6,6,32,0,0,13.0,26.1,12,0,2,118.8,1,5,0,1,0,9,637,636,0,7,508,121,0,1,349,279,0,27,25,3,1,43,0,13,14,13.0
Landon Jackson,146784,ED,ARKANSAS,12,12,3,,1,1,111,1,0,77.9,83.0,22.3,72.2,88.8,75.7,8,20,0,0,,13.0,7,0,5,0.0,0,7,0,4,0,10,645,635,0,25,432,178,0,10,362,273,5,33,35,3,0,35,0,0,0,
Josaiah Stewart,147092,ED,MICHIGAN,11,5,0,62.5,1,2,222,0,0,68.4,91.2,30.0,92.3,83.7,64.4,8,20,0,0,19.0,18.2,6,0,3,73.4,5,9,0,6,0,55,440,426,0,0,422,4,0,14,217,168,8,28,22,4,8,37,0,37,33,7.4
Mike Green,151084,ED,MARSHALL,13,12,1,100.0,0,2,214,1,0,69.4,92.4,65.5,91.4,90.2,73.1,10,32,0,0,3.0,13.6,9,0,2,79.2,1,17,0,21,0,17,719,696,0,1,695,0,0,23,354,348,2,49,45,6,1,59,0,3,9,3.0
Mykel Williams,157061,ED,GEORGIA,12,3,2,100.0,0,1,173,0,0,72.1,78.4,42.1,70.7,82.9,60.2,6,15,0,0,-5.0,16.7,3,0,2,79.2,2,5,0,2,0,5,402,397,0,24,222,151,0,5,249,148,3,16,12,4,2,26,0,-13,0,-6.5
Shemar Stewart,158675,ED,TEXAS A&M,12,8,1,,0,1,312,0,0,65.0,79.5,53.9,67.2,88.2,44.7,4,33,0,0,,23.5,8,1,2,0.0,0,2,0,1,0,0,521,518,8,22,371,117,0,3,315,206,0,15,18,3,0,39,0,0,0,
Nic Scourton,162878,ED,TEXAS A&M,12,8,1,50.0,0,1,312,0,0,59.7,80.1,74.0,80.6,74.4,67.8,4,28,0,0,6.0,15.4,6,0,1,56.3,1,4,0,1,0,21,558,554,0,15,500,39,0,4,316,221,1,22,25,8,2,36,0,6,9,6.0
Abdul Carter,164160,ED,PENN STATE,16,11,1,66.7,1,2,266,0,0,81.8,91.3,5.3,92.4,78.5,64.8,10,43,0,0,24.0,16.7,10,2,7,99.3,2,13,0,90,0,62,734,642,0,6,627,9,0,92,350,322,2,43,39,10,3,66,0,30,21,15.0
