player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jack Kiser,97889,LB,NOTRE DAME,16,28,0,66.7,0,2,258,1,0,62.9,83.0,54.5,77.8,86.8,90.5,3,12,0,0,27.0,4.6,5,1,2,101.9,14,3,0,584,4,256,641,23,0,0,23,0,3,618,73,312,25,35,75,3,21,18,1,143,58,10.2
Kain Medrano,100655,LB,UCLA,12,14,0,85.7,0,3,324,1,0,76.3,71.7,39.5,71.2,67.3,29.3,6,7,1,2,32.0,26.0,27,2,2,111.0,36,3,0,395,6,370,699,156,0,0,156,0,3,543,64,265,138,39,63,8,42,16,4,327,261,9.1
Cody Lindenberg,129660,LB,MINNESOTA,12,25,2,80.6,0,0,225,0,0,61.0,72.2,58.2,65.6,79.3,66.2,4,3,0,1,28.0,13.1,14,4,1,85.8,29,1,0,555,2,325,688,59,0,0,59,0,1,629,63,300,71,39,68,3,36,8,0,265,212,9.1
Cody Simon,129757,LB,OHIO STATE,15,33,1,86.0,0,1,260,1,0,72.7,87.7,85.2,80.6,90.6,73.4,0,12,0,0,32.0,11.5,13,3,0,106.2,37,8,0,649,2,371,802,39,0,0,39,0,0,763,87,344,110,45,67,6,43,20,1,328,199,8.9
Carson Bruener,131889,LB,WASHINGTON,13,28,2,72.2,0,1,340,0,0,85.2,80.9,54.8,69.0,72.4,76.4,7,3,0,3,33.0,10.2,12,4,1,85.3,26,0,0,582,3,277,639,25,0,0,25,0,0,614,42,320,29,37,78,1,36,10,3,259,141,10.0
Teddye Buchanan,142172,LB,CAL,13,24,3,56.3,0,3,130,0,0,76.2,77.5,90.1,74.3,71.8,83.5,4,15,0,0,40.0,9.2,10,2,0,79.0,18,6,0,671,5,437,871,129,0,0,129,0,2,742,97,337,62,48,75,4,32,25,0,231,121,12.8
Will Johnson,144083,LB,VA TECH,2,1,0,100.0,0,0,337,0,0,54.9,61.3,69.8,,68.7,50.3,0,0,0,0,9.0,33.3,1,0,0,104.2,1,0,0,9,0,4,9,0,0,0,0,0,0,9,0,5,0,0,1,0,1,0,0,9,5,9.0
Barrett Carter,144109,LB,CLEMSON,14,14,5,68.2,0,0,140,1,0,47.7,68.0,65.7,69.7,81.9,73.4,2,10,0,0,44.0,11.0,10,3,2,131.6,30,4,0,618,11,416,839,116,0,0,116,0,0,723,82,341,94,46,67,8,44,16,5,368,248,12.3
Danny Stutsman,144632,LB,OKLAHOMA,12,32,0,80.0,0,0,261,0,0,46.3,76.6,58.3,68.4,90.9,73.8,4,8,0,0,30.0,12.2,15,0,1,114.7,20,1,0,624,1,310,709,40,0,0,40,0,0,669,73,326,43,55,76,9,25,13,1,208,102,10.4
Kobe King,145097,LB,PENN STATE,16,31,0,90.0,0,1,266,0,0,65.4,83.6,86.1,66.7,89.2,72.5,3,10,0,0,53.0,11.8,14,1,1,126.3,27,3,0,704,4,325,748,28,0,0,28,0,0,720,67,356,11,46,74,7,30,16,1,349,251,12.9
Carson Schwesinger,146401,LB,UCLA,12,33,1,76.7,0,1,324,0,0,74.1,80.6,85.3,90.0,74.7,86.9,3,11,0,2,38.0,7.6,11,2,0,100.0,33,4,0,620,0,376,705,37,0,0,37,0,0,668,62,267,48,50,100,4,43,18,3,311,197,9.4
Francisco Mauigoa,146521,LB,MIAMI FL,13,25,0,72.7,0,0,220,0,0,60.5,74.7,32.0,66.6,84.0,59.3,5,14,0,1,64.0,16.1,18,6,2,107.2,32,2,0,590,7,350,707,65,0,0,65,0,0,642,83,274,44,47,69,10,44,21,3,330,224,10.3
Jeffrey Bassa,146552,LB,OREGON,14,13,0,73.9,0,1,264,0,0,70.2,73.4,85.3,67.5,72.1,75.6,1,8,0,0,32.0,9.6,5,2,0,110.1,17,2,0,484,6,294,579,32,0,0,32,0,0,547,59,226,57,18,34,1,23,11,1,176,118,10.4
Jihaad Campbell,157013,LB,ALABAMA,13,23,1,80.0,1,2,103,1,0,80.1,81.6,2.5,76.3,81.0,88.2,2,10,0,1,31.0,5.9,7,2,5,87.5,24,8,0,637,1,331,781,112,0,0,112,0,4,669,99,351,27,65,89,8,30,20,1,170,143,7.1
Jalon Walker,157070,LB,GEORGIA,14,15,1,83.3,0,0,173,2,0,67.5,73.7,21.4,85.0,62.3,76.8,5,22,0,0,26.0,12.1,7,0,3,125.3,10,7,0,311,0,178,622,249,0,0,249,0,0,373,195,249,61,31,36,3,12,34,1,89,71,8.9
Shemar James,157749,LB,FLORIDA,13,12,0,73.0,0,1,163,1,0,46.5,59.6,81.1,65.1,68.4,58.9,0,12,0,1,37.0,17.3,13,2,1,106.8,27,2,0,506,0,291,607,15,0,0,15,0,0,592,60,256,86,22,50,2,37,14,2,330,249,12.2
