player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ashton Jeanty,157196,HB,BOISE ST,14,375,152,36,52.6,1366,0,2595,3,12,152,1970.0,216.5,63,120,120,4,193,73.3,94.9,90.3,,49.0,54.7,96.6,58.1,77,1,138,23,255,416,0,0,33,398,29,2595,1970.0,5.25,6.9,0.54,181
Cam Skattebo,147787,HB,ARIZONA ST,13,294,103,21,34.9,598,1,1712,2,13,103,1202.0,140.3,45,103,110,4,165,71.2,93.3,39.9,75.5,38.0,79.8,94.6,48.8,53,2,543,44,279,364,0,0,52,338,21,1712,1202.0,4.09,5.8,1.95,129
Tahj Brooks,123133,HB,TEXAS TECH,11,287,58,26,38.9,588,0,1512,1,12,58,872.0,67.5,41,88,315,2,115,84.0,83.3,87.1,,65.6,59.1,85.3,69.3,40,0,199,28,279,317,0,0,34,315,17,1512,872.0,3.04,5.3,0.71,171
Omarion Hampton,162750,HB,N CAROLINA,12,281,73,26,43.9,728,0,1660,2,21,73,1222.0,128.1,45,81,245,1,104,90.1,88.4,88.4,,54.8,65.4,90.5,54.2,75,0,373,38,267,309,0,0,43,319,15,1660,1222.0,4.35,5.9,1.4,171
Dylan Sampson,163772,HB,TENNESSEE,13,258,70,17,30.4,453,0,1488,2,13,70,929.0,107.5,38,78,307,4,163,67.4,90.5,57.2,,64.4,66.7,90.9,58.9,56,1,143,20,170,287,0,0,25,278,22,1488,929.0,3.6,5.8,0.84,91
Kyle Monangai,129891,HB,RUTGERS,11,256,66,18,36.9,472,0,1279,0,2,66,862.0,84.8,33,78,278,0,53,91.8,77.3,55.5,,51.2,58.4,78.2,71.0,62,1,75,14,172,292,0,0,17,270,13,1279,862.0,3.37,5.0,0.44,202
Kaleb Johnson,156419,HB,IOWA,12,240,66,28,56.1,861,0,1535,2,12,66,1060.0,131.5,43,71,192,0,48,91.6,86.5,87.3,,38.5,65.3,86.7,56.8,75,0,190,22,147,262,0,0,25,262,21,1535,1060.0,4.42,6.4,1.29,191
Jordan James,163295,HB,OREGON,14,233,58,12,18.4,233,0,1268,5,8,58,740.0,80.9,39,85,264,0,113,87.6,86.4,86.9,,43.9,53.6,90.9,50.9,41,0,207,26,229,268,0,0,33,259,15,1268,740.0,3.18,5.4,0.9,114
Brashard Smith,143951,HB,SMU,14,232,52,21,43.1,571,0,1326,2,11,52,775.0,77.1,35,74,287,3,85,81.2,90.3,55.4,,70.3,90.8,87.0,47.4,71,1,337,41,200,268,0,0,51,273,14,1326,775.0,3.34,5.7,1.69,142
RJ Harvey,99622,HB,UCF,12,231,69,32,52.4,827,0,1578,2,10,69,897.0,122.2,54,81,323,2,74,80.2,85.1,58.5,74.3,21.8,62.2,89.5,58.0,80,1,267,20,192,305,0,0,29,251,22,1578,897.0,3.88,6.8,1.39,148
LeQuint Allen,158290,HB,SYRACUSE,13,228,44,11,23.2,237,1,1023,4,11,44,683.0,56.4,28,59,304,1,117,88.2,81.5,27.5,,80.7,79.9,80.0,73.6,30,5,529,64,409,285,0,0,78,292,16,1023,683.0,3.0,4.5,1.29,107
