player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tai Felton,144886,WR,MARYLAND,12,9.9,26,67.1,38.9,7,18,0,7.7,8,57,215,0,71.9,80.0,78.0,68.2,80.2,0.0,0,3,75,0.4,2,515,0,96,93.8,483,29.3,151,102.9,143,9,70.7,364,1119,590,6.1,11.7,2.32
Tyler Warren,129798,TE,PENN STATE,16,6.9,19,77.0,61.9,13,21,0,2.8,3,67,266,1,90.7,66.7,91.3,57.7,93.4,33.1,161,1,38,3.7,18,486,0,104,90.9,442,47.3,230,120.9,135,8,14.0,68,1230,693,6.7,11.8,2.78
Tetairoa McMillan,158735,WR,ARIZONA,12,13.7,29,64.6,60.0,18,30,0,7.7,7,55,109,1,71.5,57.4,84.8,,85.8,0.2,1,4,78,0.0,0,485,0,84,94.6,459,21.6,105,105.8,130,8,78.1,379,1316,430,5.1,15.7,2.87
Jayden Higgins,150240,WR,IOWA STATE,13,12.1,12,67.4,58.3,14,24,0,2.2,2,66,193,0,91.2,76.5,90.3,,90.5,0.0,0,4,39,0.0,0,475,4,87,93.7,445,29.1,138,106.9,129,9,70.9,337,1185,330,3.8,13.6,2.66
Ricky White,129639,WR,UNLV,13,11.8,23,62.9,39.1,9,23,0,8.2,7,51,325,1,69.7,56.0,80.8,,82.0,0.0,0,3,55,0.0,0,371,5,78,94.9,352,34.5,128,108.7,124,11,65.5,243,1032,423,5.4,13.2,2.93
Jaylin Noel,125155,WR,IOWA STATE,14,12.2,3,67.2,52.0,13,25,1,4.8,4,46,193,1,82.0,85.6,80.5,,81.7,1.0,5,3,75,0.0,0,487,2,80,93.4,455,69.6,339,111.8,119,8,27.3,133,1193,337,4.2,14.9,2.62
Elic Ayomanor,157263,WR,STANFORD,12,14.2,10,57.8,48.3,14,29,0,8.7,6,43,300,0,62.4,74.8,74.1,72.7,74.3,0.2,1,6,60,0.4,2,470,1,63,93.0,437,13.2,62,77.4,109,6,86.6,407,831,244,3.9,13.2,1.9
Emeka Egbuka,145055,WR,OHIO STATE,16,7.9,10,76.4,59.1,13,22,0,5.8,5,48,260,1,78.4,60.8,79.5,62.6,82.4,1.9,8,4,68,0.2,1,423,0,81,95.0,402,81.1,343,121.2,106,10,16.5,70,1011,476,5.9,12.5,2.51
Kyle Williams,128374,WR,WASH STATE,13,11.5,21,69.3,62.5,10,16,1,6.7,5,47,341,1,74.3,56.2,79.9,,82.1,0.0,0,4,66,0.0,0,470,5,70,93.8,441,25.3,119,132.3,101,14,74.0,348,1196,590,8.4,17.1,2.71
Tez Johnson,123709,WR,OREGON,12,5.9,17,81.2,33.3,1,3,0,3.5,3,51,264,1,86.3,70.6,83.1,,87.0,0.8,3,4,52,0.0,0,363,1,82,95.3,346,79.3,288,120.2,101,10,16.0,58,898,604,7.4,11.0,2.6
LaJohntay Wester,123616,WR,COLORADO,13,8.0,10,80.4,66.7,8,12,0,3.9,3,47,143,1,84.5,67.6,74.0,,75.6,5.7,32,2,69,0.0,0,563,0,74,92.4,520,91.7,516,136.0,92,10,2.7,15,931,528,7.1,12.6,1.79
Dominic Lovett,146872,WR,GEORGIA,14,7.2,15,64.8,47.1,8,17,1,7.8,5,33,173,2,70.2,28.5,65.8,,67.2,2.0,8,3,38,0.0,0,407,2,59,93.1,379,86.5,352,92.0,91,6,11.3,46,604,360,6.1,10.2,1.59
Jack Bech,146771,WR,TCU,12,13.3,17,68.1,65.0,13,20,0,1.6,1,45,305,0,90.6,75.6,83.0,,83.1,1.4,6,2,52,0.0,0,444,2,62,95.3,423,26.8,119,130.0,91,9,71.8,319,1034,338,5.5,16.7,2.44
Kaden Prather,144780,WR,MARYLAND,12,12.7,6,64.4,35.3,6,17,0,1.8,1,32,215,0,89.4,74.6,62.3,,62.2,0.0,0,4,33,0.0,0,529,0,56,94.0,497,8.5,45,81.6,87,4,91.5,484,620,212,3.8,11.1,1.25
Konata Mumpfield,145598,WR,PITTSBURGH,12,13.1,5,62.7,60.0,9,15,0,7.1,4,38,268,0,66.9,48.0,69.7,,70.7,0.2,1,3,46,0.0,0,463,1,52,94.0,435,37.4,173,100.1,83,5,62.2,288,813,223,4.3,15.6,1.87
Matthew Golden,156165,WR,TEXAS,16,13.5,8,69.9,61.1,11,18,1,6.5,4,42,311,0,74.5,76.3,74.0,61.9,75.6,0.0,0,5,54,0.2,1,494,4,58,94.9,469,23.9,118,120.9,83,9,76.1,376,987,303,5.2,17.0,2.1
