player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Cameron Williams,97475,S,GA SOUTHRN,10,5,0,90.9,0,0,174,0,0,60.1,57.5,9.1,55.5,57.0,54.8,0,0,0,0,23.0,18.8,6,1,2,144.5,10,0,0,103,1,124,251,9,0,0,9,0,63,242,12,115,75,8,21,1,11,0,2,101,44,10.1
Dan Jackson,98883,S,GEORGIA,14,9,0,69.7,0,1,173,1,0,65.7,59.6,45.3,61.2,47.2,58.1,0,1,0,2,18.0,19.5,15,2,1,56.3,23,0,0,179,5,409,706,13,0,0,13,0,401,693,11,286,107,18,53,2,33,1,0,169,82,7.3
Trikweze Bridges,100378,S,FLORIDA,13,16,0,40.0,0,2,163,0,0,69.5,70.4,8.1,53.6,77.7,63.9,0,4,0,2,25.0,16.0,13,4,3,29.9,14,0,0,122,353,352,659,6,0,0,6,0,138,653,12,295,40,18,52,1,35,4,0,154,80,11.0
Craig Woodson,100612,S,CAL,13,12,0,71.1,0,0,130,1,0,88.6,88.5,88.2,63.4,85.6,84.1,1,1,0,2,32.0,8.6,8,6,1,74.8,27,0,0,266,15,472,788,25,0,0,25,0,335,763,8,308,146,24,73,4,38,2,1,243,93,9.0
Upton Stout,121906,S,W KENTUCKY,12,14,0,70.6,1,0,346,0,0,78.3,84.4,24.0,77.4,90.9,79.5,2,6,0,1,84.0,7.9,5,1,4,96.0,12,1,0,99,71,234,633,78,0,0,78,0,30,555,37,362,355,26,44,7,17,9,1,163,119,13.6
R.J. Mickens,122153,S,CLEMSON,13,18,0,72.4,0,0,140,0,0,89.8,87.5,87.0,57.7,69.2,72.9,2,1,0,2,26.0,13.1,11,5,0,59.6,21,0,0,312,10,439,751,3,0,0,3,0,338,748,12,300,88,26,55,6,29,3,1,100,48,4.8
Devin Neal,122278,S,LOUISVILLE,4,1,0,100.0,0,0,210,0,0,59.6,63.3,80.2,,71.9,65.6,0,0,0,0,51.0,16.7,1,0,0,158.3,2,0,0,31,1,59,99,3,0,0,3,0,43,96,0,40,21,1,4,0,2,0,1,62,3,31.0
Xavier Watts,122914,S,NOTRE DAME,16,23,0,53.1,0,1,258,1,0,89.5,89.7,88.1,75.7,79.5,78.2,2,4,1,6,24.0,12.6,13,4,0,30.1,17,1,0,306,20,505,970,3,0,0,3,0,465,967,14,451,174,23,67,3,32,7,0,179,115,10.5
Kitan Crawford,123111,S,NEVADA,13,13,1,56.7,0,1,239,1,0,88.5,81.1,26.6,63.3,66.3,60.8,2,4,1,2,30.0,16.2,12,5,5,47.4,17,0,0,312,2,410,851,8,0,0,8,0,351,843,11,430,177,17,49,3,30,6,0,186,60,10.9
Malachi Moore,123928,S,ALABAMA,12,18,0,43.3,1,3,103,1,0,89.4,84.9,26.9,57.3,75.5,89.3,0,4,0,2,36.0,6.8,5,7,4,51.0,13,1,0,219,1,423,787,37,0,0,37,0,350,750,21,343,180,20,51,2,30,5,2,132,19,10.2
Marques Sigle,125305,S,KANSAS ST,13,16,0,58.2,1,0,199,0,0,68.3,72.4,55.8,58.3,85.2,66.2,0,3,1,3,53.0,16.7,13,3,1,88.8,32,0,0,196,11,441,763,2,0,0,2,0,33,761,13,309,520,24,49,6,55,3,5,404,170,12.6
Lathan Ransom,129755,S,OHIO STATE,15,15,0,70.0,0,3,260,1,1,66.5,82.5,88.0,87.3,93.7,66.9,1,3,0,1,44.0,15.2,14,1,1,95.4,21,1,0,226,8,449,823,14,0,0,14,0,490,809,14,360,82,25,63,7,30,5,1,272,94,13.0
Andrew Mukuba,144129,S,TEXAS,15,20,0,43.5,0,1,311,0,0,89.7,90.0,87.7,74.6,75.8,69.2,1,1,0,5,25.0,14.4,13,6,0,12.1,10,0,0,129,4,401,712,0,0,0,0,0,508,712,7,304,71,23,57,4,23,2,0,74,16,7.4
Jordan Hancock,145067,S,OHIO STATE,16,9,0,58.8,1,2,260,0,0,76.2,75.6,54.8,67.5,71.8,77.3,0,2,0,1,30.0,9.1,5,6,4,71.2,30,1,0,94,6,428,730,11,0,0,11,0,200,719,20,282,419,18,41,2,51,3,1,266,144,8.9
Jaylen Reed,145100,S,PENN STATE,16,20,1,84.2,0,1,266,1,0,51.2,65.6,0.0,90.9,80.5,71.7,0,10,1,3,53.0,14.5,16,2,4,108.8,32,2,0,289,7,465,902,27,0,0,27,0,426,875,41,396,153,27,74,2,38,12,4,364,229,11.4
Hunter Wohler,145183,S,WISCONSIN,11,18,0,59.3,0,0,349,0,0,67.6,70.9,84.5,58.0,74.8,77.0,1,0,0,0,37.0,11.2,10,6,1,117.7,16,0,0,308,4,317,675,20,0,0,20,0,228,655,19,339,114,21,61,1,27,1,3,189,66,11.8
Caleb Ransaw,147264,S,TULANE,12,9,0,43.5,0,0,319,0,0,62.7,65.6,92.6,65.2,67.3,76.7,0,0,0,0,40.0,7.5,3,1,4,94.1,10,1,0,31,6,265,529,184,0,0,184,0,3,345,22,242,305,13,28,3,23,1,2,148,45,14.8
Jonas Sanker,151097,S,VIRGINIA,12,14,0,61.5,0,0,335,1,1,74.4,72.8,88.0,64.6,66.1,74.0,1,5,0,1,37.0,13.0,13,5,0,87.6,24,1,0,358,0,433,796,17,0,0,17,0,282,779,21,342,139,31,73,8,39,7,2,260,106,10.8
Malaki Starks,157069,S,GEORGIA,14,17,0,66.7,0,0,173,0,0,72.1,78.3,89.3,69.7,85.6,84.3,1,2,0,1,54.0,8.1,7,2,1,99.6,34,0,0,215,10,512,907,10,0,0,10,0,400,897,8,387,271,18,62,4,51,3,2,453,190,13.3
Nick Emmanwori,158121,S,S CAROLINA,13,17,0,63.2,0,0,289,0,0,86.8,79.6,0.0,70.3,73.3,89.5,0,3,2,4,29.0,7.2,7,3,5,37.1,24,0,0,414,1,417,773,19,0,0,19,0,193,754,14,342,146,19,73,3,38,3,0,200,73,8.3
