Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,TEN,Cam Ward,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,WardCa00
1,2,JAX,Travis Hunter,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,College Stats,HuntTr00
1,3,NYG,Abdul Carter,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,CartAb00
1,4,NWE,Will Campbell,OT,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,CampWi01
1,5,CLE,Mason Graham,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,GrahMa00
1,6,LVR,Ashton Jeanty,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Boise St.,College Stats,JeanAs00
1,7,NYJ,Armand Membou,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,MembAr00
1,8,CAR,Tetairoa McMillan,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,McMiTe00
1,9,NOR,Kelvin Banks,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,BankKe01
1,10,CHI,Colston Loveland,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,LoveCo00
1,11,SFO,Mykel Williams,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,WillMy00
1,12,DAL,Tyler Booker,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,BookTy00
1,13,MIA,Kenneth Grant,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,GranKe01
1,14,IND,Tyler Warren,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,WarrTy00
1,15,ATL,Jalon Walker,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,WalkJa02
1,16,ARI,Walter Nolen,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,NoleWa00
1,17,CIN,Shemar Stewart,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,StewSh00
1,18,SEA,Grey Zabel,OT,23,,0,0,0,,,,,,,,,,,,,,,,,,North Dakota St.,,ZabeGr00
1,19,TAM,Emeka Egbuka,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,EgbuEm01
1,20,DEN,Jahdae Barron,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,BarrJa01
