fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,10639,0,386,852,11.4,0,0,4,76.2,90.9,2,10,167,2,91.5,0,27,500,5,38,10,0,230,408,553,7,71,0,16.4,0,Jalen Ramsey,4,2,243,90.5,73.3,5,17,CB,85.3,94.8,3,0,44,FLORIDA ST,58,12,62.0,55.0,49,0,0,31,852
1,10644,0,406,735,13.9,1,0,0,81.1,86.5,1,7,260,3,43.9,0,10,333,0,1,1,0,95,326,0,4,47,0,18.4,5,Eli Apple,3,2,142,71.6,63.0,3,1,CB,69.0,77.7,0,0,24,OHIO STATE,3,12,51.1,83.0,28,0,0,639,735
0,10645,0,341,640,9.7,2,0,1,78.7,86.1,1,6,163,13,56.9,0,17,222,0,15,1,0,75,288,23,2,52,0,11.8,1,Vernon Hargreaves III,8,2,65,92.2,69.8,1,2,CB,92.2,47.1,0,0,23,FLORIDA,11,11,44.2,34.0,32,0,0,527,640
0,10658,0,426,767,14.2,1,0,0,72.5,86.8,1,7,182,3,,0,7,455,0,1,0,0,34,341,13,2,64,0,17.9,3,William Jackson III,8,2,208,80.8,58.6,2,0,CB,80.0,70.8,0,0,32,HOUSTON,0,12,50.0,72.0,29,1,0,719,767
0,10659,0,260,497,17.1,0,0,0,70.6,85.0,0,2,220,3,85.1,0,7,308,0,4,0,0,86,233,7,0,38,0,6.1,4,Artie Burns,4,0,128,72.3,81.7,1,2,CB,69.3,84.1,2,0,18,MIAMI FL,4,12,47.4,43.0,28,1,0,400,497
0,10672,0,480,828,17.3,0,0,0,60.0,53.9,0,7,118,3,81.6,0,11,554,0,0,2,0,162,342,5,3,73,0,14.6,12,Xavien Howard,9,4,105,71.9,77.7,6,4,CB,72.1,74.8,2,0,32,BAYLOR,6,12,43.8,68.0,38,1,0,661,828
0,10688,0,410,725,15.1,1,0,0,78.2,50.2,0,7,140,3,58.7,0,6,333,0,2,0,0,31,314,16,3,45,0,25.0,2,Mackensie Alexander,3,0,111,74.5,52.6,2,0,CB,73.0,88.5,0,0,22,CLEMSON,1,12,48.9,74.0,18,1,0,676,725
1,10694,0,469,797,12.6,1,0,0,81.5,19.7,2,5,103,1,62.5,0,8,503,0,3,0,0,38,322,18,1,76,0,12.5,7,Cyrus Jones,7,2,148,75.9,68.4,3,0,CB,74.6,75.7,0,0,40,ALABAMA,6,12,52.6,31.0,34,3,0,738,797
0,10702,0,276,427,20.8,0,0,2,79.3,27.7,0,8,227,4,58.2,0,13,520,0,6,1,0,36,143,49,2,44,0,16.7,3,Will Redmond,3,3,207,71.6,58.5,3,3,CB,70.1,93.0,0,0,25,MISS STATE,8,11,56.8,83.0,36,0,0,336,427
0,10711,0,371,661,12.4,0,0,0,61.1,85.9,0,13,343,2,,0,17,459,0,8,0,0,31,290,3,4,66,0,20.6,0,Daryl Worley,7,3,149,72.6,40.8,1,0,CB,73.3,63.9,0,0,37,W VIRGINIA,0,10,56.1,54.0,48,0,0,619,661
0,10718,0,407,805,13.9,1,0,1,69.1,87.4,0,5,337,1,66.9,0,13,460,0,7,1,0,112,382,80,2,72,0,11.1,2,Kendall Fuller,9,1,193,75.3,66.8,2,4,CB,74.0,70.4,2,0,33,VA TECH,16,12,45.8,53.0,39,0,1,606,805
1,10738,0,379,763,15.2,1,0,0,80.5,86.5,0,3,306,0,,0,2,379,0,0,0,0,12,384,8,0,52,0,11.5,2,Tavon Young,9,4,76,86.5,71.1,1,0,CB,85.1,46.9,0,0,25,TEMPLE,0,12,48.1,54.0,23,1,1,743,763
0,10740,0,421,786,12.6,0,0,1,64.3,86.6,0,14,225,3,51.1,0,15,468,0,1,4,0,108,355,13,1,72,0,20.0,4,Eric Murray,5,1,203,71.1,58.0,4,5,CB,71.5,84.7,0,0,37,MINNESOTA,10,12,51.4,73.0,53,0,0,664,786
0,10752,0,301,629,17.5,0,0,0,68.6,85.5,0,7,248,2,51.8,0,4,437,0,3,0,0,45,324,9,1,46,0,21.9,2,Juston Burris,3,1,202,74.4,37.4,3,0,CB,74.5,99.6,0,0,25,NC STATE,4,12,54.3,75.0,23,0,0,572,629
0,10767,0,195,387,19.9,0,0,0,62.5,0.0,0,3,211,4,59.6,0,5,219,0,1,0,0,2,191,7,1,22,0,16.7,2,Rashard Robinson,1,0,100,67.3,56.5,2,0,CB,69.9,115.5,0,0,11,LSU,1,8,50.0,73.0,11,1,0,377,387
0,10775,0,476,794,13.9,0,0,0,77.9,23.2,0,10,261,2,51.8,0,13,529,0,5,0,0,29,314,4,0,79,0,20.8,5,Zack Sanchez,5,6,265,82.2,45.5,2,0,CB,82.4,46.9,0,0,38,OKLAHOMA,4,12,48.1,68.0,36,0,1,756,794
0,10793,0,374,821,13.8,0,0,3,55.8,0.0,0,17,343,9,60.4,0,20,303,0,108,7,0,259,374,452,7,43,0,24.3,11,K.J. Dillon,4,2,152,61.6,47.1,2,11,CB,69.2,70.2,1,0,22,W VIRGINIA,73,12,51.2,43.0,44,2,0,2,821
0,10807,0,317,667,10.4,0,0,0,65.1,85.9,0,11,209,4,60.0,0,12,394,0,0,0,0,74,349,4,1,63,0,21.2,4,Trey Caldwell,7,1,98,71.2,48.0,1,0,CB,71.2,77.1,0,0,38,LA MONROE,1,10,60.3,39.0,37,0,0,589,667
0,10812,0,386,738,9.9,0,0,1,60.8,86.7,1,7,176,1,69.7,0,16,405,0,5,0,0,127,349,8,2,65,0,10.4,2,D.J. White,6,4,175,85.3,73.9,2,1,CB,87.8,65.2,0,0,41,GA TECH,3,12,63.1,68.0,59,0,1,598,738
0,10823,0,428,906,12.3,0,0,0,73.0,87.8,0,13,273,6,49.9,0,17,432,0,2,1,0,130,468,19,3,66,0,20.0,4,Anthony Brown,10,0,138,67.5,59.7,3,2,CB,65.5,88.7,1,0,35,PURDUE,10,12,53.0,46.0,46,0,0,755,906
