fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,10641,741,7,8,,0,2,6,86.7,73.3,1,6,264,8,60.9,0,36,0,2,0,26,24,8,296,0,7,0,52,9.8,1,DeForest Buckner,1,0,0,79.8,77.9,0,37,DI,73.6,0.0,5,663,0,OREGON,446,12,,,47,0,0,0,749
0,10646,657,4,1,,1,57,6,92.9,54.4,1,6,210,8,69.9,0,35,0,0,0,24,128,1,275,0,4,0,16,13.0,2,Sheldon Rankins,0,2,0,90.1,73.4,0,38,DI,77.1,0.0,8,456,0,LOUISVILLE,379,12,,,32,0,0,0,658
0,10661,748,0,2,,1,232,2,91.1,74.7,0,1,324,13,61.1,0,31,0,2,0,15,321,2,347,0,6,0,2,1.9,1,Kenny Clark,0,0,0,84.6,87.8,0,17,DI,77.2,0.0,0,193,0,UCLA,403,12,,,38,0,0,0,750
0,10663,598,0,2,,0,339,4,67.3,68.6,0,5,226,8,64.3,0,13,0,1,0,25,0,2,293,0,1,0,40,14.7,1,Robert Nkemdiche,0,0,0,67.4,67.2,0,30,DI,60.0,0.0,1,219,0,OLE MISS,307,12,,,21,0,0,0,600
0,10664,572,0,4,,1,32,2,77.8,50.9,0,5,208,8,56.8,0,33,0,0,0,13,205,4,237,0,12,0,1,10.6,2,Vernon Butler,0,0,0,68.6,72.7,0,18,DI,63.4,0.0,3,334,0,LA TECH,339,12,,,34,0,0,0,576
0,10671,410,3,1,,0,215,8,74.6,62.0,0,2,227,4,69.6,0,16,0,2,0,19,17,0,133,1,0,0,91,9.1,1,Chris Jones,0,0,0,73.9,69.2,0,31,DI,61.3,0.0,4,87,0,MISS STATE,275,12,,,16,0,0,0,411
0,10677,558,2,1,,2,485,3,79.8,35.6,0,1,266,8,59.3,0,24,0,3,0,8,49,1,245,0,6,0,1,2.3,3,Austin Johnson,0,0,0,71.2,77.9,0,13,DI,61.9,0.0,2,23,0,PENN STATE,312,12,,,34,0,0,0,559
0,10680,451,0,5,,0,272,2,83.5,44.7,1,2,103,11,59.9,0,18,0,2,0,12,15,5,222,0,2,0,54,5.0,2,A'Shawn Robinson,0,0,0,75.7,76.1,0,14,DI,63.5,0.0,0,110,0,ALABAMA,234,12,,,27,1,0,0,456
0,10683,451,0,1,,0,268,0,87.4,63.1,0,6,103,10,57.2,0,13,0,5,0,6,48,1,220,0,3,0,23,16.2,1,Jarran Reed,0,0,0,74.9,55.3,0,6,DI,53.6,0.0,0,112,0,ALABAMA,232,12,,,21,0,0,0,452
0,10697,686,2,0,,0,396,2,63.5,85.4,0,1,176,2,60.2,0,23,0,2,0,16,0,0,328,0,4,1,48,4.0,0,Adam Gotsis,0,1,0,63.4,76.7,0,20,DI,59.3,0.0,2,242,0,GA TECH,356,12,0.0,,22,0,0,0,686
0,10701,791,0,1,,0,681,4,65.7,72.8,0,2,238,6,65.5,0,22,0,0,0,27,17,1,370,0,6,0,21,7.1,1,Maliek Collins,0,0,0,67.2,83.0,0,37,DI,60.0,0.0,6,72,0,NEBRASKA,422,12,,,20,0,0,0,792
0,10706,587,1,2,,0,154,9,80.7,67.2,0,3,163,10,54.9,0,23,0,2,0,5,5,2,264,0,5,0,56,6.8,1,Jonathan Bullard,0,0,0,71.8,78.8,0,16,DI,67.7,0.0,2,372,0,FLORIDA,324,11,,,31,1,0,0,589
0,10714,604,2,3,,0,555,4,83.6,38.0,1,11,260,5,66.2,0,27,0,1,0,11,22,3,293,0,4,0,1,25.0,3,Adolphus Washington,0,0,0,77.2,48.9,0,21,DI,58.3,0.0,6,26,0,OHIO STATE,312,12,,,28,0,0,0,607
0,10730,535,0,0,,0,488,2,82.0,50.8,1,4,238,11,61.9,0,18,0,2,0,7,13,0,278,0,3,0,2,11.4,2,Vincent Valentine,0,0,0,74.7,60.7,0,12,DI,57.8,0.0,3,32,0,NEBRASKA,257,12,,,20,0,0,0,535
0,10735,620,12,14,29.0,1,2,1,66.5,26.8,1,5,261,1,59.9,0,18,29,2,0,26,1,14,235,0,5,1,58,18.5,4,Charles Tapper,0,0,18,62.1,53.8,0,28,DI,62.9,118.8,1,559,1,OKLAHOMA,387,12,100.0,29.0,21,0,0,0,634
0,10737,572,18,5,24.0,0,282,6,67.1,37.2,0,4,258,2,66.5,0,24,48,1,0,15,11,5,258,0,6,3,105,10.8,3,Sheldon Day,1,0,31,66.4,67.9,0,22,DI,59.9,109.7,1,174,2,NOTRE DAME,301,10,66.7,40.0,31,0,0,0,577
0,10750,520,1,7,,0,272,2,72.7,68.9,0,5,311,7,74.4,0,27,0,1,0,6,223,7,255,0,2,0,0,11.6,1,Hassan Ridgeway,0,0,0,75.6,68.1,0,14,DI,60.3,0.0,6,25,0,TEXAS,271,12,,,31,0,0,0,527
0,10756,653,20,0,36.0,0,500,7,80.7,19.3,1,5,118,5,85.3,0,22,36,0,0,34,110,0,281,0,7,1,0,14.7,5,Andrew Billings,0,0,36,79.5,78.1,0,43,DI,49.1,118.8,2,43,1,BAYLOR,352,12,100.0,36.0,24,1,0,0,653
0,10766,301,0,4,,0,252,2,63.6,82.8,0,0,222,1,61.7,0,8,0,0,0,8,0,4,151,0,2,0,37,0.0,0,Willie Henry,0,1,0,68.6,80.1,0,12,DI,65.1,0.0,2,12,0,MICHIGAN,154,10,,,13,0,1,0,305
0,10781,195,2,0,,0,0,3,74.1,36.8,0,2,215,2,69.5,0,5,0,1,0,11,4,0,91,0,1,0,51,22.2,1,Quinton Jefferson,0,0,0,73.0,65.0,0,15,DI,59.0,0.0,1,140,0,MARYLAND,102,3,,,5,0,0,0,195
0,10836,559,5,2,,1,471,2,87.0,48.6,1,5,266,8,86.2,0,27,0,3,0,20,41,2,247,0,8,1,8,14.3,2,Anthony Zettel,0,3,0,91.4,60.0,0,32,DI,73.9,0.0,10,39,0,PENN STATE,309,12,0.0,,22,0,1,0,561
0,11790,204,0,0,,0,194,1,76.5,13.9,0,1,223,2,61.3,0,7,0,0,0,7,7,0,88,0,2,0,0,8.3,2,Malik McDowell,0,0,0,68.6,66.8,0,9,DI,,0.0,1,3,0,MICH STATE,116,12,,,9,0,0,0,204
0,11810,247,0,1,,0,171,0,80.2,81.6,0,0,103,3,62.0,0,10,0,0,0,9,3,1,92,0,3,0,22,0.0,0,Dalvin Tomlinson,0,0,0,74.1,81.0,0,10,DI,61.0,0.0,1,51,0,ALABAMA,156,12,,,13,0,0,0,248
0,11829,273,0,0,,0,248,2,71.2,51.9,0,0,222,3,70.8,0,17,0,0,0,11,0,0,136,0,3,0,11,0.0,1,Chris Wormley,0,0,0,73.2,82.3,0,15,DI,61.8,0.0,2,14,0,MICHIGAN,137,12,,,20,1,0,0,273
