fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,10637,738,4,4,12.0,0,5,14,80.1,10.2,3,7,260,5,92.1,0,32,12,0,0,34,0,4,329,0,6,2,56,20.0,7,Joey Bosa,0,0,6,91.1,76.6,0,61,ED,69.1,68.8,13,677,1,OHIO STATE,409,12,50.0,12.0,23,0,0,0,742
0,10643,301,98,327,10.2,1,3,5,73.1,0.0,3,7,173,13,84.1,0,27,92,0,1,13,0,300,335,25,3,10,209,13.5,7,Leonard Floyd,0,0,73,75.0,82.2,0,25,ED,63.9,105.0,7,89,9,GEORGIA,195,12,90.0,38.0,32,0,0,1,628
0,10653,253,7,35,,0,0,2,78.6,83.1,0,1,140,10,67.3,0,18,0,0,0,10,0,35,135,0,8,0,80,3.3,0,Shaq Lawson,0,0,0,76.6,82.9,0,15,ED,63.2,0.0,3,173,0,CLEMSON,146,12,,,19,0,0,0,288
0,10666,642,8,15,,0,26,1,63.3,69.8,1,3,262,9,70.4,0,33,0,4,0,17,30,15,285,0,6,0,62,7.7,1,Emmanuel Ogbah,1,0,0,69.9,69.0,0,29,ED,75.2,0.0,11,524,0,OKLA STATE,364,12,,,27,0,0,0,657
0,10667,84,1,1,,0,1,0,74.0,76.3,0,3,140,1,69.9,0,6,0,0,0,6,0,1,44,0,3,0,17,27.3,0,Kevin Dodd,0,0,0,76.1,64.8,0,6,ED,60.0,0.0,0,66,0,CLEMSON,40,8,,,7,0,0,0,85
0,10676,520,134,108,4.9,0,0,8,71.5,72.6,0,3,120,6,78.7,0,28,64,0,0,21,0,88,277,16,8,14,321,7.9,1,Kamalei Correa,0,0,70,77.0,68.4,1,38,ED,68.9,109.5,9,199,13,BOISE ST,217,12,92.9,18.0,29,0,0,4,628
0,10678,741,3,0,-6.0,3,8,4,77.2,57.4,1,5,187,8,60.7,0,29,-6,0,0,15,12,0,409,0,4,1,133,10.2,2,Jihad Ward,0,0,0,72.6,70.5,0,23,ED,63.8,79.2,4,588,1,ILLINOIS,329,12,100.0,-6.0,36,0,0,0,741
0,10699,193,7,1,3.0,0,0,1,73.3,11.3,0,1,266,5,61.1,0,7,3,0,0,4,0,1,87,0,1,2,21,6.7,2,Carl Nassib,1,0,4,69.8,81.6,0,7,ED,66.3,56.3,2,172,1,PENN STATE,100,12,50.0,3.0,9,0,0,0,194
0,10703,704,59,88,11.4,0,0,9,61.9,78.6,0,1,215,3,61.7,0,20,57,0,0,25,0,74,354,14,7,6,625,3.8,1,Yannick Ngakoue,1,0,47,62.0,81.2,0,39,ED,55.5,106.3,5,79,5,MARYLAND,379,12,83.3,21.0,22,0,0,0,792
0,10704,534,117,26,10.3,1,0,8,66.7,71.9,0,6,128,6,76.4,0,24,72,3,0,23,0,9,227,13,5,9,376,15.0,1,Bronson Kaufusi,0,0,22,73.5,76.0,0,36,ED,69.8,100.0,5,158,7,BYU,216,10,77.8,28.0,28,0,0,4,560
0,10709,637,6,0,,1,1,20,85.0,16.0,0,8,223,2,83.6,0,26,0,0,0,35,0,0,245,0,6,0,112,23.5,5,Shilique Calhoun,0,0,0,86.1,54.2,0,61,ED,63.1,0.0,6,524,0,MICH STATE,386,12,,,24,1,0,0,637
0,10717,655,37,44,,2,10,13,74.7,87.8,1,4,173,12,78.8,0,31,0,0,0,13,0,41,366,3,4,0,358,7.1,0,Jordan Jenkins,1,0,0,81.4,83.5,0,31,ED,68.9,0.0,5,287,0,GEORGIA,296,12,,,40,0,0,0,699
0,10722,3,10,26,4.5,0,0,0,61.6,69.9,0,1,329,0,56.7,0,1,9,0,0,2,0,26,11,0,0,2,3,33.3,0,Kyler Fackrell,0,0,11,63.0,76.0,0,2,ED,64.7,85.4,0,0,2,UTAH ST,8,1,100.0,8.0,2,0,0,0,29
0,10733,530,211,125,12.6,1,0,6,76.0,90.3,2,6,349,11,90.1,0,34,126,5,0,26,0,95,313,29,5,16,530,9.1,0,Joe Schobert,3,0,112,80.7,77.9,0,36,ED,71.1,87.0,4,0,10,WISCONSIN,131,12,62.5,35.0,49,0,0,1,655
0,10771,721,7,1,5.0,0,142,4,72.1,41.0,0,3,256,7,64.9,0,25,5,8,0,15,44,1,352,0,3,1,36,7.9,3,Dean Lowry,0,0,7,71.9,71.9,0,23,ED,72.6,87.5,4,499,1,NWESTERN,363,12,100.0,5.0,28,0,0,0,722
0,10817,211,81,24,7.8,0,0,1,70.7,87.4,0,3,261,1,61.5,0,11,31,0,0,2,0,11,114,13,2,5,211,15.0,0,Devante Bond,0,0,18,68.5,57.1,0,3,ED,64.7,92.5,0,0,4,OKLAHOMA,40,10,80.0,19.0,16,0,0,0,235
0,10828,410,78,243,,0,0,5,68.7,23.3,1,5,144,8,78.3,0,23,0,0,0,16,0,236,325,6,2,2,384,12.2,4,Cory James,0,0,0,73.1,76.9,0,29,ED,66.4,39.6,8,26,0,COLO STATE,250,12,0.0,,28,1,0,1,653
0,10837,624,60,114,18.5,1,2,11,53.3,39.0,1,13,337,7,80.8,0,38,37,0,0,33,0,114,346,0,9,3,174,22.0,3,Dadi Nicolas,1,0,21,65.7,54.7,1,53,ED,62.3,148.6,9,448,2,VA TECH,332,12,66.7,22.0,39,0,0,0,738
0,10856,154,29,42,8.7,0,0,2,59.6,82.7,0,1,324,4,74.5,0,7,26,1,0,10,0,39,90,3,0,3,117,7.1,0,Aaron Wallace,0,0,28,71.6,71.3,0,13,ED,73.8,102.8,1,37,3,UCLA,77,12,100.0,13.0,9,0,0,0,196
0,10861,458,144,156,6.8,0,1,4,78.0,72.8,0,4,333,11,65.4,0,25,81,1,0,17,0,111,317,45,8,13,437,7.8,1,Stephen Weatherly,0,0,98,71.7,75.1,0,24,ED,60.4,92.6,3,20,12,VANDERBILT,153,12,92.3,16.0,36,0,0,0,614
0,10874,159,17,76,,0,0,1,74.8,38.6,1,3,163,2,65.3,0,11,0,0,0,6,0,70,101,6,3,1,38,18.8,1,Alex McCalister,0,0,0,76.4,66.3,0,12,ED,89.5,39.6,5,121,0,FLORIDA,117,11,0.0,,11,0,0,0,235
0,11756,557,5,28,13.0,0,14,8,69.0,50.2,0,6,312,13,92.9,0,26,13,0,0,44,0,28,275,0,2,1,125,13.6,2,Myles Garrett,0,0,11,91.0,64.7,0,62,ED,72.6,118.8,10,418,1,TEXAS A&M,305,11,100.0,13.0,25,0,0,0,585
0,11768,259,15,16,,0,1,2,79.6,23.9,0,2,306,3,62.7,0,15,0,0,0,9,0,9,129,6,6,1,126,8.0,2,Haason Reddick,0,0,0,70.7,70.2,0,12,ED,57.3,39.6,1,132,0,TEMPLE,131,9,0.0,,20,0,0,1,275
0,11769,618,7,21,4.0,1,0,9,84.6,56.8,0,6,307,12,68.8,0,41,8,0,0,23,0,21,315,0,11,2,151,9.7,2,Derek Barnett,0,0,10,80.2,80.6,0,43,ED,63.6,83.3,11,467,2,TENNESSEE,317,12,100.0,5.0,44,1,0,0,639
0,11772,424,0,3,,0,131,8,73.4,83.1,0,2,103,6,73.6,0,18,0,1,0,22,9,2,149,1,5,0,41,7.7,0,Jonathan Allen,0,0,0,77.9,72.7,0,36,ED,64.0,0.0,6,243,0,ALABAMA,278,12,,,18,0,0,0,427
0,11777,295,4,3,,0,0,5,64.2,82.2,1,2,229,3,68.6,0,16,0,1,0,8,0,3,141,0,2,1,2,8.7,0,Charles Harris,0,0,0,71.9,77.2,0,16,ED,67.9,39.6,3,293,0,MISSOURI,153,12,0.0,,18,0,0,0,298
