fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
2,10654,21,294,685,7.6,2,0,4,69.3,29.5,1,10,260,7,77.2,0,30,272,0,0,14,0,480,324,204,9,53,21,15.6,3,Darron Lee,2,2,202,63.4,65.7,0,24,LB,51.1,64.3,6,0,36,OHIO STATE,88,12,67.9,18.0,47,0,0,1,706
0,10668,107,390,777,9.1,0,0,6,66.7,64.2,1,14,258,9,78.3,0,47,281,1,2,13,0,695,415,75,5,41,105,13.3,1,Jaylon Smith,0,0,174,74.9,67.6,1,22,LB,83.0,101.8,3,2,31,NOTRE DAME,79,12,75.6,38.0,82,1,0,5,884
0,10670,226,491,738,8.2,0,0,3,75.3,21.5,0,5,324,13,72.6,0,29,346,0,3,9,0,598,418,124,9,63,226,5.7,5,Myles Jack,7,0,252,78.3,87.0,2,12,LB,89.7,91.1,0,0,42,UCLA,55,12,66.7,39.0,69,2,0,13,964
0,10675,33,245,558,10.4,3,0,4,71.9,78.3,1,15,103,13,65.5,0,40,176,1,0,4,0,543,288,11,6,24,3,16.9,1,Reggie Ragland,0,1,114,67.3,60.6,0,9,LB,57.6,74.3,1,30,17,ALABAMA,58,12,70.8,28.0,61,0,0,4,591
0,10686,20,72,179,5.2,1,0,3,58.1,76.0,0,5,211,4,67.4,0,6,26,0,0,3,0,164,96,15,3,7,13,20.8,0,Deion Jones,1,0,19,70.4,62.3,0,6,LB,79.7,77.1,0,7,5,LSU,31,12,71.4,16.0,15,0,0,0,199
0,10721,106,301,728,4.4,0,0,6,78.5,62.5,4,14,329,16,76.9,0,59,66,1,0,8,0,696,378,22,8,23,106,13.3,1,Nick Vigil,0,1,33,77.0,63.9,2,22,LB,67.0,79.8,8,0,15,UTAH ST,155,12,65.2,16.0,75,0,0,10,834
0,10736,13,349,718,5.6,0,0,3,81.9,78.5,0,3,260,22,68.9,0,48,173,0,4,8,0,682,316,32,4,42,13,3.1,0,Joshua Perry,1,1,133,83.9,91.8,0,15,LB,90.2,70.8,4,0,31,OHIO STATE,66,12,73.8,18.0,72,0,0,0,731
0,10743,66,59,116,12.3,2,0,2,74.9,80.4,0,1,140,1,69.3,0,13,49,0,0,1,0,103,109,13,2,6,66,5.6,0,B.J. Goodson,0,0,41,71.6,80.9,0,4,LB,61.8,91.7,1,0,4,CLEMSON,14,11,66.7,27.0,16,0,0,0,182
0,10747,2,331,801,8.5,0,0,3,87.0,60.8,0,15,343,10,51.1,0,54,162,0,0,8,0,801,380,0,9,29,2,14.0,1,Nick Kwiatkoski,3,0,111,82.9,64.8,0,11,LB,73.9,80.0,0,0,19,W VIRGINIA,92,12,65.5,20.0,82,0,0,0,803
0,10749,2,252,614,6.9,3,0,0,62.6,75.2,0,8,225,9,65.8,0,30,165,0,0,6,0,593,301,21,5,30,2,10.8,0,De'Vondre Campbell,1,1,165,66.8,78.0,0,9,LB,72.4,75.7,3,0,24,MINNESOTA,63,12,80.0,24.0,57,0,1,0,616
