snap_counts_ce,player_id,non_spike_pass_block_percentage,grades_run_block,franchise_id,pass_block_percent,hurries_allowed,snap_counts_block,snap_counts_run_block,pbe,snap_counts_rg,hits_allowed,sacks_allowed,block_percent,grades_offense,penalties,player,non_spike_pass_block,snap_counts_pass_play,position,grades_pass_block,snap_counts_te,pressures_allowed,snap_counts_rt,team_name,snap_counts_pass_block,player_game_count,snap_counts_offense,declined_penalties,snap_counts_lt,snap_counts_lg
0,10785,100.0,68.3,341,100.0,19,1051,185,98.1,0,2,5,100.0,79.5,8,Joe Dahl,823,866,T,89.9,0,26,0,WASH STATE,866,12,1051,0,1051,0
0,9567,100.0,75.0,343,100.0,18,1021,470,97.8,1021,1,2,100.0,76.9,2,Mark Glowinski,524,551,G,74.1,0,21,0,W VIRGINIA,551,12,1021,0,0,0
1007,11998,100.0,67.1,118,100.0,5,1007,501,99.1,0,0,2,100.0,68.3,10,Kyle Fuller,483,506,C,79.6,0,7,0,BAYLOR,506,12,1007,1,0,0
0,10802,100.0,84.4,118,100.0,7,970,477,99.2,0,1,0,100.0,90.0,1,Spencer Drango,471,493,T,90.8,45,8,1,BAYLOR,493,12,970,0,924,0
74,23918,100.0,69.5,324,100.0,15,962,430,98.2,887,1,1,100.0,72.1,3,Scott Quessenberry,502,532,G,78.4,0,17,0,UCLA,532,12,962,0,0,1
0,10782,100.0,59.1,324,100.0,17,961,428,96.8,0,5,5,100.0,63.4,12,Caleb Benenoch,503,533,T,78.6,0,27,961,UCLA,533,12,961,3,0,0
0,10716,100.0,71.8,315,100.0,23,958,333,97.5,0,2,2,100.0,75.7,3,Le'Raven Clark,585,625,T,73.2,5,27,0,TEXAS TECH,625,12,958,1,952,0
0,9648,100.0,91.9,169,100.0,5,938,412,98.9,932,2,2,100.0,91.3,2,Cody Wichmann,501,526,G,86.8,0,9,0,FRESNO ST,526,12,938,0,0,6
0,11793,100.0,81.8,346,100.0,8,935,369,98.8,0,1,2,100.0,88.7,2,Forrest Lamp,549,566,T,91.8,0,11,0,W KENTUCKY,566,12,935,0,935,0
0,9676,100.0,82.0,337,100.0,23,918,403,96.8,0,6,1,100.0,80.0,6,Laurence Gibson,486,515,T,73.1,1,30,0,VA TECH,515,12,918,1,916,0
913,10849,100.0,80.4,305,100.0,5,913,359,99.2,0,1,1,100.0,83.4,3,Joey Hunt,529,554,C,89.7,0,7,0,TCU,554,12,913,0,0,0
0,10829,99.8,75.7,285,99.8,12,911,404,97.4,0,7,3,99.9,74.6,9,Wes Schweitzer,490,508,T,72.6,2,22,0,S JOSE ST,507,12,912,0,908,0
0,9547,100.0,80.9,110,100.0,21,904,398,96.2,0,3,6,100.0,79.7,2,Jamil Douglas,477,506,T,69.0,9,30,2,ARIZONA ST,506,12,904,0,892,0
897,10700,100.0,73.0,326,100.0,10,897,421,97.9,0,3,3,100.0,72.0,8,Max Tuerk,455,476,C,69.1,0,16,0,USC,476,12,897,2,0,0
385,10882,100.0,82.9,192,100.0,7,894,420,98.2,126,5,2,100.0,82.6,4,Austin Blythe,454,474,G,80.3,0,14,0,IOWA,474,12,894,1,0,383
0,9552,100.0,82.3,192,100.0,16,894,420,97.5,0,5,1,100.0,85.9,2,Andrew Donnal,454,474,T,84.0,0,22,894,IOWA,474,12,894,0,0,0
