avg_time_to_throw,player_id,passing_snaps,grades_run,dropbacks,btt_rate,franchise_id,twp_rate,hit_as_threw,accuracy_percent,spikes,sack_percent,turnover_worthy_plays,yards,completions,pressure_to_sack_rate,grades_offense,avg_depth_of_target,bats,penalties,player,big_time_throws,interceptions,drop_rate,qb_rating,touchdowns,completion_percent,position,ypa,aimed_passes,attempts,scrambles,sacks,drops,def_gen_pressures,team_name,player_game_count,declined_penalties,first_downs,grades_hands_fumble,grades_pass,thrown_aways
2.45,10857,561,54.2,544,4.5,346,2.5,4,75.4,0,3.7,14,4349,344,15.9,85.0,8.6,6,1,Brandon Doughty,24,10,7.8,114.0,44,67.2,QB,8.5,495,512,12,20,29,126,W KENTUCKY,12,0,0,64.9,84.2,7
2.45,10635,589,52.1,555,5.6,130,2.5,10,71.8,1,4.5,15,3954,313,14.4,85.9,10.2,9,3,Jared Goff,30,7,7.4,103.1,35,61.6,QB,7.8,471,508,22,25,25,174,CAL,12,0,2,41.5,85.6,17
2.71,10685,529,37.2,506,4.4,266,4.0,3,64.4,1,8.5,21,2595,236,24.7,43.9,8.7,8,3,Christian Hackenberg,20,15,9.6,63.8,8,54.1,QB,6.0,405,436,27,43,25,174,PENN STATE,12,0,1,51.3,48.1,19
2.78,10727,475,56.9,453,4.8,326,1.5,1,81.0,0,6.2,7,3490,291,17.1,92.8,8.0,5,3,Cody Kessler,21,4,8.8,120.7,36,70.3,QB,8.4,394,414,11,28,28,164,USC,12,0,3,65.0,92.7,14
2.48,10660,421,59.4,405,5.7,218,3.1,0,74.6,0,3.5,13,2789,236,11.5,80.7,8.4,3,3,Paxton Lynch,22,6,9.9,96.1,18,63.8,QB,7.5,351,370,21,14,26,122,MEMPHIS,12,0,4,59.5,82.3,16
2.49,11970,385,54.4,371,4.4,220,4.7,5,66.0,0,5.1,18,2952,203,19.8,66.1,9.9,6,4,Brad Kaaya,16,11,5.6,96.8,25,58.3,QB,8.5,326,348,3,19,12,96,MIAMI FL,12,0,4,67.8,65.7,11
2.35,11842,373,52.2,355,5.8,315,5.6,1,71.3,1,1.1,21,2547,211,4.7,74.7,8.6,4,4,Davis Webb,21,13,11.7,90.8,24,60.8,QB,7.3,335,347,4,4,28,85,TEXAS TECH,8,0,1,56.3,75.3,6
2.76,10769,406,60.4,388,4.7,227,4.2,4,69.0,0,4.9,17,2996,211,15.7,67.9,9.8,4,0,Dak Prescott,17,10,7.9,100.3,24,61.2,QB,8.7,332,345,24,19,18,121,MISS STATE,12,0,3,72.9,67.2,5
2.98,10725,454,86.2,431,4.4,248,3.3,1,70.1,1,6.5,15,2344,205,20.4,80.0,9.7,6,0,Jacoby Brissett,16,5,6.0,95.4,22,59.6,QB,6.8,311,344,59,28,13,137,NC STATE,12,0,1,37.8,69.4,25
2.8,10825,400,47.4,384,4.2,192,2.8,4,73.1,0,4.4,11,2404,211,15.0,71.7,9.2,10,2,Jake Rudock,15,5,7.5,92.8,16,62.1,QB,7.1,312,340,27,17,17,113,IOWA,11,0,3,58.6,75.2,14
