zone_attempts,player_id,elusive_rating,gap_attempts,grades_run,fumbles,elu_yco,grades_run_block,franchise_id,grades_offense_penalty,scramble_yards,total_touches,rec_yards,yards,yco_attempt,breakaway_percent,targets,grades_offense,explosive,routes,penalties,player,yprr,elu_rush_mtf,run_plays,touchdowns,ypa,position,breakaway_attempts,breakaway_yards,grades_pass_route,scrambles,attempts,drops,avoided_tackles,grades_pass_block,receptions,team_name,designed_yards,player_game_count,longest,declined_penalties,elu_recv_mtf,first_downs,grades_hands_fumble,grades_pass,yards_after_contact
38,6214,25.7,6,61.9,1,92.0,60.0,17,85.0,0,57,121,168,2.09,8.9,18,66.3,5,120,0,Daniel Thomas,1.01,5,51,2,3.8,HB,1,15,66.5,0,44,0,5,87.8,13,MIA,168,12,15,0,2,9,47.8,,92.0
0,8438,17.5,0,61.1,0,14.0,68.1,20,79.2,0,10,15,22,1.75,0.0,2,71.4,0,21,0,Austin Johnson,0.71,1,72,0,2.8,FB,0,0,63.5,0,8,0,1,87.0,2,NO,22,7,8,0,0,5,72.9,,14.0
0,10784,67.2,115,79.3,2,920.0,67.9,321,86.9,0,314,72,1595,3.02,32.8,11,82.2,50,112,0,Jordan Howard,0.64,68,341,13,5.2,HB,21,523,53.7,0,305,1,68,86.5,9,UAB,1595,12,55,0,2,2,84.9,60.4,920.0
0,9582,58.0,167,81.4,5,1079.0,55.7,120,45.4,0,349,535,1620,3.55,39.0,50,78.3,41,302,2,Jay Ajayi,1.77,47,396,24,5.3,HB,24,631,61.2,0,304,3,47,57.9,45,BOISE ST,1620,12,74,0,10,1,67.4,54.8,1079.0
0,9571,63.9,108,80.0,4,923.0,62.7,225,88.6,0,303,129,1544,3.17,31.2,15,79.8,47,124,1,David Cobb,1.04,59,403,13,5.3,HB,19,481,52.4,0,291,2,59,48.6,12,MINNESOTA,1544,12,67,1,2,2,70.7,,923.0
0,9607,63.8,110,77.5,2,818.0,69.6,115,86.7,0,288,129,1471,2.96,32.6,15,78.1,41,171,0,Cameron Artis-Payne,0.75,59,389,11,5.3,HB,19,479,55.1,0,276,2,59,71.9,12,AUBURN,1471,12,37,0,3,2,83.2,,818.0
9,11860,92.9,122,90.9,3,822.0,77.9,268,89.8,0,280,70,1675,2.99,33.1,7,92.8,49,68,0,James Conner,1.03,84,334,24,6.1,HB,21,554,66.3,0,275,0,84,22.6,5,PITTSBURGH,1675,12,74,0,3,4,85.2,,822.0
0,9506,73.6,68,78.6,5,1086.0,55.6,190,86.4,0,295,141,2027,4.02,57.0,31,80.1,46,161,1,Tevin Coleman,0.88,50,310,15,7.5,HB,29,1156,67.0,0,270,2,50,78.8,25,INDIANA,2027,12,90,0,4,3,62.7,,1086.0
0,10770,43.7,45,68.7,6,819.0,56.3,328,61.7,0,304,282,1336,3.09,33.2,42,70.9,32,197,1,Devontae Booker,1.43,38,354,9,5.0,HB,15,444,73.4,0,265,0,38,81.4,39,UTAH,1336,12,76,0,5,0,58.6,,819.0
0,11887,60.0,114,73.6,3,756.0,56.8,284,0.0,0,273,118,1747,2.98,46.2,28,73.5,47,128,3,Donnel Pumphrey,0.92,49,299,19,6.9,HB,26,807,60.6,0,254,3,49,76.8,19,S DIEGO ST,1747,12,93,0,6,1,74.9,58.4,756.0
0,9558,42.3,122,78.2,2,650.0,59.4,326,59.0,0,290,447,1329,2.61,35.1,50,77.6,40,249,3,Javorius Allen,1.8,41,278,9,5.3,HB,18,466,71.2,0,249,5,41,53.7,41,USC,1329,12,53,2,6,2,82.0,,650.0
0,9539,38.3,157,72.8,2,698.0,45.1,223,88.9,0,257,56,1361,2.81,38.1,18,71.0,34,143,0,Jeremy Langford,0.39,33,298,19,5.5,HB,21,518,54.1,0,248,1,33,59.6,9,MICH STATE,1361,12,38,0,2,1,80.6,,698.0
0,29539,78.7,113,85.7,0,768.0,61.8,256,86.4,0,267,201,1186,3.13,22.1,25,84.0,37,193,0,Justin Jackson,1.04,64,273,10,4.8,HB,9,262,58.6,0,245,1,64,62.1,22,NWESTERN,1186,12,68,0,3,3,91.7,,768.0
0,11869,93.5,58,76.8,1,850.0,84.0,261,89.0,0,251,86,1575,3.56,47.3,12,79.3,41,139,0,Samaje Perine,0.62,64,294,21,6.6,HB,26,745,61.1,0,239,0,64,68.5,12,OKLAHOMA,1575,12,66,0,2,0,87.8,,850.0
0,9487,77.5,38,87.0,2,762.0,67.1,238,88.5,0,253,208,1519,3.22,47.5,24,87.6,43,194,0,Ameer Abdullah,1.07,53,331,18,6.4,HB,24,721,73.5,0,237,0,53,50.4,16,NEBRASKA,1519,12,57,0,8,4,80.1,,762.0
0,10783,46.7,69,77.0,2,682.0,51.5,324,87.7,0,255,201,1375,2.98,37.0,32,72.3,42,262,0,Paul Perkins,0.77,30,292,7,6.0,HB,18,509,51.6,0,229,2,30,48.2,26,UCLA,1375,12,92,0,10,1,79.5,,682.0
0,10768,102.7,71,69.0,5,741.0,71.6,208,59.1,0,246,306,1074,3.37,43.3,35,71.4,27,206,2,Kenneth Dixon,1.49,63,266,19,4.9,HB,16,465,71.1,0,220,0,63,73.9,26,LA TECH,1074,12,99,1,12,1,55.9,,741.0
0,11937,71.2,110,70.9,3,789.0,61.6,330,86.6,0,245,284,1238,3.64,41.3,35,70.4,32,134,1,Aaron Jones,2.12,43,286,11,5.7,HB,18,511,58.5,0,217,4,43,58.2,28,UTEP,1238,11,73,0,5,1,71.1,,789.0
0,10871,53.2,81,80.8,3,596.0,70.0,130,61.6,0,243,339,1121,2.81,25.6,39,78.7,31,301,1,Daniel Lasco,1.13,37,273,12,5.3,HB,12,287,60.7,0,212,5,37,85.2,31,CAL,1121,12,50,0,9,2,71.1,,596.0
0,45747,52.5,56,78.9,1,554.0,59.8,264,86.3,0,222,125,1185,2.65,32.8,15,79.1,36,173,0,Royce Freeman,0.72,42,267,16,5.7,HB,16,389,59.0,0,209,1,42,75.7,13,OREGON,1185,12,38,0,2,0,86.2,72.6,554.0
0,11898,40.4,77,64.0,5,621.0,67.2,327,53.5,0,222,160,1049,3.09,44.1,30,63.6,21,156,4,Marlon Mack,1.03,25,248,9,5.2,HB,13,463,52.9,0,201,5,25,72.2,21,USF,1049,12,75,1,4,4,60.9,,621.0
0,10638,48.9,69,88.6,0,657.0,82.2,260,32.0,0,223,195,1194,3.3,34.8,26,86.7,34,185,2,Ezekiel Elliott,1.05,27,323,10,6.0,HB,17,415,62.9,0,199,1,27,47.2,24,OHIO STATE,1194,12,65,0,6,0,91.0,,657.0
0,10790,115.7,75,81.6,4,687.0,69.1,111,88.9,0,199,68,1089,3.65,34.0,16,82.1,34,97,1,Jonathan Williams,0.7,63,209,11,5.8,HB,14,370,52.6,0,188,1,63,71.4,11,ARKANSAS,1089,12,90,0,0,1,47.9,54.8,687.0
0,10777,107.3,30,83.6,1,660.0,72.4,315,31.1,0,217,327,1095,3.53,32.1,45,77.8,34,293,2,DeAndre Washington,1.12,54,249,2,5.9,HB,14,351,50.8,0,187,7,54,77.2,30,TEXAS TECH,1095,12,72,0,12,1,90.9,,660.0
0,10805,63.8,90,74.1,5,641.0,57.6,111,87.9,0,189,9,1031,3.45,40.8,5,76.3,26,52,0,Alex Collins,0.17,34,202,12,5.5,HB,15,421,55.4,0,186,0,34,77.8,3,ARKANSAS,1031,12,84,0,1,3,64.9,,641.0
