fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,9753,0,348,658,10.3,2,0,0,56.3,87.8,2,10,176,4,52.1,0,14,164,0,442,3,0,112,304,98,3,28,0,14.5,0,Isaiah Johnson,4,1,66,67.7,65.8,2,3,S,72.1,83.0,0,0,16,GA TECH,6,11,57.1,30.0,55,0,0,6,658
0,10648,0,437,862,15.2,0,0,4,66.1,88.8,3,16,343,10,74.6,0,34,228,0,416,4,0,352,395,90,4,30,0,17.0,0,Karl Joseph,1,1,122,82.0,71.0,1,8,S,84.8,72.6,0,0,15,W VIRGINIA,30,12,50.0,76.0,68,0,0,4,862
1,10651,0,220,415,18.2,1,0,2,57.1,85.5,0,8,163,3,59.7,0,13,200,0,261,0,0,72,187,76,1,18,0,20.0,0,Keanu Neal,0,3,98,66.3,57.5,2,2,S,69.1,96.8,0,0,11,FLORIDA,8,9,61.1,79.0,29,0,0,6,415
0,10687,60,405,737,8.0,0,0,1,86.5,91.4,1,12,326,5,77.4,0,34,136,2,54,9,0,382,328,299,11,30,60,17.9,1,Su'a Cravens,5,2,79,91.0,79.3,1,15,S,89.4,51.5,5,0,17,USC,64,12,56.7,18.0,50,0,1,2,797
0,10691,0,70,143,17.8,0,0,0,76.0,80.7,0,3,140,1,57.1,0,4,89,0,76,0,0,50,71,12,0,6,0,21.4,0,T.J. Green,0,0,37,54.7,62.6,0,0,S,45.0,118.8,0,0,5,CLEMSON,2,8,83.3,48.0,10,0,0,5,143
0,10692,0,491,984,14.0,0,0,6,66.8,89.6,1,14,215,18,84.2,0,24,280,0,497,0,0,215,467,145,2,38,0,12.8,0,Sean Davis,5,0,64,74.9,76.4,6,7,S,72.7,116.2,1,0,20,MARYLAND,26,12,52.6,43.0,77,0,0,127,984
0,10695,0,394,697,15.7,1,0,0,80.6,88.6,0,9,260,11,57.9,0,11,251,0,500,0,0,36,302,159,1,36,0,12.2,1,Vonn Bell,4,4,105,79.4,78.1,3,0,S,76.4,56.4,0,0,16,OHIO STATE,1,12,44.4,60.0,54,0,0,2,697
0,10698,0,479,917,9.9,0,0,0,68.2,58.7,2,10,224,13,50.5,0,16,258,0,769,2,0,57,436,91,3,42,0,13.9,2,Kevin Byard,1,6,134,81.6,77.1,2,2,S,86.9,55.6,0,0,26,MIDDLE TN,2,12,61.9,54.0,49,0,0,0,917
0,10705,0,407,679,13.2,0,0,0,82.2,49.6,0,4,120,7,53.0,0,20,251,0,429,0,0,114,269,132,3,31,0,6.7,2,Darian Thompson,1,7,72,90.7,88.7,3,0,S,90.1,79.6,0,0,19,BOISE ST,3,11,61.3,38.0,49,0,1,4,679
0,10732,0,423,745,15.1,0,0,1,80.4,88.4,0,7,121,2,74.6,0,17,512,0,208,1,0,126,312,174,1,54,0,11.7,1,Justin Simmons,4,2,240,73.0,73.7,6,2,S,68.0,115.7,0,0,34,BOSTON COL,10,12,63.0,77.0,51,0,0,237,745
