player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brayden Schager,146078,QB,HAWAII,13,72.9,495,526,10.3,2.8,7,28,5.1,62.9,331,0,212,8.3,598,30,173,180,63.6,77.7,76.1,64.3,5,14,626,3,18.9,87.8,6.7,40,32,2,17,26,14,2.2,3525,6.7
Davis Brin,77642,QB,GA SOUTHRN,12,74.4,485,514,8.5,2.53,6,18,3.3,63.8,328,0,141,9.1,562,33,173,174,55.7,71.4,70.9,57.9,4,16,589,2,17.7,84.5,4.4,25,21,5,14,22,28,4.8,3441,6.7
Cam Ward,133244,QB,WASH STATE,12,78.6,444,486,7.7,2.8,10,24,4.8,66.7,324,0,173,7.2,567,25,185,341,27.9,80.2,77.5,69.7,5,7,589,1,24.9,100.7,7.6,43,36,0,27,25,21,3.6,3723,7.7
Austin Reed,111760,QB,W KENTUCKY,12,70.2,449,471,8.0,2.43,9,21,4.2,61.6,290,0,122,7.9,491,25,157,346,64.1,70.3,67.1,71.3,3,11,518,1,5.7,95.1,1.4,7,11,0,10,31,18,3.5,3338,7.1
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,12,69.7,445,469,9.1,2.66,7,24,4.9,62.0,291,0,127,6.1,494,19,163,144,37.7,57.5,60.2,31.7,1,16,520,4,9.4,85.8,2.4,12,12,1,15,22,26,5.0,3446,7.3
E.J. Warner,156185,QB,TEMPLE,10,67.6,413,445,8.7,2.4,10,13,2.7,57.5,256,0,147,8.2,465,23,150,306,69.1,63.6,63.7,54.4,4,12,495,2,5.4,84.7,1.7,8,12,0,18,23,23,4.6,3061,6.9
Seth Henigan,144267,QB,MEMPHIS,12,74.1,425,441,9.0,2.59,3,23,5.0,66.4,293,0,133,7.0,492,22,176,218,59.4,79.6,80.5,57.5,0,9,516,1,13.5,103.3,3.7,18,32,0,13,28,15,2.9,3514,8.0
Taulia Tagovailoa,97271,QB,MARYLAND,12,75.1,414,441,8.6,2.69,6,26,5.6,66.0,291,0,135,6.4,481,20,160,215,60.7,77.4,74.5,70.6,0,11,506,8,17.0,97.6,4.8,23,17,0,21,25,20,4.0,3386,7.7
Shedeur Sanders,131396,QB,COLORADO,11,79.2,403,435,8.5,2.89,12,23,5.0,68.5,298,1,195,6.6,527,21,162,143,69.3,88.4,89.4,60.0,3,3,558,8,25.1,107.9,9.3,49,43,0,17,27,7,1.3,3229,7.4
Nicholas Vattiato,145302,QB,MIDDLE TN,12,76.6,415,430,6.9,2.55,4,20,4.4,67.0,288,0,121,9.4,513,30,142,224,67.2,72.1,70.8,63.6,0,13,541,0,28.1,93.1,6.6,34,48,0,11,23,17,3.1,3095,7.2
