,player,position,av
0,Jayden Daniels,QB,68.81721974166614
1,Spencer Rattler,QB,66.68937226009284
2,Drake Maye,QB,65.57806088315282
3,J.J. McCarthy,QB,42.94733685842451
4,Caleb Williams,QB,41.8371764114798
5,Bo Nix,QB,41.7767551724806
6,Chop Robinson,DE,39.00137545788565
7,Michael Pratt,QB,37.37771165687168
8,Joe Alt,OL,35.10211505263169
9,T'Vondre Sweat,DL,35.00943716053437
10,Javon Foster,OL,34.382710530210524
11,Audric Estime,RB,34.21
12,Laiatu Latu,DL,33.93531813180275
13,Jaylen Wright,RB,32.93333333333333
14,Bucky Irving,RB,32.35666666666667
15,Jonathon Brooks,RB,30.80666666666667
16,Kimani Vidal,RB,29.66
17,Troy Franklin,WR,28.516252515470125
18,Isaac Guerendo,RB,28.33
19,Taliese Fuaga,OL,28.126199652199634
20,Devin Leary,QB,27.637623611510612
21,Jackson Powers-Johnson,OL,27.62704069079068
22,Jordan Morgan,OL,27.272151205820304
23,Javon Baker,WR,27.259873617530772
24,Zach Frazier,OL,26.77306266418767
25,Olumuyiwa Fashanu,OL,26.342145835645834
26,Jordan Travis,QB,26.28243259623504
27,Payton Wilson,LB,26.056562583028132
28,Ray Davis,RB,25.471666666666668
29,Dominick Puni,OL,25.034116905425737
30,Jawhar Jordan,RB,24.966666666666665
31,Christian Mahogany,OL,24.910078551078556
32,Jamari Thrash,WR,24.6781900397594
33,Jamal Hill,LB,24.39647807402723
34,Tyler Davis,DT,23.9532194505031
35,Tyrice Knight,LB,23.615265418877645
36,MarShawn Lloyd,RB,23.35
37,Jarrian Jones,DB,23.29745562622289
38,Dadrion Taylor-Demerson,DB,23.134556189677106
39,Marshawn Kneeland,DL,23.069048480800884
40,Michael Jurgens,OL,23.00499746087246
41,Bralen Trice,DE,22.764839012577664
42,Nathan Thomas,OL,21.947368084529842
43,Erick All,TE,21.71323616411531
44,Patrick Paul,OL,21.701700230325233
45,JC Latham,OL,21.55448136721666
46,Sedrick Van Pran-Granger,OL,21.367524013024024
47,Matt Lee,C,21.188815092315085
48,Trey Taylor,FS,21.00516402086089
49,Javon Solomon,DE,20.96057828691825
50,Tykee Smith,DB,20.952641940350205
51,Tylan Grable,OL,20.871983271358264
52,Tyler Nubin,DB,20.82011289558263
53,Jaden Hicks,DB,20.80953525090645
54,Christian Haynes,OL,20.65967911717912
55,Zak Zinter,OL,20.657218517593513
56,Hunter Nourzad,OL,20.632933131683124
57,Cooper Beebe,OL,20.430212347837358
58,Kitan Oladapo,DB,20.36875599496225
59,Ja'Lynn Polk,WR,20.346969418611828
60,Christian Jones,OL,20.198778348013644
61,Beaux Limmer,OL,20.062723406223395
62,Malik Nabers,WR,19.98292651600468
63,Jer'Zhan Newton,DL,19.94730713513771
64,Javon Bullard,DB,19.55996500752774
65,Amarius Mims,OL,19.412416606541615
66,Justin Eboigbe,DL,19.3740371631127
67,Jarrett Kingston,OL,19.175658906725083
68,Sataoa Laumea,OL,19.136297813841928
69,Evan Williams,DB,19.121580417013423
70,Trey Benson,RB,19.05
71,Terrion Arnold,DB,18.944436888451712
72,McKinnley Jackson,DL,18.93591123487456
73,Jase McClellan,RB,18.88
74,Elijah Jones,DB,18.833122465211087
75,Javontae Jean-Baptiste,DL,18.75752354948996
76,Layden Robinson,OL,18.618670214045213
77,Patrick McMorris,DB,18.595998812750402
78,Xavier Worthy,WR,18.56494574201829
79,Jaylen Key,SAF,17.978122643679175
80,Cole Bishop,SAF,17.942504450866817
81,Jaylon Carlies,DB,17.907137162712562
82,Dylan McMahon,OL,17.9056484950235
83,Mohamed Kamara,DL,17.864569105359372
84,Walter Rouse,OL,17.761219410219415
85,Nick Samac,C,17.749646344396346
86,Rome Odunze,WR,17.714485060839063
87,Roger Rosengarten,OL,17.64376555389056
88,Malik Mustapha,DB,17.559692372950554
89,Sione Vaki,SAF,17.42289289033032
90,Kamren Kinchens,SAF,17.336063772996123
91,Nathaniel Watson,LB,17.095373229582606
92,Troy Fautanu,OL,17.025161375661384
93,Tejhaun Palmer,WR,16.979761859509875
94,Caedan Wallace,OL,16.851561675252864
95,KT Leveston,OL,16.837966190151615
96,Bub Means,WR,16.726107369328453
97,Quinyon Mitchell,CB,16.55305372509331
98,Adisa Isaac,DE,16.53406141522007
99,Malik Washington,WR,16.512548930069933
100,Jalen McMillan,WR,16.49080578667117
101,Edgerrin Cooper,LB,16.480572737923126
102,Kingsley Suamataia,OL,16.470396034521034
103,Keilan Robinson,RB,16.456666666666667
104,Jared Wiley,TE,16.448857883596443
105,Marvin Harrison Jr.,WR,16.36246238665491
106,Cedric Gray,LB,15.996937981222421
107,Graham Barton,OL,15.97369996669997
108,Junior Colson,LB,15.874700609088762
109,Mekhi Wingo,DT,15.594123869227696
110,Luke McCaffrey,WR,15.555204354110613
111,Jaylin Simpson,SAF,15.482058189349871
112,Kris Jenkins,DL,15.466690914670743
113,Edefuan Ulofoshio,LB,15.36914643125479
114,Brandon Dorlus,DE,15.348768880544158
115,Mike Sainristil,DB,15.268255273979486
116,Trevin Wallace,LB,15.129616872281213
117,Brenden Rice,WR,14.998506368744692
118,Malachi Corley,WR,14.963617669796209
119,Kool-Aid McKinstry,DB,14.84814323291474
120,Ainias Smith,WR,14.831764127525636
121,Jha'Quan Jackson,WR,14.725013326963193
122,Isaiah Adams,OL,14.631925144300133
123,Maason Smith,DT,14.591584514455151
124,Xavier Thomas,DE,14.58500538389492
125,Jaylan Ford,LB,14.571155867381094
126,Jacob Monk,OL,14.547930597180594
127,Michael Barrett,LB,14.542717314791616
128,Jermaine Burton,WR,14.468832039520063
129,Jordan Jefferson,DT,14.463406600705596
130,Tahj Washington,WR,14.398598612228712
131,Ladd McConkey,WR,14.31653543257957
132,Justin Rogers,DL,14.248857716011164
133,Calen Bullock,SAF,14.112125101008376
134,Josh Newton,CB,14.099048061119147
135,Devontez Walker,WR,14.089045797422
136,Brennan Jackson,DE,14.05166235168627
137,Marcellas Dial,DB,14.05106149480141
138,Tommy Eichenberg,LB,14.005925184980134
139,Jaden Crumedy,DT,13.84394510342215
140,Micah Abraham,CB,13.797577476042699
141,Solomon Byrd,DE,13.735701401122196
142,Braelon Allen,RB,13.586666666666666
143,Jacob Cowing,WR,13.538691012722873
144,Jaden Davis,DB,13.47504577609109
145,Khyree Jackson,DB,13.466494424969653
146,Tanner McLachlan,TE,13.432322449558399
147,Jonah Elliss,DE,13.408297568938172
148,Blake Fisher,OL,13.376291185394125
149,Max Melton,DB,13.325305943423608
150,Kris Abrams-Draine,DB,13.311946097681137
151,James Williams,SAF,13.296777496368831
152,Cade Stover,TE,13.289172183977149
153,Adonai Mitchell,WR,13.26657504891944
154,Marcus Harris,DL,13.249495739926697
155,Deantre Prince,CB,13.237820865012587
156,Jordan Whittington,WR,13.201833448968516
157,Ben Sinnott,TE,13.125662526523087
158,Tyler Guyton,OL,13.121406329781333
159,Keon Coleman,WR,13.076858894144953
160,Kamal Hadden,DB,13.006610818941938
161,Xavier Legette,WR,12.988276188918013
162,Austin Booker,DL,12.828681423806348
163,Brock Bowers,TE,12.731061581426665
164,Jaheim Bell,TE,12.729721752449763
165,Tanor Bortolini,OL,12.553726426351437
166,Logan Lee,DL,12.552257662762697
167,Darius Muasau,LB,12.42434097275275
168,Jaylen Harrell,DE,12.406788256527852
169,Jared Verse,DL,12.381405499018182
170,Ricky Pearsall,WR,12.326562566446855
171,Cooper DeJean,DB,12.294342372007023
172,Decamerion Richardson,CB,12.196556198638143
173,Cedric Johnson,DE,12.126288310970573
174,Ja'Tavion Sanders,TE,11.98826273348697
175,Jeremiah Trotter Jr.,LB,11.964944396189754
176,Rasheen Ali,RB,11.893333333333333
177,Roman Wilson,WR,11.870519993320158
178,T.J. Tampa,DB,11.812555674814575
179,Sanoussi Kane,SAF,11.576432308762469
180,Jowon Briggs,DE,11.575169915582949
181,Will Shipley,RB,11.483333333333333
182,Dominique Hampton,CB,11.434467319697182
183,Tarheeb Still,DB,11.425266583921985
184,Nick Gargiulo,OL,11.392758075258072
185,Tip Reiman,TE,11.3661369174198
186,D.J. James,CB,11.141013704099937
187,Daijahn Anthony,SAF,11.076159252430672
188,Blake Corum,RB,11.046666666666667
189,Nate Wiggins,CB,10.994179953059072
190,Renardo Green,DB,10.925399847328515
191,Cornelius Johnson,WR,10.924615225395103
192,M.J. Devonshire,DB,10.877121371712947
193,Johnny Wilson,WR,10.6357616417289
194,Jordan Magee,LB,10.627701698771364
195,Marist Liufau,LB,10.583677572427579
196,Anthony Gould,WR,10.3678425318755
197,Daequan Hardy,CB,10.33905918362362
198,Darius Robinson,DL,10.313180148470643
199,Kamari Lassiter,DB,10.30418916759299
200,Jonah Laulu,DL,10.24400721656725
201,Ty'Ron Hopper,LB,10.184301639008376
202,Ryan Watts,SAF,10.158649621389111
203,LaDarius Henderson,OL,10.154467912262024
204,Ruke Orhorhoro,DT,10.13951093691705
205,Zion Logue,DL,10.0894942581957
206,Trevor Keegan,OL,10.059066220816215
207,Cam Hart,CB,9.921604510054594
208,Brandon Coleman,OL,9.888614505864505
209,Caelen Carson,DB,9.850136255369325
210,JD Bertrand,LB,9.79829766942151
211,DeWayne Carter,DT,9.783490841514865
212,Matt Goncalves,OL,9.500005658013011
213,Devin Culp,TE,9.446514187419425
214,Braden Fiske,DL,9.444579220206748
215,Casey Washington,WR,9.3602332530049
216,Theo Johnson,TE,9.300531207614144
217,Andru Phillips,DB,9.135908672013448
218,Kalen King,CB,9.084077417439344
219,AJ Barner,TE,8.916913552633833
220,Tatum Bethune,LB,8.62389903437474
221,Devaughn Vele,WR,7.796440399129862
222,Chau Smith-Wade,DB,7.556652853782199
223,Nehemiah Pritchett,CB,7.477222175864821
