player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Elijah Jones,76632,CB,BOSTON COL,9,3,0,32.5,0,1,121,0,0,91.6,90.6,86.6,46.4,71.7,69.6,0,1,0,5,44.0,9.4,3,6,2,18.1,13,0,0,35,363,257,524,14,0,0,14,0,3,510,4,263,109,9,26,0,40,1,1,194,58,14.9
Josh Newton,84268,CB,TCU,12,3,0,48.1,0,0,305,0,0,77.2,76.9,85.0,81.3,69.5,59.6,0,0,0,1,45.0,16.3,7,6,4,64.8,25,0,0,125,620,413,802,5,0,0,5,0,0,797,9,380,51,14,33,0,52,0,1,303,120,12.1
Mike Sainristil,97180,CB,MICHIGAN,12,10,0,52.6,0,0,222,0,0,77.2,77.3,86.9,62.8,75.7,74.5,0,6,2,5,69.0,6.7,2,5,0,69.7,20,1,0,73,99,261,498,18,0,0,18,0,5,480,29,208,303,9,18,2,38,7,3,338,183,16.9
Micah Abraham,97232,CB,MARSHALL,12,5,0,48.2,0,0,214,0,0,76.4,76.0,86.8,55.8,68.9,52.7,0,0,0,3,43.0,18.4,7,9,5,84.5,27,0,0,42,739,463,820,10,0,0,10,0,0,810,2,355,29,10,26,0,56,0,5,468,108,17.3
Jaden Davis,97250,CB,MIAMI FL,12,6,1,60.0,0,2,220,0,0,73.8,76.8,86.1,75.7,80.9,64.9,1,2,0,0,56.0,14.0,6,4,2,96.8,24,1,0,28,486,367,589,5,0,0,5,0,2,584,10,212,68,12,31,2,40,4,1,349,131,14.5
Jarrian Jones,97486,CB,FLORIDA ST,11,1,0,51.7,0,1,167,1,0,85.8,90.1,87.1,95.2,76.3,52.6,1,1,1,3,33.0,20.0,5,3,0,27.0,15,2,0,23,29,217,399,2,0,0,2,0,1,397,7,175,344,11,19,3,29,4,0,149,108,9.9
M.J. Devonshire,98832,CB,PITTSBURGH,12,5,0,45.5,1,0,268,0,0,63.1,61.9,85.7,69.8,51.7,48.6,0,0,1,4,54.0,18.9,7,5,4,60.8,25,0,0,37,585,328,662,5,0,1,4,0,0,657,3,331,35,8,25,0,55,0,3,435,142,17.4
Nehemiah Pritchett,98875,CB,AUBURN,9,4,0,46.2,1,0,115,0,0,74.6,71.0,84.0,51.0,52.4,53.4,0,1,0,1,28.0,17.2,5,3,2,58.8,12,0,0,27,427,254,471,1,0,0,1,0,2,470,4,213,13,8,20,1,26,1,1,134,25,11.2
Deantre Prince,98888,CB,OLE MISS,12,4,0,56.1,0,0,226,0,0,76.6,77.8,86.2,70.5,75.4,72.3,0,1,0,1,51.0,12.5,5,5,3,88.2,23,1,0,56,661,401,738,16,0,0,16,0,0,722,7,330,5,15,31,4,41,2,2,327,76,14.2
Renardo Green,99773,CB,FLORIDA ST,12,5,0,53.7,0,0,167,0,0,82.0,79.2,45.4,66.9,61.0,73.0,1,2,0,1,22.0,12.8,6,9,6,78.4,29,1,0,28,535,330,601,17,0,0,17,0,5,584,10,261,15,12,36,2,54,4,3,269,99,9.3
D.J. James,100379,CB,AUBURN,12,6,0,61.5,0,0,115,0,0,89.0,83.9,86.1,52.1,53.3,65.6,0,0,0,2,68.0,13.7,7,10,1,87.4,32,0,0,50,605,360,691,2,0,0,2,0,1,689,4,327,32,17,38,5,52,0,3,385,109,12.0
Daequan Hardy,101365,CB,PENN STATE,10,3,0,50.0,1,0,266,0,0,68.7,68.9,86.9,58.4,67.7,56.4,0,1,0,2,30.0,20.0,4,5,1,52.2,20,1,0,24,87,196,335,22,0,0,22,0,10,313,16,123,192,6,13,2,40,2,1,201,113,10.1
Cam Hart,102955,CB,NOTRE DAME,12,4,0,53.6,0,2,258,1,0,84.2,83.3,42.4,60.0,73.7,58.7,0,0,0,0,38.0,16.7,4,2,4,67.1,15,0,0,13,498,308,572,6,0,0,6,0,2,566,1,263,53,6,16,1,28,0,0,137,42,9.1
T.J. Tampa,122537,CB,IOWA STATE,12,5,0,51.0,0,0,193,0,0,78.3,75.8,55.0,64.4,66.0,52.7,0,1,0,2,30.0,16.9,10,6,3,54.8,25,0,0,60,614,411,747,53,0,0,53,0,2,694,3,333,18,14,44,3,49,1,1,240,99,9.6
Caelen Carson,123377,CB,WAKE,11,4,0,56.3,0,1,339,1,0,71.7,73.7,47.2,52.9,83.4,68.2,0,0,0,0,41.0,11.8,6,4,2,98.2,36,0,0,46,521,349,650,4,0,0,4,0,2,646,6,295,77,11,41,1,64,0,4,436,146,12.1
Andru Phillips,124075,CB,KENTUCKY,11,4,0,68.5,1,0,202,0,0,68.7,68.1,87.4,63.3,60.7,51.1,0,1,0,0,39.0,22.6,14,4,4,111.3,37,0,0,42,387,384,653,14,0,0,14,0,2,639,3,266,207,21,44,1,54,1,3,435,155,11.8
Decamerion Richardson,124183,CB,MISS STATE,12,16,0,64.2,1,0,227,0,0,86.5,86.4,86.3,74.8,72.8,90.3,0,0,0,0,48.0,3.9,3,2,5,90.1,43,1,0,47,720,421,781,3,0,0,3,0,2,778,3,357,9,21,57,0,67,1,2,396,149,9.2
Kris Abrams-Draine,124194,CB,MISSOURI,12,4,0,49.0,0,1,229,0,0,89.9,85.1,52.5,50.0,55.1,78.4,0,2,0,4,46.0,7.5,4,10,2,56.8,24,0,0,53,624,445,757,3,0,0,3,0,13,754,7,305,64,16,45,3,49,2,3,324,83,13.5
Tarheeb Still,129537,CB,MARYLAND,10,7,0,65.9,2,1,215,0,0,66.3,69.8,7.7,56.3,88.4,61.5,0,1,0,5,42.0,16.7,9,1,5,72.7,29,0,0,53,479,304,574,4,0,0,4,0,2,570,3,267,36,15,38,2,44,1,2,424,84,14.6
