player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jowon Briggs,74867,DI,CINCINNATI,12,8,0,,0,0,138,0,0,61.1,65.8,83.5,61.8,66.2,69.6,1,12,0,0,,7.4,2,0,0,0.0,0,2,0,0,0,1,443,442,8,79,47,308,0,1,234,208,0,14,17,3,0,15,0,0,0,
Jonah Laulu,75763,DI,OKLAHOMA,12,2,0,,0,0,261,0,0,59.6,68.4,82.6,69.3,63.1,29.5,3,13,0,0,,21.4,3,0,0,0.0,0,1,0,4,0,2,266,262,57,169,5,31,0,4,168,96,0,8,9,2,0,17,0,0,0,
Braden Fiske,76958,DI,FLORIDA ST,12,6,0,,0,0,167,0,0,60.0,70.7,42.1,73.1,67.0,55.5,3,17,0,0,,14.3,5,0,3,0.0,0,3,0,1,0,0,403,401,20,330,24,27,0,2,236,167,1,18,24,1,0,23,0,0,0,
Jaden Crumedy,83508,DI,MISS STATE,12,13,2,,0,0,227,0,0,56.4,68.3,68.8,62.4,72.8,73.9,3,16,0,0,,12.1,4,0,1,0.0,0,3,0,22,0,11,566,544,63,330,34,117,0,22,292,263,0,17,16,0,0,22,0,0,0,
Tyler Davis,97610,DI,CLEMSON,12,17,0,,0,0,140,0,0,60.0,84.5,84.0,67.2,90.6,84.2,1,17,0,0,,0.0,0,0,0,0.0,0,2,0,2,0,0,436,434,54,315,22,43,0,2,252,184,0,13,17,3,0,20,0,0,0,
Marcus Harris,97937,DI,AUBURN,12,12,1,,0,1,115,1,0,68.0,82.1,84.5,63.4,87.4,53.4,1,15,0,0,,16.7,8,0,1,0.0,0,7,0,1,0,0,533,531,12,400,5,114,0,2,300,233,0,30,28,5,0,23,0,0,0,
DeWayne Carter,98175,DI,DUKE,12,10,3,,1,1,154,1,1,63.0,68.4,52.0,66.2,67.6,30.3,3,17,0,0,,29.3,12,0,2,0.0,0,2,0,1,0,0,548,547,15,396,94,42,0,1,295,253,0,15,19,4,0,22,0,0,0,
Zion Logue,98944,DI,GEORGIA,12,4,1,,0,0,173,0,0,60.0,71.6,82.1,63.5,73.7,51.7,3,7,0,0,,18.8,3,0,0,0.0,0,0,0,2,0,0,304,302,42,177,2,81,0,2,173,131,0,7,9,2,0,10,0,0,0,
T'Vondre Sweat,99321,DI,TEXAS,12,14,6,,0,0,311,0,0,59.7,91.7,84.1,85.7,92.0,68.7,3,24,0,0,,9.5,4,0,1,0.0,0,2,0,1,0,1,434,432,52,343,8,29,0,2,265,168,0,24,24,9,0,29,0,0,0,
Jordan Jefferson,99325,DI,LSU,12,17,1,,0,0,211,0,0,60.5,72.1,85.1,60.2,75.0,65.0,0,4,0,0,,8.3,3,0,0,0.0,0,2,0,1,0,0,379,378,113,262,0,3,0,1,183,196,0,13,16,4,0,6,0,0,0,
Ruke Orhorhoro,99768,DI,CLEMSON,12,4,1,,0,0,140,0,0,59.3,75.8,85.0,66.9,78.6,68.8,4,17,0,0,,13.6,3,0,0,0.0,0,5,0,1,0,1,409,408,63,271,36,38,0,1,235,173,0,17,15,3,0,26,0,0,0,
Brandon Dorlus,100452,DI,OREGON,12,5,6,,0,0,264,1,0,65.7,75.8,29.8,77.7,69.7,72.1,7,31,0,0,,14.3,3,0,3,0.0,0,4,0,6,0,4,494,488,6,219,126,137,0,6,334,156,0,16,13,2,0,42,0,0,0,
Logan Lee,101416,DI,IOWA,12,15,3,,0,0,192,0,0,70.5,77.4,32.5,68.6,80.8,56.7,6,16,0,0,,11.4,5,0,4,0.0,0,1,0,4,0,2,625,621,93,503,1,24,0,4,341,282,0,20,24,4,0,23,0,0,0,
Justin Rogers,124076,DI,AUBURN,12,7,0,,0,0,115,0,0,60.0,64.0,84.5,57.5,65.6,62.4,0,6,0,0,,11.1,2,0,0,0.0,0,1,0,0,0,0,343,342,127,213,0,2,0,1,159,184,0,7,9,1,0,7,0,0,0,
McKinnley Jackson,124324,DI,TEXAS A&M,12,7,0,,0,1,312,1,0,60.0,76.8,66.2,70.0,76.9,36.6,2,8,0,0,,26.9,7,0,1,0.0,0,4,0,0,0,0,430,430,235,179,4,12,0,0,228,202,0,15,12,3,0,14,0,0,0,
Mekhi Wingo,128050,DI,LSU,7,6,0,,0,0,211,0,0,60.5,79.3,83.4,71.1,80.0,62.6,2,9,0,0,,9.5,2,0,0,0.0,0,3,0,2,0,0,344,341,38,227,6,70,0,3,205,139,0,8,13,0,0,14,0,0,0,
Jer'Zhan Newton,129420,DI,ILLINOIS,12,15,2,,1,2,187,1,0,67.0,84.9,55.2,84.0,77.1,48.7,7,29,0,0,,20.0,12,0,3,0.0,0,7,0,13,0,0,749,735,5,330,12,388,0,14,402,347,0,32,33,1,0,43,0,0,0,
Kris Jenkins,129584,DI,MICHIGAN,12,3,0,,0,0,222,0,0,63.5,78.7,82.4,69.2,78.5,53.8,0,12,0,1,,6.9,2,0,0,0.0,0,2,0,1,0,2,314,313,9,173,22,109,0,1,166,146,0,21,24,2,0,14,0,0,0,
Maason Smith,146774,DI,LSU,11,6,2,,1,0,211,0,0,64.1,64.7,21.3,74.8,56.7,82.0,2,15,0,0,,0.0,0,0,4,0.0,0,2,0,3,0,1,532,528,49,407,5,67,0,4,311,220,0,12,16,2,0,19,0,0,0,
