player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Solomon Byrd,75742,ED,USC,12,8,1,100.0,0,4,326,1,0,63.4,81.9,57.3,82.0,77.4,70.3,12,21,0,0,-2.0,11.4,5,0,2,79.2,1,7,0,5,0,19,585,579,0,57,450,72,0,6,302,264,1,30,31,4,1,40,0,-2,5,-2.0
Xavier Thomas,76807,ED,CLEMSON,11,5,1,66.7,0,0,140,1,0,42.0,69.7,29.8,72.3,73.5,71.9,6,29,0,0,22.0,9.1,2,0,3,104.9,2,3,0,6,0,14,444,437,0,7,395,35,0,7,267,163,1,13,15,1,3,38,0,34,34,17.0
Brennan Jackson,82474,ED,WASH STATE,12,18,2,,0,1,341,4,3,71.4,82.3,88.9,76.5,78.2,62.3,5,26,0,0,,19.0,11,0,0,0.0,0,9,0,3,0,20,614,608,2,9,574,23,0,6,323,271,3,24,29,2,0,40,0,0,0,
Myles Cole,83500,ED,TEXAS TECH,12,7,1,50.0,0,0,315,0,0,73.3,64.9,88.3,63.1,59.5,53.8,4,19,0,0,-3.0,23.3,10,0,0,56.3,1,4,0,3,0,35,570,564,1,18,368,177,0,6,281,254,2,28,26,3,2,27,0,-3,3,-3.0
Javontae Jean-Baptiste,83514,ED,NOTRE DAME,12,13,2,100.0,0,0,258,1,0,57.6,81.3,70.4,73.4,84.7,79.1,9,21,0,0,8.0,7.0,3,0,1,100.0,1,5,0,1,0,3,496,495,0,9,445,41,0,1,284,209,0,26,27,5,1,35,0,8,9,8.0
Mohamed Kamara,97731,ED,COLO STATE,12,12,0,,1,2,144,1,1,72.5,85.9,0.0,91.2,72.2,55.3,12,38,0,0,,23.4,11,0,7,0.0,0,14,1,22,0,8,612,590,0,3,568,19,0,22,342,262,0,29,24,3,0,64,0,0,0,
Javon Solomon,97821,ED,TROY,12,9,0,100.0,0,1,318,1,0,61.8,87.1,47.9,87.8,79.4,75.3,9,19,0,0,13.0,11.8,4,0,2,97.9,2,15,0,0,0,2,492,492,1,36,202,253,0,0,280,210,0,28,21,3,2,43,0,15,23,7.5
Marshawn Kneeland,98344,ED,W MICHIGAN,10,13,1,100.0,0,2,347,0,0,74.4,89.7,53.1,84.7,83.4,73.0,3,28,0,0,8.0,10.5,6,0,2,90.3,3,6,1,85,0,19,557,472,0,3,435,34,0,85,288,250,0,35,38,4,3,37,0,17,9,5.7
Justin Eboigbe,98925,ED,ALABAMA,12,18,2,,0,0,103,0,0,65.8,78.1,69.6,62.4,86.6,82.0,4,15,0,0,,4.2,2,0,1,0.0,0,6,0,3,0,1,550,547,24,136,249,138,0,3,315,234,0,26,28,3,0,25,0,0,0,
Darius Robinson,98946,ED,MISSOURI,11,7,0,,0,1,229,1,0,67.8,82.4,68.2,76.2,81.0,57.1,6,23,0,0,,20.0,7,0,1,0.0,0,8,0,1,0,5,465,464,0,15,351,98,0,1,263,197,0,25,21,3,0,37,0,0,0,
Bralen Trice,100550,ED,WASHINGTON,12,14,0,33.3,0,0,340,1,0,73.2,88.3,66.1,90.8,72.4,47.8,17,43,0,0,2.0,25.5,13,0,2,42.4,1,6,0,8,2,42,742,732,0,8,721,3,0,10,431,269,0,22,24,4,3,66,0,2,1,2.0
Laiatu Latu,100551,ED,UCLA,12,12,0,80.0,0,3,324,0,0,94.8,96.3,73.0,94.3,82.1,58.4,11,36,0,2,13.0,24.0,12,0,1,42.9,4,15,0,21,0,21,535,514,0,32,450,32,0,21,304,210,0,33,26,5,5,62,0,19,12,4.8
Adisa Isaac,101406,ED,PENN STATE,12,9,0,40.0,0,1,266,1,0,69.8,81.8,88.0,73.4,80.2,72.5,4,18,0,0,5.0,10.8,4,0,0,47.9,2,9,0,7,0,19,380,373,2,3,362,6,0,7,197,164,0,24,24,7,5,31,0,10,12,5.0
Jared Verse,101912,ED,FLORIDA ST,12,12,2,100.0,0,1,167,1,0,59.1,80.7,72.6,90.3,63.6,58.6,15,29,0,0,9.0,21.4,9,0,1,102.1,2,8,0,5,0,19,529,524,0,12,489,23,0,5,291,219,0,19,21,3,2,52,0,17,15,8.5
