player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Payton Wilson,77127,LB,NC STATE,12,31,3,64.9,0,2,248,2,0,90.4,89.8,88.1,76.8,83.5,90.6,7,9,1,3,25.0,4.7,6,3,0,47.2,24,6,0,490,1,310,716,174,0,0,174,0,7,542,151,255,44,67,92,11,37,22,0,221,164,9.2
Nathaniel Watson,81317,LB,MISS STATE,12,34,2,76.2,0,2,227,2,0,63.0,72.4,32.2,74.3,70.6,90.0,6,19,0,1,49.0,5.4,6,0,2,86.0,16,10,0,652,2,242,740,34,0,0,34,0,0,706,165,333,52,46,71,4,21,35,0,203,174,12.7
Edefuan Ulofoshio,81459,LB,WASHINGTON,12,13,0,60.7,0,1,340,0,0,88.0,86.0,45.9,75.8,78.1,76.0,0,6,1,1,48.0,10.7,9,2,2,58.3,17,3,0,403,5,268,496,18,0,0,18,0,2,478,30,198,68,31,62,3,28,9,0,138,133,8.1
Michael Barrett,83822,LB,MICHIGAN,12,12,0,63.6,0,3,222,2,0,72.1,89.9,84.5,93.8,80.7,70.3,0,14,0,0,27.0,10.0,5,2,0,76.3,14,2,0,363,4,201,424,22,0,0,22,0,0,402,46,177,35,24,33,1,22,16,0,112,88,8.0
Darius Muasau,86008,LB,UCLA,12,17,4,73.9,0,0,324,0,0,81.0,79.1,23.8,73.5,73.1,72.8,0,12,0,1,32.0,13.0,9,1,2,107.2,17,4,0,547,1,287,618,28,0,0,28,0,0,590,113,218,42,30,43,5,23,16,2,180,162,10.6
Jordan Magee,98155,LB,TEMPLE,11,20,1,75.0,0,0,306,0,0,79.8,89.5,84.5,90.7,83.1,63.1,3,11,0,0,18.0,14.9,13,2,0,86.7,12,6,0,470,2,249,557,14,0,0,14,0,1,543,32,276,70,41,54,9,16,20,0,85,41,7.1
Tatum Bethune,98532,LB,FLORIDA ST,11,13,0,54.2,0,0,167,0,0,63.0,68.7,83.0,69.5,68.7,56.6,2,7,0,0,21.0,19.4,12,1,1,62.8,13,0,0,381,0,198,448,29,0,0,29,0,0,419,40,210,38,28,37,4,24,9,0,90,72,6.9
Ty'Ron Hopper,98781,LB,MISSOURI,10,13,1,70.0,0,0,229,0,0,39.6,51.5,19.7,64.2,60.9,47.6,1,13,0,0,37.0,22.7,17,2,3,103.6,21,3,0,469,1,252,562,35,0,0,35,0,1,527,87,223,56,29,45,4,30,17,1,231,199,11.0
Jamal Hill,100609,LB,OREGON,12,6,0,68.8,0,2,264,0,0,71.8,68.3,83.9,72.9,51.7,81.9,1,9,0,0,16.0,4.2,1,2,0,82.3,11,2,0,249,5,193,343,24,0,0,24,0,0,319,50,100,65,13,17,3,16,12,0,88,61,8.0
Tommy Eichenberg,101488,LB,OHIO STATE,10,27,1,75.0,0,1,260,0,0,52.7,61.9,51.5,65.2,67.3,79.7,2,8,0,0,21.0,8.7,8,2,1,100.5,18,1,0,552,0,269,607,18,0,0,18,0,2,589,64,274,35,31,57,2,24,11,0,207,122,11.5
JD Bertrand,102787,LB,NOTRE DAME,11,29,0,57.9,0,1,258,0,0,72.8,82.2,54.7,80.8,76.6,61.5,7,17,0,0,21.0,16.0,13,2,2,76.2,11,4,0,536,2,233,613,41,0,0,41,0,0,572,96,284,34,30,39,5,19,28,0,118,47,10.7
Marist Liufau,102789,LB,NOTRE DAME,12,14,0,90.9,0,1,258,1,0,84.1,74.3,33.7,66.9,66.5,52.1,4,16,0,0,12.0,18.9,10,1,2,90.2,10,5,0,421,6,191,595,148,0,0,148,0,1,447,129,275,19,22,29,3,11,25,0,62,52,6.2
Tyrice Knight,122025,LB,UTEP,12,19,4,65.6,0,1,330,2,0,69.9,82.9,60.3,84.0,77.3,80.4,0,9,0,0,32.0,9.9,15,2,2,100.4,21,5,0,729,4,333,778,10,0,0,10,0,11,768,40,405,24,75,117,11,32,14,1,255,188,12.1
Cedric Gray,122835,LB,N CAROLINA,12,31,0,69.4,0,2,245,2,0,78.0,74.0,63.6,76.5,62.7,60.8,7,9,0,1,29.0,14.6,19,3,1,79.0,34,5,0,773,3,379,880,24,0,0,24,0,1,856,100,401,76,54,80,8,49,21,1,245,221,7.2
Jaylan Ford,123114,LB,TEXAS,12,26,0,71.8,0,1,311,1,0,49.4,67.4,85.2,63.3,81.3,69.8,5,12,0,2,51.0,12.2,12,1,0,98.3,28,2,0,574,0,359,687,79,0,0,79,0,1,608,77,251,32,43,60,7,39,19,2,381,272,13.6
Edgerrin Cooper,124311,LB,TEXAS A&M,12,17,1,87.5,0,2,312,0,0,85.5,90.8,86.1,86.4,87.6,73.7,5,12,0,0,38.0,12.8,11,2,0,101.0,14,10,0,453,8,272,609,66,0,0,66,0,0,543,83,254,82,56,58,12,16,27,0,132,125,9.4
Junior Colson,124827,LB,MICHIGAN,12,29,0,81.8,0,0,222,0,0,77.3,78.6,85.2,60.6,78.9,89.2,2,8,0,0,21.0,3.8,3,0,0,109.5,18,0,0,394,6,245,498,64,0,1,63,0,0,434,44,209,34,26,48,2,22,10,1,146,98,8.1
Jeremiah Trotter Jr.,144142,LB,CLEMSON,12,24,2,88.9,0,1,140,0,0,81.9,85.6,29.6,78.7,80.4,62.5,7,14,1,2,37.0,16.3,15,2,3,82.7,24,7,0,618,1,318,689,41,0,0,41,0,1,648,102,269,28,37,53,7,27,28,1,224,177,9.3
Trevin Wallace,146747,LB,KENTUCKY,11,21,0,87.5,0,1,202,0,0,55.0,58.7,85.8,64.7,58.8,66.8,3,12,0,1,30.0,13.2,10,0,0,86.6,21,4,0,535,4,275,589,9,0,0,9,0,3,580,63,251,38,26,45,3,24,19,0,215,140,10.2
