player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Cooper Beebe,99434,G,KANSAS ST,12,100.0,1,199,82.0,90.1,77.5,0,7,401,100.0,100.0,98.6,2,9,2,870,0,748,19,870,421,421,0,103,449,0
Tanor Bortolini,129915,C,WISCONSIN,12,100.0,1,349,65.9,80.3,61.1,2,8,477,100.0,100.0,98.7,5,11,1,868,868,0,0,868,497,497,0,0,371,0
Christian Mahogany,98261,G,BOSTON COL,12,100.0,1,121,74.9,82.2,74.5,0,7,394,100.0,100.0,99.1,5,7,0,862,0,0,2,862,422,422,826,32,440,2
KT Leveston,77487,T,KANSAS ST,12,100.0,0,199,71.7,74.4,66.8,2,12,395,100.0,100.0,97.7,2,16,2,861,0,0,855,861,415,415,0,0,446,5
Isaiah Adams,158192,T,ILLINOIS,12,100.0,0,187,65.6,56.0,73.2,2,20,479,100.0,100.0,95.8,6,31,9,841,0,101,9,841,518,518,0,730,323,1
Javon Foster,81748,T,MISSOURI,12,100.0,0,229,83.7,80.5,85.8,0,12,395,100.0,100.0,98.2,10,13,1,831,0,0,825,831,419,419,0,0,412,5
Michael Jurgens,77345,G,WAKE,12,100.0,1,339,82.5,81.2,86.5,1,5,421,100.0,100.0,99.0,5,7,1,811,76,735,0,811,453,453,0,0,358,0
Beaux Limmer,99067,C,ARKANSAS,12,100.0,0,111,74.5,61.5,77.6,0,9,402,100.0,100.0,98.1,3,12,3,809,776,33,0,809,422,422,0,0,387,0
Zach Frazier,123419,C,W VIRGINIA,12,100.0,1,343,77.1,83.8,74.8,3,3,328,100.0,100.0,99.1,4,6,0,806,806,0,0,806,359,359,0,0,447,0
Sataoa Laumea,100525,T,UTAH,12,100.0,1,328,65.4,54.0,68.7,5,24,372,100.0,100.0,96.1,4,29,0,803,0,1,4,803,388,388,0,798,415,0
Christian Haynes,77339,G,UCONN,12,100.0,0,146,80.2,82.5,80.1,1,10,420,100.0,100.0,98.5,4,12,1,802,0,0,0,802,438,438,802,0,364,0
Travis Glover,81658,T,GA STATE,12,99.8,1,175,72.5,81.6,67.3,3,4,372,99.7,99.7,98.0,5,11,4,800,0,4,789,802,390,391,0,0,410,7
Tylan Grable,109425,T,UCF,12,99.6,0,323,73.0,82.0,67.7,1,8,363,99.2,99.2,98.8,8,9,0,797,0,0,767,800,387,390,2,0,410,26
Nick Gargiulo,109845,C,S CAROLINA,12,100.0,0,289,55.2,68.0,51.0,0,24,501,100.0,100.0,97.2,6,26,2,797,459,336,0,797,524,524,0,0,273,1
