player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kimani Vidal,123727,HB,TROY,12,252,81,15,36.3,490,0,1349,0,10,81,866.0,116.3,39,66,318,2,94,81.5,90.7,58.5,,76.7,65.2,91.2,56.7,69,1,197,17,208,277,0,0,20,269,9,1349,866.0,3.44,5.4,0.95,157
Audric Estime,147476,HB,NOTRE DAME,12,209,64,22,44.1,591,0,1341,0,3,64,892.0,126.5,38,69,258,1,121,85.6,94.2,85.9,,63.6,72.1,94.0,60.0,80,0,142,17,109,223,0,0,17,226,18,1341,892.0,4.27,6.4,1.3,88
Blake Corum,129574,HB,MICHIGAN,12,202,20,10,30.6,299,0,976,1,1,20,518.0,25.3,20,64,222,2,123,76.2,83.3,40.6,,50.3,65.0,82.7,57.0,54,2,72,11,101,224,0,0,13,213,22,976,518.0,2.56,4.8,0.71,79
Rasheen Ali,121717,HB,MARSHALL,11,201,29,12,45.5,471,0,1035,3,5,29,524.0,38.9,22,50,214,5,78,68.7,74.6,58.7,,50.2,51.7,80.7,58.2,61,1,207,27,247,257,0,0,38,228,14,1035,524.0,2.61,5.1,0.84,123
Jonathon Brooks,144721,HB,TEXAS,10,187,63,16,43.3,492,0,1135,2,13,63,732.0,140.3,24,51,311,1,86,84.1,91.5,86.1,,77.0,76.0,91.9,64.3,67,0,286,25,191,203,0,0,29,212,10,1135,732.0,3.91,6.1,1.5,101
Ray Davis,101072,HB,KENTUCKY,12,185,50,15,43.6,463,0,1063,2,6,50,723.0,102.7,30,51,202,1,118,84.4,87.7,25.4,,34.5,69.6,91.3,75.8,75,2,318,28,233,217,0,0,35,213,13,1063,723.0,3.91,5.7,1.36,64
Braelon Allen,145159,HB,WISCONSIN,11,181,49,16,40.4,397,0,982,1,6,49,682.0,99.2,24,58,349,4,57,57.2,74.9,85.3,,30.0,60.9,78.6,65.7,52,0,131,28,180,212,0,0,30,209,12,982,682.0,3.77,5.4,0.73,121
Jawhar Jordan,99595,HB,LOUISVILLE,12,167,32,14,45.0,482,0,1071,2,6,32,547.0,67.3,23,49,210,1,56,82.5,89.8,85.6,,51.9,64.0,91.3,56.6,74,0,225,18,161,195,0,0,22,185,13,1071,547.0,3.28,6.4,1.4,109
Jase McClellan,123926,HB,ALABAMA,12,167,45,12,30.1,241,0,801,1,4,45,543.0,89.0,24,42,103,0,90,90.5,79.0,46.0,,26.1,56.5,83.8,50.7,29,1,128,12,152,203,0,0,15,179,6,801,543.0,3.25,4.8,0.84,76
Bucky Irving,144970,HB,OREGON,12,163,61,16,38.8,409,0,1055,2,19,61,651.0,152.1,31,54,264,1,96,82.8,87.1,86.2,60.4,21.1,74.4,91.1,62.2,56,0,361,47,286,186,0,0,52,210,10,1055,651.0,3.99,6.5,1.26,62
Will Shipley,144138,HB,CLEMSON,11,156,26,14,36.0,292,1,811,3,7,26,470.0,53.7,28,45,140,3,74,62.3,72.5,21.3,,27.6,74.0,75.3,40.2,33,2,222,29,211,215,0,0,36,185,5,811,470.0,3.01,5.2,1.05,79
Trey Benson,131705,HB,FLORIDA ST,12,138,41,14,55.7,467,0,838,3,7,41,505.0,112.6,21,35,167,0,79,90.0,84.1,85.9,,84.6,57.5,87.5,57.1,85,0,212,18,149,177,0,0,22,156,14,838,505.0,3.66,6.1,1.42,59
Jaylen Wright,146934,HB,TENNESSEE,12,136,43,19,52.1,526,0,1010,1,5,43,592.0,132.2,35,41,307,1,86,79.1,91.0,83.9,,72.6,74.4,91.2,52.9,82,0,141,22,107,159,0,0,25,158,4,1010,592.0,4.35,7.4,1.32,50
MarShawn Lloyd,124247,HB,USC,11,115,47,18,56.7,463,0,816,1,10,47,457.0,177.0,24,37,326,3,66,51.7,80.8,84.8,,28.9,62.8,86.0,75.2,56,0,232,13,190,156,0,0,18,128,9,816,457.0,3.97,7.1,1.22,48
Isaac Guerendo,83806,HB,LOUISVILLE,12,105,26,11,49.5,316,0,639,1,8,26,445.0,118.1,17,31,210,1,31,75.7,87.9,28.5,,48.8,83.7,88.7,55.5,73,1,192,17,104,135,0,0,19,122,8,639,445.0,4.24,6.1,1.85,74
Keilan Robinson,97097,HB,TEXAS,11,8,2,1,39.0,23,0,59,0,5,2,34.0,212.5,2,3,311,0,3,75.2,77.0,77.4,,,74.2,76.3,56.9,23,0,36,6,29,23,0,0,7,14,1,59,34.0,4.25,7.4,1.24,4
