player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Malik Washington,97108,WR,VIRGINIA,12,8.1,35,80.4,64.7,11,17,0,2.6,3,58,335,0,91.3,79.3,91.1,,92.4,5.2,24,5,64,0.0,0,462,1,111,95.0,439,87.9,406,115.1,138,9,6.7,31,1384,710,6.4,12.5,3.15
Malik Nabers,146759,WR,LSU,12,12.5,30,69.4,47.6,10,21,0,5.5,5,69,211,0,80.0,76.6,93.3,,93.5,0.2,1,2,51,0.0,0,422,3,86,96.2,406,53.6,226,142.7,124,14,46.2,195,1545,580,6.7,18.0,3.81
Rome Odunze,73774,WR,WASHINGTON,12,16.2,12,64.0,70.8,17,24,0,3.9,3,60,340,2,83.7,40.9,88.0,,88.1,0.9,4,5,50,0.0,0,461,1,73,93.1,429,17.8,82,123.6,114,13,81.1,374,1325,390,5.3,18.2,3.09
Marvin Harrison Jr.,145056,WR,OHIO STATE,12,13.1,5,58.8,43.3,13,30,0,8.2,6,51,260,0,69.3,75.6,89.9,,89.6,0.8,3,4,75,0.0,0,366,1,67,96.2,352,19.4,71,120.3,114,14,79.8,292,1211,427,6.4,18.1,3.44
Jacob Cowing,100894,WR,ARIZONA,12,5.9,8,73.2,30.8,4,13,0,6.8,6,41,109,1,70.1,54.2,72.7,62.1,74.6,0.0,0,4,37,0.2,1,426,1,82,96.0,409,70.0,298,107.6,112,11,29.3,125,716,471,5.7,8.7,1.75
Malachi Corley,66272,WR,W KENTUCKY,11,5.8,13,68.2,23.5,4,17,0,7.4,6,40,346,2,65.3,36.9,82.2,,82.1,0.0,0,3,75,0.0,0,366,0,75,94.0,344,85.8,314,117.2,110,11,13.7,50,959,648,8.6,12.8,2.79
Luke McCaffrey,101634,WR,RICE,12,10.9,10,61.8,60.7,17,28,0,4.2,3,44,275,0,83.5,77.4,81.4,,84.2,0.0,0,7,51,0.0,0,463,2,68,94.6,438,70.6,327,99.9,110,12,28.7,133,963,408,6.0,14.2,2.2
Troy Franklin,146567,WR,OREGON,12,13.0,13,73.3,37.5,6,16,0,10.5,9,54,264,0,61.7,75.9,85.9,,88.5,0.8,3,1,84,0.0,0,400,1,77,95.0,380,16.8,67,150.9,105,14,82.5,330,1349,526,6.8,17.5,3.55
Xavier Worthy,144718,WR,TEXAS,12,10.3,11,65.0,25.0,5,20,0,6.9,5,42,311,1,72.9,57.0,70.1,,73.4,0.0,0,2,45,0.0,0,398,1,67,96.0,382,37.7,150,100.1,103,5,62.1,247,883,463,6.9,13.2,2.31
Xavier Legette,99197,WR,S CAROLINA,12,13.8,9,73.2,47.6,10,21,0,2.7,2,47,289,0,88.1,77.6,82.5,,86.9,0.0,0,3,76,0.0,0,415,1,71,95.9,398,34.0,141,126.3,97,7,64.6,268,1255,451,6.4,17.7,3.15
