player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Evan Williams,73864,S,OREGON,11,15,0,79.3,0,1,264,2,0,78.1,77.2,86.9,84.3,64.4,67.7,1,0,0,0,40.0,15.9,13,2,1,94.7,23,5,0,235,7,399,615,7,0,0,7,0,243,608,16,200,123,32,54,1,29,6,0,195,56,8.5
Kitan Oladapo,83349,S,OREGON ST,12,15,1,60.0,0,1,265,1,0,82.5,85.5,55.9,67.5,90.0,72.8,1,6,0,2,40.0,14.3,11,6,1,63.0,21,2,0,263,15,416,728,25,0,0,25,0,168,703,35,277,257,21,51,1,35,9,1,212,58,10.1
Jaylen Key,83413,S,ALABAMA,10,8,0,63.2,0,0,103,0,0,73.3,70.6,6.4,64.8,66.9,65.3,0,0,0,1,17.0,14.0,8,0,3,53.4,12,0,0,187,8,328,579,1,0,0,1,0,222,578,4,247,161,14,41,3,19,0,0,94,57,7.8
Dominique Hampton,83452,S,WASHINGTON,12,30,0,63.6,1,0,340,0,0,70.9,69.4,26.3,54.7,69.0,73.5,0,0,0,2,68.0,13.6,14,5,3,82.9,28,0,0,221,22,503,791,25,0,0,25,0,309,766,6,282,214,8,59,0,44,0,1,413,161,14.8
Dadrion Taylor-Demerson,97348,S,TEXAS TECH,12,15,1,54.8,1,0,315,0,0,76.7,79.2,20.8,90.9,77.5,79.3,3,4,0,4,21.0,9.9,8,4,2,48.8,17,1,0,109,4,394,747,9,0,0,9,0,438,738,15,338,186,15,58,1,31,8,2,142,72,8.4
Tyler Nubin,97895,S,MINNESOTA,12,15,0,30.0,0,1,225,1,0,90.1,89.2,21.7,71.3,70.2,84.3,0,4,0,5,46.0,9.4,6,4,2,39.6,6,1,0,198,5,414,768,13,0,0,13,0,468,755,13,341,84,13,43,0,20,5,2,90,38,15.0
Jaylin Simpson,98876,S,AUBURN,12,12,0,60.0,0,0,115,1,0,87.4,76.9,87.6,60.2,48.0,65.9,1,2,1,4,30.0,14.9,7,4,2,54.0,15,0,0,150,1,343,650,4,0,0,4,0,299,646,10,297,195,7,28,0,25,3,1,169,64,11.3
Tykee Smith,99500,S,GEORGIA,12,11,0,56.0,1,0,173,0,0,85.0,82.7,52.1,83.4,68.6,70.3,0,7,0,4,49.0,13.0,9,2,2,51.0,28,2,0,65,29,305,557,52,0,0,52,0,13,505,29,223,398,25,49,4,50,9,3,187,177,6.7
Patrick McMorris,101309,S,CAL,12,19,0,61.8,0,2,130,2,0,70.6,67.2,88.4,87.3,51.9,46.0,1,2,0,1,44.0,23.2,22,2,1,84.7,21,1,0,247,8,447,804,21,0,0,21,0,357,783,19,338,171,17,54,1,34,4,2,194,112,9.2
Jaylon Carlies,124196,S,MISSOURI,11,15,0,70.7,0,1,229,1,0,65.3,67.1,87.4,90.9,60.3,56.4,0,5,0,2,33.0,17.4,12,3,0,115.9,29,1,0,153,21,375,633,19,0,0,19,0,299,614,14,244,141,23,42,3,41,6,5,350,191,12.1
