player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jalen Ramsey,10639,CB,FLORIDA ST,12,2,5,62.0,0,2,167,0,0,85.3,90.5,90.9,91.5,76.2,73.3,4,10,0,2,55.0,16.4,10,4,0,94.8,44,3,0,230,31,386,852,0,0,0,0,0,38,852,58,408,553,27,49,7,71,17,5,500,243,11.4
Eli Apple,10644,CB,OHIO STATE,12,3,0,51.1,0,1,260,1,1,69.0,71.6,86.5,43.9,81.1,63.0,0,1,0,2,83.0,18.4,7,3,5,77.7,24,0,0,95,639,406,735,0,0,0,0,0,1,735,3,326,0,10,28,4,47,1,3,333,142,13.9
Vernon Hargreaves III,10645,CB,FLORIDA,11,13,0,44.2,0,1,163,2,0,92.2,92.2,86.1,56.9,78.7,69.8,1,1,0,2,34.0,11.8,6,8,1,47.1,23,0,0,75,527,341,640,0,0,0,0,0,15,640,11,288,23,17,32,2,52,2,1,222,65,9.7
William Jackson III,10658,CB,HOUSTON,12,3,0,50.0,1,1,182,1,0,80.0,80.8,86.8,,72.5,58.6,0,0,0,2,72.0,17.9,7,8,3,70.8,32,0,0,34,719,426,767,0,0,0,0,0,1,767,0,341,13,7,29,2,64,0,2,455,208,14.2
Artie Burns,10659,CB,MIAMI FL,12,3,0,47.4,1,0,220,0,0,69.3,72.3,85.0,85.1,70.6,81.7,0,0,0,0,43.0,6.1,2,4,4,84.1,18,2,0,86,400,260,497,0,0,0,0,0,4,497,4,233,7,7,28,0,38,2,1,308,128,17.1
Xavien Howard,10672,CB,BAYLOR,12,3,0,43.8,1,0,118,0,0,72.1,71.9,53.9,81.6,60.0,77.7,0,2,0,4,68.0,14.6,7,9,12,74.8,32,2,0,162,661,480,828,0,0,0,0,0,0,828,6,342,5,11,38,3,73,4,6,554,105,17.3
Mackensie Alexander,10688,CB,CLEMSON,12,3,0,48.9,1,0,140,1,0,73.0,74.5,50.2,58.7,78.2,52.6,0,0,0,0,74.0,25.0,7,3,2,88.5,22,0,0,31,676,410,725,0,0,0,0,0,2,725,1,314,16,6,18,3,45,0,2,333,111,15.1
Cyrus Jones,10694,CB,ALABAMA,12,1,0,52.6,3,2,103,1,1,74.6,75.9,19.7,62.5,81.5,68.4,0,0,0,2,31.0,12.5,5,7,7,75.7,40,0,0,38,738,469,797,0,0,0,0,0,3,797,6,322,18,8,34,1,76,0,3,503,148,12.6
Will Redmond,10702,CB,MISS STATE,11,4,0,56.8,0,0,227,0,0,70.1,71.6,27.7,58.2,79.3,58.5,2,1,0,3,83.0,16.7,8,3,3,93.0,25,0,0,36,336,276,427,0,0,0,0,0,6,427,8,143,49,13,36,2,44,3,3,520,207,20.8
Daryl Worley,10711,CB,W VIRGINIA,10,2,0,56.1,0,0,343,0,0,73.3,72.6,85.9,,61.1,40.8,0,0,0,3,54.0,20.6,13,7,0,63.9,37,0,0,31,619,371,661,0,0,0,0,0,8,661,0,290,3,17,48,4,66,0,1,459,149,12.4
