player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
DeForest Buckner,10641,DI,OREGON,12,8,2,,0,1,264,0,0,73.6,79.8,73.3,60.9,86.7,77.9,6,26,0,0,,9.8,6,1,1,0.0,0,5,0,8,0,7,749,741,24,2,52,663,0,8,446,296,0,36,47,7,0,37,0,0,0,
Sheldon Rankins,10646,DI,LOUISVILLE,12,8,0,,0,1,210,1,0,77.1,90.1,54.4,69.9,92.9,73.4,6,24,0,2,,13.0,6,0,2,0.0,0,8,0,1,0,4,658,657,128,57,16,456,0,1,379,275,0,35,32,4,0,38,0,0,0,
Kenny Clark,10661,DI,UCLA,12,13,2,,0,0,324,1,0,77.2,84.6,74.7,61.1,91.1,87.8,2,15,0,0,,1.9,1,0,1,0.0,0,0,0,2,0,0,750,748,321,232,2,193,0,2,403,347,0,31,38,6,0,17,0,0,0,
Robert Nkemdiche,10663,DI,OLE MISS,12,8,1,,0,0,226,0,0,60.0,67.4,68.6,64.3,67.3,67.2,4,25,0,0,,14.7,5,0,1,0.0,0,1,0,2,0,0,600,598,0,339,40,219,0,2,307,293,0,13,21,1,0,30,0,0,0,
Vernon Butler,10664,DI,LA TECH,12,8,0,,0,0,208,1,0,63.4,68.6,50.9,56.8,77.8,72.7,2,13,0,0,,10.6,5,0,2,0.0,0,3,0,4,0,0,576,572,205,32,1,334,0,4,339,237,0,33,34,12,0,18,0,0,0,
Chris Jones,10671,DI,MISS STATE,12,4,2,,0,0,227,0,0,61.3,73.9,62.0,69.6,74.6,69.2,8,19,0,0,,9.1,2,0,1,0.0,0,4,0,0,0,3,411,410,17,215,91,87,0,1,275,133,1,16,16,0,0,31,0,0,0,
Austin Johnson,10677,DI,PENN STATE,12,8,3,,0,0,266,2,0,61.9,71.2,35.6,59.3,79.8,77.9,3,8,0,0,,2.3,1,0,3,0.0,0,2,0,1,0,2,559,558,49,485,1,23,0,1,312,245,0,24,34,6,0,13,0,0,0,
A'Shawn Robinson,10680,DI,ALABAMA,12,11,2,,1,1,103,0,0,63.5,75.7,44.7,59.9,83.5,76.1,2,12,0,0,,5.0,2,0,2,0.0,0,0,0,5,0,0,456,451,15,272,54,110,0,5,234,222,0,18,27,2,0,14,0,0,0,
Jarran Reed,10683,DI,ALABAMA,12,10,5,,0,0,103,0,0,53.6,74.9,63.1,57.2,87.4,55.3,0,6,0,0,,16.2,6,0,1,0.0,0,0,0,1,0,0,452,451,48,268,23,112,0,1,232,220,0,13,21,3,0,6,0,0,0,
Adam Gotsis,10697,DI,GA TECH,12,2,2,0.0,0,0,176,0,0,59.3,63.4,85.4,60.2,63.5,76.7,2,16,0,1,,4.0,1,0,0,0.0,0,2,0,0,0,2,686,686,0,396,48,242,0,0,356,328,0,23,22,4,1,20,0,0,0,
Maliek Collins,10701,DI,NEBRASKA,12,6,0,,0,0,238,0,0,60.0,67.2,72.8,65.5,65.7,83.0,4,27,0,0,,7.1,2,0,1,0.0,0,6,0,1,0,0,792,791,17,681,21,72,0,1,422,370,0,22,20,6,0,37,0,0,0,
Jonathan Bullard,10706,DI,FLORIDA,11,10,2,,1,0,163,0,0,67.7,71.8,67.2,54.9,80.7,78.8,9,5,0,0,,6.8,3,0,1,0.0,0,2,0,2,0,1,589,587,5,154,56,372,0,2,324,264,0,23,31,5,0,16,0,0,0,
Adolphus Washington,10714,DI,OHIO STATE,12,5,1,,0,1,260,0,0,58.3,77.2,38.0,66.2,83.6,48.9,4,11,0,0,,25.0,11,0,3,0.0,0,6,0,3,0,2,607,604,22,555,1,26,0,3,312,293,0,27,28,4,0,21,0,0,0,
Vincent Valentine,10730,DI,NEBRASKA,12,11,2,,0,1,238,0,0,57.8,74.7,50.8,61.9,82.0,60.7,2,7,0,0,,11.4,4,0,2,0.0,0,3,0,0,0,0,535,535,13,488,2,32,0,0,257,278,0,18,20,3,0,12,0,0,0,
Charles Tapper,10735,DI,OKLAHOMA,12,1,2,100.0,0,1,261,1,0,62.9,62.1,26.8,59.9,66.5,53.8,1,26,0,0,29.0,18.5,5,0,4,118.8,1,1,0,14,0,12,634,620,1,2,58,559,0,14,387,235,0,18,21,5,1,28,0,29,18,29.0
Sheldon Day,10737,DI,NOTRE DAME,10,2,1,66.7,0,0,258,0,0,59.9,66.4,37.2,66.5,67.1,67.9,6,15,0,0,40.0,10.8,4,1,3,109.7,2,1,0,5,0,18,577,572,11,282,105,174,0,5,301,258,0,24,31,6,3,22,0,48,31,24.0
