player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Darron Lee,10654,LB,OHIO STATE,12,7,0,67.9,0,1,260,2,2,51.1,63.4,29.5,77.2,69.3,65.7,4,14,0,2,18.0,15.6,10,2,3,64.3,36,6,0,480,1,294,706,21,0,0,21,0,0,685,88,324,204,30,47,9,53,24,0,272,202,7.6
Jaylon Smith,10668,LB,NOTRE DAME,12,9,1,75.6,1,1,258,0,0,83.0,74.9,64.2,78.3,66.7,67.6,6,13,0,0,38.0,13.3,14,0,1,101.8,31,3,0,695,5,390,884,107,0,0,105,2,2,777,79,415,75,47,82,5,41,22,1,281,174,9.1
Myles Jack,10670,LB,UCLA,12,13,0,66.7,2,0,324,0,0,89.7,78.3,21.5,72.6,75.3,87.0,3,9,0,0,39.0,5.7,5,7,5,91.1,42,0,0,598,13,491,964,226,0,0,226,0,3,738,55,418,124,29,69,9,63,12,2,346,252,8.2
Reggie Ragland,10675,LB,ALABAMA,12,13,1,70.8,0,1,103,3,0,57.6,67.3,78.3,65.5,71.9,60.6,4,4,0,1,28.0,16.9,15,0,1,74.3,17,1,0,543,4,245,591,33,0,0,3,30,0,558,58,288,11,40,61,6,24,9,0,176,114,10.4
Deion Jones,10686,LB,LSU,12,4,0,71.4,0,0,211,1,0,79.7,70.4,76.0,67.4,58.1,62.3,3,3,0,0,16.0,20.8,5,1,0,77.1,5,0,0,164,0,72,199,20,0,0,13,7,0,179,31,96,15,6,15,3,7,6,0,26,19,5.2
Nick Vigil,10721,LB,UTAH ST,12,16,1,65.2,0,4,329,0,0,67.0,77.0,62.5,76.9,78.5,63.9,6,8,0,1,16.0,13.3,14,0,1,79.8,15,8,0,696,10,301,834,106,0,0,106,0,0,728,155,378,22,59,75,8,23,22,2,66,33,4.4
Joshua Perry,10736,LB,OHIO STATE,12,22,0,73.8,0,0,260,0,0,90.2,83.9,78.5,68.9,81.9,91.8,3,8,0,1,18.0,3.1,3,1,0,70.8,31,4,0,682,0,349,731,13,0,0,13,0,4,718,66,316,32,48,72,4,42,15,0,173,133,5.6
B.J. Goodson,10743,LB,CLEMSON,11,1,0,66.7,0,0,140,2,0,61.8,71.6,80.4,69.3,74.9,80.9,2,1,0,0,27.0,5.6,1,0,0,91.7,4,1,0,103,0,59,182,66,0,0,66,0,0,116,14,109,13,13,16,2,6,4,0,49,41,12.3
Nick Kwiatkoski,10747,LB,W VIRGINIA,12,10,0,65.5,0,0,343,0,0,73.9,82.9,60.8,51.1,87.0,64.8,3,8,0,0,20.0,14.0,15,3,1,80.0,19,0,0,801,0,331,803,2,0,0,2,0,0,801,92,380,0,54,82,9,29,11,0,162,111,8.5
De'Vondre Campbell,10749,LB,MINNESOTA,12,9,0,80.0,0,0,225,3,0,72.4,66.8,75.2,65.8,62.6,78.0,0,6,1,1,24.0,10.8,8,1,0,75.7,24,3,0,593,0,252,616,2,0,0,2,0,0,614,63,301,21,30,57,5,30,9,0,165,165,6.9
