player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Joe Dahl,10785,T,WASH STATE,12,100.0,0,341,79.5,89.9,68.3,2,19,823,100.0,100.0,98.1,8,26,5,1051,0,0,1051,1051,866,866,0,0,185,0
Mark Glowinski,9567,G,W VIRGINIA,12,100.0,0,343,76.9,74.1,75.0,1,18,524,100.0,100.0,97.8,2,21,2,1021,0,0,0,1021,551,551,1021,0,470,0
Kyle Fuller,11998,C,BAYLOR,12,100.0,1,118,68.3,79.6,67.1,0,5,483,100.0,100.0,99.1,10,7,2,1007,1007,0,0,1007,506,506,0,0,501,0
Spencer Drango,10802,T,BAYLOR,12,100.0,0,118,90.0,90.8,84.4,1,7,471,100.0,100.0,99.2,1,8,0,970,0,0,924,970,493,493,0,1,477,45
Scott Quessenberry,23918,G,UCLA,12,100.0,0,324,72.1,78.4,69.5,1,15,502,100.0,100.0,98.2,3,17,1,962,74,1,0,962,532,532,887,0,430,0
Caleb Benenoch,10782,T,UCLA,12,100.0,3,324,63.4,78.6,59.1,5,17,503,100.0,100.0,96.8,12,27,5,961,0,0,0,961,533,533,0,961,428,0
Le'Raven Clark,10716,T,TEXAS TECH,12,100.0,1,315,75.7,73.2,71.8,2,23,585,100.0,100.0,97.5,3,27,2,958,0,0,952,958,625,625,0,0,333,5
Cody Wichmann,9648,G,FRESNO ST,12,100.0,0,169,91.3,86.8,91.9,2,5,501,100.0,100.0,98.9,2,9,2,938,0,6,0,938,526,526,932,0,412,0
Forrest Lamp,11793,T,W KENTUCKY,12,100.0,0,346,88.7,91.8,81.8,1,8,549,100.0,100.0,98.8,2,11,2,935,0,0,935,935,566,566,0,0,369,0
Laurence Gibson,9676,T,VA TECH,12,100.0,1,337,80.0,73.1,82.0,6,23,486,100.0,100.0,96.8,6,30,1,918,0,0,916,918,515,515,0,0,403,1
Joey Hunt,10849,C,TCU,12,100.0,0,305,83.4,89.7,80.4,1,5,529,100.0,100.0,99.2,3,7,1,913,913,0,0,913,554,554,0,0,359,0
Wes Schweitzer,10829,T,S JOSE ST,12,99.9,0,285,74.6,72.6,75.7,7,12,490,99.8,99.8,97.4,9,22,3,911,0,0,908,912,507,508,0,0,404,2
Jamil Douglas,9547,T,ARIZONA ST,12,100.0,0,110,79.7,69.0,80.9,3,21,477,100.0,100.0,96.2,2,30,6,904,0,0,892,904,506,506,0,2,398,9
Max Tuerk,10700,C,USC,12,100.0,2,326,72.0,69.1,73.0,3,10,455,100.0,100.0,97.9,8,16,3,897,897,0,0,897,476,476,0,0,421,0
Austin Blythe,10882,G,IOWA,12,100.0,1,192,82.6,80.3,82.9,5,7,454,100.0,100.0,98.2,4,14,2,894,385,383,0,894,474,474,126,0,420,0
Andrew Donnal,9552,T,IOWA,12,100.0,0,192,85.9,84.0,82.3,5,16,454,100.0,100.0,97.5,2,22,1,894,0,0,0,894,474,474,0,894,420,0
Halapoulivaati Vaitai,10798,T,TCU,12,100.0,0,305,79.5,76.6,81.2,1,12,518,100.0,100.0,98.2,4,16,3,891,0,0,137,891,542,542,0,748,349,2
Nick Martin,10684,G,NOTRE DAME,12,100.0,0,258,76.9,85.7,75.5,1,9,510,100.0,100.0,98.6,5,12,2,888,202,686,0,888,535,535,0,0,353,0
Ronnie Stanley,10640,T,NOTRE DAME,12,99.9,0,258,83.3,84.7,79.4,2,15,508,99.8,99.8,98.3,4,17,0,885,0,0,886,886,533,534,0,0,352,0
Austin Corbett,46290,T,NEVADA,12,100.0,0,239,72.0,83.0,64.3,2,8,408,100.0,100.0,98.3,3,12,2,882,0,0,882,882,425,425,0,0,457,0
Brandon Scherff,9438,T,IOWA,12,100.0,0,192,90.1,77.2,91.1,7,14,443,100.0,100.0,97.4,3,22,1,882,0,0,882,882,463,463,0,0,419,0
