Unnamed: 0,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
0,Brandon Doughty,10857,QB,W KENTUCKY,12,75.4,495,512,8.6,2.45,6,24,4.5,67.2,344,0,126,7.8,544,29,0,346,64.9,85.0,84.2,54.2,4,10,561,1,15.9,114.0,3.7,20,12,0,7,44,14,2.5,4349,8.5
1,Jared Goff,10635,QB,CAL,12,71.8,471,508,10.2,2.45,9,30,5.6,61.6,313,0,174,7.4,555,25,2,130,41.5,85.9,85.6,52.1,10,7,589,3,14.4,103.1,4.5,25,22,1,17,35,15,2.5,3954,7.8
2,Christian Hackenberg,10685,QB,PENN STATE,12,64.4,405,436,8.7,2.71,8,20,4.4,54.1,236,0,174,9.6,506,25,1,266,51.3,43.9,48.1,37.2,3,15,529,3,24.7,63.8,8.5,43,27,1,19,8,21,4.0,2595,6.0
3,Cody Kessler,10727,QB,USC,12,81.0,394,414,8.0,2.78,5,21,4.8,70.3,291,0,164,8.8,453,28,3,326,65.0,92.8,92.7,56.9,1,4,475,3,17.1,120.7,6.2,28,11,0,14,36,7,1.5,3490,8.4
4,Paxton Lynch,10660,QB,MEMPHIS,12,74.6,351,370,8.4,2.48,3,22,5.7,63.8,236,0,122,9.9,405,26,4,218,59.5,80.7,82.3,59.4,0,6,421,3,11.5,96.1,3.5,14,21,0,16,18,13,3.1,2789,7.5
5,Brad Kaaya,11970,QB,MIAMI FL,12,66.0,326,348,9.9,2.49,6,16,4.4,58.3,203,0,96,5.6,371,12,4,220,67.8,66.1,65.7,54.4,5,11,385,4,19.8,96.8,5.1,19,3,0,11,25,18,4.7,2952,8.5
6,Davis Webb,11842,QB,TEXAS TECH,8,71.3,335,347,8.6,2.35,4,21,5.8,60.8,211,0,85,11.7,355,28,1,315,56.3,74.7,75.3,52.2,1,13,373,4,4.7,90.8,1.1,4,4,1,6,24,21,5.6,2547,7.3
7,Dak Prescott,10769,QB,MISS STATE,12,69.0,332,345,9.8,2.76,4,17,4.7,61.2,211,0,121,7.9,388,18,3,227,72.9,67.9,67.2,60.4,4,10,406,0,15.7,100.3,4.9,19,24,0,5,24,17,4.2,2996,8.7
8,Jacoby Brissett,10725,QB,NC STATE,12,70.1,311,344,9.7,2.98,6,16,4.4,59.6,205,0,137,6.0,431,13,1,248,37.8,80.0,69.4,86.2,1,5,454,0,20.4,95.4,6.5,28,59,1,25,22,15,3.3,2344,6.8
9,Jake Rudock,10825,QB,IOWA,11,73.1,312,340,9.2,2.8,10,15,4.2,62.1,211,0,113,7.5,384,17,3,192,58.6,71.7,75.2,47.4,4,5,400,2,15.0,92.8,4.4,17,27,0,14,16,11,2.8,2404,7.1
10,Tanner Lee,38321,QB,TULANE,10,62.0,329,337,10.1,2.38,5,9,2.5,54.9,185,0,118,9.3,369,19,2,319,78.2,43.0,43.0,52.6,2,14,389,2,18.6,66.8,6.0,22,10,0,1,12,26,6.7,1975,5.9
11,Kevin Hogan,10796,QB,STANFORD,12,72.0,328,335,9.2,2.63,2,16,4.5,65.1,218,0,75,7.6,387,18,1,300,40.8,68.9,74.4,45.2,0,8,406,3,26.7,95.6,5.2,20,32,1,4,17,22,5.4,2599,7.8
12,Connor Cook,10734,QB,MICH STATE,12,64.3,314,324,11.1,2.71,2,22,6.5,58.0,188,0,85,6.9,345,14,1,223,46.5,79.6,81.5,49.3,2,6,362,1,15.3,102.6,3.8,13,8,0,6,22,16,4.4,2900,9.0
13,Brandon Allen,10835,QB,ARKANSAS,12,66.2,290,317,10.1,2.77,4,11,3.3,56.2,178,0,106,7.3,343,14,2,111,45.1,68.0,69.6,51.9,0,5,357,5,12.3,89.2,3.8,13,13,0,23,18,16,4.5,2127,6.7
14,Alex McGough,46420,QB,FIU,12,64.5,251,276,9.3,2.64,4,4,1.4,50.0,138,1,98,14.8,332,24,1,166,27.6,33.3,33.5,48.1,5,10,341,3,30.6,69.3,9.0,30,26,2,14,13,22,6.5,1655,6.0
15,Logan Woodside,46517,QB,TOLEDO,11,70.3,259,267,9.0,2.39,5,16,5.6,61.0,163,0,59,10.4,284,19,1,316,28.4,70.4,76.8,37.5,2,7,307,2,13.6,98.2,2.8,8,9,0,1,19,12,3.9,2082,7.8
16,Luke Falk,46586,QB,WASH STATE,5,73.3,236,245,8.1,2.72,0,13,5.1,63.3,155,0,78,10.4,276,18,0,341,76.6,69.4,70.1,58.7,0,7,288,3,21.8,92.5,6.2,17,14,2,7,13,12,4.2,1879,7.7
17,Mike White,46453,QB,USF,11,63.1,225,241,9.9,2.86,3,13,5.2,50.6,122,0,81,14.1,266,20,2,327,34.6,52.6,58.1,29.1,6,7,281,4,18.5,71.6,5.6,15,10,0,7,8,10,3.6,1639,6.8
18,Jeff Driskel,10841,QB,FLORIDA,8,67.2,180,196,9.2,2.42,4,3,1.5,54.1,106,0,56,12.4,215,15,0,163,71.3,60.2,59.2,60.1,6,10,224,1,16.1,64.4,4.2,9,10,1,5,9,7,3.1,1092,5.6
19,Patrick Mahomes,11765,QB,TEXAS TECH,7,70.3,175,185,11.0,2.82,2,10,4.9,56.8,105,0,73,14.6,204,18,3,315,49.4,64.1,64.9,56.3,3,4,225,1,13.7,104.0,4.9,10,9,0,5,16,12,5.3,1545,8.4
20,Nate Sudfeld,10821,QB,INDIANA,6,69.7,155,169,10.4,2.79,1,7,3.9,59.8,101,0,48,6.5,194,7,2,190,67.9,63.7,62.8,59.1,1,3,203,3,12.5,84.7,3.1,6,19,0,12,6,6,3.0,1151,6.8
21,Danny Etling,23519,QB,PURDUE,5,65.1,152,162,6.6,2.52,4,5,3.0,54.9,89,0,55,10.1,184,10,0,273,64.2,49.8,47.2,64.1,2,5,187,2,21.8,67.9,6.5,12,10,0,4,6,9,4.8,800,4.9
22,Joshua Dobbs,11890,QB,TENNESSEE,5,70.2,151,157,8.2,2.76,1,4,2.5,61.1,96,0,50,9.4,177,10,0,307,30.1,66.9,57.3,73.1,0,5,185,1,18.0,85.1,5.1,9,11,1,4,8,14,7.6,1068,6.8
23,Deshaun Watson,11767,QB,CLEMSON,8,74.8,135,137,11.2,2.71,0,8,5.6,67.9,93,0,46,7.9,155,8,1,140,80.0,88.7,86.0,72.6,0,2,163,0,17.4,131.2,5.2,8,10,0,2,14,2,1.2,1466,10.7
24,Keenan Reynolds,10816,QB,NAVY,10,59.4,96,107,13.8,3.25,0,5,4.5,45.8,49,0,63,14.0,132,8,0,237,34.1,60.3,57.0,60.7,4,3,137,0,28.6,79.4,13.6,18,7,3,4,6,7,5.1,826,7.7
25,C.J. Beathard,11859,QB,IOWA,7,70.3,64,69,9.8,2.66,0,4,5.5,56.5,39,0,20,13.3,76,6,0,192,75.0,76.5,75.0,65.0,3,1,80,0,20.0,88.0,5.3,4,3,0,2,3,3,3.8,502,7.3
26,Mason Rudolph,46569,QB,OKLA STATE,2,65.5,58,60,12.2,2.54,0,4,6.1,53.3,32,0,29,15.8,69,6,1,262,71.2,65.6,67.5,53.5,0,3,75,1,17.2,86.4,7.2,5,4,0,2,4,4,5.3,554,9.2
27,Nick Bawden,27413,QB,S DIEGO ST,3,48.6,37,39,12.2,2.99,1,0,0.0,33.3,13,0,15,27.8,50,5,0,284,39.2,38.7,38.8,49.1,0,2,50,0,20.0,32.7,6.0,3,8,0,1,1,3,6.0,147,3.8
28,Ryan Finley,46426,QB,BOISE ST,3,56.0,25,27,12.2,3.26,0,0,0.0,44.4,12,0,13,14.3,33,2,0,120,70.6,58.5,52.7,70.6,1,1,37,0,30.8,73.2,12.1,4,2,0,1,2,1,2.7,161,6.0
29,Nathan Peterman,11926,QB,TENNESSEE,6,62.5,16,21,3.4,2.65,2,0,0.0,47.6,10,0,13,0.0,25,0,1,307,29.1,42.9,44.4,50.0,2,0,25,1,7.7,54.3,4.0,1,3,0,1,0,1,4.0,49,2.3
30,Cardale Jones,10773,QB,OHIO STATE,5,62.5,16,17,9.4,2.82,0,1,5.9,58.8,10,0,4,0.0,23,0,0,260,50.8,72.4,67.3,67.8,0,0,23,0,0.0,118.8,0.0,0,6,0,1,2,0,0.0,116,6.8
31,Chris Covington,49825,QB,INDIANA,1,36.4,11,12,16.8,3.73,0,1,8.3,25.0,3,0,6,25.0,14,1,0,190,20.4,42.7,35.5,54.9,0,2,14,0,16.7,0.0,7.1,1,1,0,1,0,2,14.3,31,2.6
32,Zach Allen,38296,QB,TCU,1,100.0,2,2,-2.5,1.1,0,0,0.0,100.0,2,0,0,0.0,2,0,0,305,68.7,69.5,62.7,64.8,0,0,2,0,,102.1,0.0,0,0,0,0,0,0,0.0,17,8.5
33,Luke Falk,46586,QB,WASH STATE,11,79.4,569,595,6.4,2.54,1,30,4.9,70.1,417,0,139,7.7,657,35,222,341,52.2,81.8,84.0,43.9,8,8,675,5,25.2,105.0,5.3,35,27,3,14,36,25,3.7,4280,7.2
34,Patrick Mahomes,11765,QB,TEXAS TECH,12,75.4,492,521,8.3,2.81,4,26,4.8,64.5,336,0,186,9.4,581,35,201,315,59.5,80.0,75.8,73.0,3,14,608,5,10.2,99.2,3.3,19,41,2,20,32,22,3.6,4263,8.2
35,Jared Goff,10635,QB,CAL,12,74.0,466,494,10.1,2.51,5,29,5.5,63.6,314,0,161,9.0,542,31,203,130,63.6,91.1,90.0,75.3,3,13,577,5,15.5,105.0,4.6,25,23,2,18,37,24,4.2,4259,8.6
36,Josh Rosen,35460,QB,UCLA,12,69.7,412,450,9.6,2.65,11,27,5.7,59.1,266,0,168,7.3,476,21,156,324,57.6,81.8,78.3,75.4,1,9,503,3,8.3,88.9,2.9,14,12,1,25,20,27,5.4,3352,7.4
37,Brandon Doughty,10857,QB,W KENTUCKY,12,82.4,427,448,7.8,2.36,5,22,4.7,71.9,322,0,128,8.5,464,30,196,346,49.9,91.8,91.4,48.2,4,6,483,1,10.2,126.5,2.8,13,3,0,12,42,11,2.3,4172,9.3
38,Dak Prescott,10769,QB,MISS STATE,12,75.8,418,437,7.9,2.61,5,17,3.8,66.6,291,0,164,8.2,483,26,168,227,60.3,75.5,72.3,69.4,5,4,497,2,18.3,105.4,6.2,30,16,2,7,25,22,4.4,3419,7.8
39,Chad Kelly,12008,QB,OLE MISS,12,75.7,399,427,9.3,2.29,20,31,6.9,64.9,277,0,151,8.3,467,25,173,226,41.7,84.6,80.6,75.2,4,12,490,3,11.9,101.9,3.9,18,22,0,4,27,21,4.3,3734,8.7
40,Alex McGough,46420,QB,FIU,12,76.5,400,420,6.4,2.49,7,15,3.4,63.8,268,0,144,12.4,472,38,127,166,27.8,70.8,74.3,47.5,2,8,491,3,18.1,90.9,5.5,26,26,0,11,21,23,4.7,2709,6.5
41,Jeff Driskel,10841,QB,LA TECH,12,70.9,392,412,11.0,2.45,4,27,6.3,61.9,255,0,133,8.3,451,23,167,208,70.3,82.2,81.3,66.4,1,8,471,4,14.3,101.3,4.2,19,20,2,13,24,14,3.0,3589,8.7
