player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Daniel Thomas,6214,HB,MIA,12,44,5,1,8.9,15,0,168,0,2,5,92.0,25.7,5,9,17,1,6,47.8,66.3,85.0,,87.8,66.5,61.9,60.0,15,0,121,13,120,51,0,0,18,57,2,168,92.0,2.09,3.8,1.01,38
Austin Johnson,8438,FB,NO,7,8,1,0,0.0,0,0,22,0,0,1,14.0,17.5,0,5,20,0,0,72.9,71.4,79.2,,87.0,63.5,61.1,68.1,8,0,15,2,21,72,0,0,2,10,0,22,14.0,1.75,2.8,0.71,0
Jordan Howard,10784,HB,UAB,12,305,68,21,32.8,523,0,1595,1,2,68,920.0,67.2,50,2,321,2,115,84.9,82.2,86.9,60.4,86.5,53.7,79.3,67.9,55,0,72,9,112,341,0,0,11,314,13,1595,920.0,3.02,5.2,0.64,0
Jay Ajayi,9582,HB,BOISE ST,12,304,47,24,39.0,631,0,1620,3,10,47,1079.0,58.0,41,1,120,5,167,67.4,78.3,45.4,54.8,57.9,61.2,81.4,55.7,74,2,535,45,302,396,0,0,50,349,24,1620,1079.0,3.55,5.3,1.77,0
David Cobb,9571,HB,MINNESOTA,12,291,59,19,31.2,481,1,1544,2,2,59,923.0,63.9,47,2,225,4,108,70.7,79.8,88.6,,48.6,52.4,80.0,62.7,67,1,129,12,124,403,0,0,15,303,13,1544,923.0,3.17,5.3,1.04,0
Cameron Artis-Payne,9607,HB,AUBURN,12,276,59,19,32.6,479,0,1471,2,3,59,818.0,63.8,41,2,115,2,110,83.2,78.1,86.7,,71.9,55.1,77.5,69.6,37,0,129,12,171,389,0,0,15,288,11,1471,818.0,2.96,5.3,0.75,0
James Conner,11860,HB,PITTSBURGH,12,275,84,21,33.1,554,0,1675,0,3,84,822.0,92.9,49,4,268,3,122,85.2,92.8,89.8,,22.6,66.3,90.9,77.9,74,0,70,5,68,334,0,0,7,280,24,1675,822.0,2.99,6.1,1.03,9
Tevin Coleman,9506,HB,INDIANA,12,270,50,29,57.0,1156,0,2027,2,4,50,1086.0,73.6,46,3,190,5,68,62.7,80.1,86.4,,78.8,67.0,78.6,55.6,90,1,141,25,161,310,0,0,31,295,15,2027,1086.0,4.02,7.5,0.88,0
Devontae Booker,10770,HB,UTAH,12,265,38,15,33.2,444,0,1336,0,5,38,819.0,43.7,32,0,328,6,45,58.6,70.9,61.7,,81.4,73.4,68.7,56.3,76,1,282,39,197,354,0,0,42,304,9,1336,819.0,3.09,5.0,1.43,0
Donnel Pumphrey,11887,HB,S DIEGO ST,12,254,49,26,46.2,807,0,1747,3,6,49,756.0,60.0,47,1,284,3,114,74.9,73.5,0.0,58.4,76.8,60.6,73.6,56.8,93,3,118,19,128,299,0,0,28,273,19,1747,756.0,2.98,6.9,0.92,0
Javorius Allen,9558,HB,USC,12,249,41,18,35.1,466,2,1329,5,6,41,650.0,42.3,40,2,326,2,122,82.0,77.6,59.0,,53.7,71.2,78.2,59.4,53,3,447,41,249,278,0,0,50,290,9,1329,650.0,2.61,5.3,1.8,0
Jeremy Langford,9539,HB,MICH STATE,12,248,33,21,38.1,518,0,1361,1,2,33,698.0,38.3,34,1,223,2,157,80.6,71.0,88.9,,59.6,54.1,72.8,45.1,38,0,56,9,143,298,0,0,18,257,19,1361,698.0,2.81,5.5,0.39,0
Justin Jackson,29539,HB,NWESTERN,12,245,64,9,22.1,262,0,1186,1,3,64,768.0,78.7,37,3,256,0,113,91.7,84.0,86.4,,62.1,58.6,85.7,61.8,68,0,201,22,193,273,0,0,25,267,10,1186,768.0,3.13,4.8,1.04,0
Samaje Perine,11869,HB,OKLAHOMA,12,239,64,26,47.3,745,0,1575,0,2,64,850.0,93.5,41,0,261,1,58,87.8,79.3,89.0,,68.5,61.1,76.8,84.0,66,0,86,12,139,294,0,0,12,251,21,1575,850.0,3.56,6.6,0.62,0
Ameer Abdullah,9487,HB,NEBRASKA,12,237,53,24,47.5,721,0,1519,0,8,53,762.0,77.5,43,4,238,2,38,80.1,87.6,88.5,,50.4,73.5,87.0,67.1,57,0,208,16,194,331,0,0,24,253,18,1519,762.0,3.22,6.4,1.07,0
Paul Perkins,10783,HB,UCLA,12,229,30,18,37.0,509,0,1375,2,10,30,682.0,46.7,42,1,324,2,69,79.5,72.3,87.7,,48.2,51.6,77.0,51.5,92,0,201,26,262,292,0,0,32,255,7,1375,682.0,2.98,6.0,0.77,0
Kenneth Dixon,10768,HB,LA TECH,12,220,63,16,43.3,465,1,1074,0,12,63,741.0,102.7,27,1,208,5,71,55.9,71.4,59.1,,73.9,71.1,69.0,71.6,99,2,306,26,206,266,0,0,35,246,19,1074,741.0,3.37,4.9,1.49,0
Aaron Jones,11937,HB,UTEP,11,217,43,18,41.3,511,0,1238,4,5,43,789.0,71.2,32,1,330,3,110,71.1,70.4,86.6,,58.2,58.5,70.9,61.6,73,1,284,28,134,286,0,0,35,245,11,1238,789.0,3.64,5.7,2.12,0
Daniel Lasco,10871,HB,CAL,12,212,37,12,25.6,287,0,1121,5,9,37,596.0,53.2,31,2,130,3,81,71.1,78.7,61.6,,85.2,60.7,80.8,70.0,50,1,339,31,301,273,0,0,39,243,12,1121,596.0,2.81,5.3,1.13,0
Royce Freeman,45747,HB,OREGON,12,209,42,16,32.8,389,0,1185,1,2,42,554.0,52.5,36,0,264,1,56,86.2,79.1,86.3,72.6,75.7,59.0,78.9,59.8,38,0,125,13,173,267,0,0,15,222,16,1185,554.0,2.65,5.7,0.72,0
Marlon Mack,11898,HB,USF,12,201,25,13,44.1,463,1,1049,5,4,25,621.0,40.4,21,4,327,5,77,60.9,63.6,53.5,,72.2,52.9,64.0,67.2,75,4,160,21,156,248,0,0,30,222,9,1049,621.0,3.09,5.2,1.03,0
