player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Isaiah Johnson,9753,S,GA TECH,11,4,0,57.1,0,2,176,2,0,72.1,67.7,87.8,52.1,56.3,65.8,0,3,0,1,30.0,14.5,10,4,0,83.0,16,0,0,112,6,348,658,0,0,0,0,0,442,658,6,304,98,14,55,3,28,3,2,164,66,10.3
Karl Joseph,10648,S,W VIRGINIA,12,10,0,50.0,0,3,343,0,0,84.8,82.0,88.8,74.6,66.1,71.0,4,4,0,1,76.0,17.0,16,1,0,72.6,15,0,0,352,4,437,862,0,0,0,0,0,416,862,30,395,90,34,68,4,30,8,1,228,122,15.2
Keanu Neal,10651,S,FLORIDA,9,3,0,61.1,0,0,163,1,1,69.1,66.3,85.5,59.7,57.1,57.5,2,0,0,3,79.0,20.0,8,0,0,96.8,11,0,0,72,6,220,415,0,0,0,0,0,261,415,8,187,76,13,29,1,18,2,2,200,98,18.2
Su'a Cravens,10687,S,USC,12,5,2,56.7,0,1,326,0,0,89.4,91.0,91.4,77.4,86.5,79.3,1,9,1,2,18.0,17.9,12,5,1,51.5,17,5,0,382,2,405,797,60,0,0,60,0,54,737,64,328,299,34,50,11,30,15,1,136,79,8.0
T.J. Green,10691,S,CLEMSON,8,1,0,83.3,0,0,140,0,0,45.0,54.7,80.7,57.1,76.0,62.6,0,0,0,0,48.0,21.4,3,0,0,118.8,5,0,0,50,5,70,143,0,0,0,0,0,76,143,2,71,12,4,10,0,6,0,0,89,37,17.8
Sean Davis,10692,S,MARYLAND,12,18,0,52.6,0,1,215,0,0,72.7,74.9,89.6,84.2,66.8,76.4,6,0,0,0,43.0,12.8,14,5,0,116.2,20,1,0,215,127,491,984,0,0,0,0,0,497,984,26,467,145,24,77,2,38,7,6,280,64,14.0
Vonn Bell,10695,S,OHIO STATE,12,11,0,44.4,0,0,260,1,0,76.4,79.4,88.6,57.9,80.6,78.1,0,0,0,4,60.0,12.2,9,4,1,56.4,16,0,0,36,2,394,697,0,0,0,0,0,500,697,1,302,159,11,54,1,36,0,3,251,105,15.7
Kevin Byard,10698,S,MIDDLE TN,12,13,0,61.9,0,2,224,0,0,86.9,81.6,58.7,50.5,68.2,77.1,0,2,0,6,54.0,13.9,10,1,2,55.6,26,0,0,57,0,479,917,0,0,0,0,0,769,917,2,436,91,16,49,3,42,2,2,258,134,9.9
Darian Thompson,10705,S,BOISE ST,11,7,0,61.3,0,0,120,0,0,90.1,90.7,49.6,53.0,82.2,88.7,0,0,1,7,38.0,6.7,4,1,2,79.6,19,0,0,114,4,407,679,0,0,0,0,0,429,679,3,269,132,20,49,3,31,0,3,251,72,13.2
Justin Simmons,10732,S,BOSTON COL,12,2,0,63.0,0,0,121,0,0,68.0,73.0,88.4,74.6,80.4,73.7,1,1,0,2,77.0,11.7,7,4,1,115.7,34,0,0,126,237,423,745,0,0,0,0,0,208,745,10,312,174,17,51,1,54,2,6,512,240,15.1
