,player,position,av
0,Jayden Daniels,QB,34.257484168244034
1,Drake Maye,QB,30.834532148042005
2,Bo Nix,QB,30.47909033699359
3,Caleb Williams,QB,29.586206803860055
4,J.J. McCarthy,QB,29.21950228493126
5,Jordan Travis,QB,28.226973494277466
6,Michael Pratt,QB,28.0349487135027
7,Spencer Rattler,QB,24.244459398487667
8,Troy Fautanu,OL,23.798295291205132
9,Walter Rouse,OL,23.637209670828497
10,Roger Rosengarten,OL,23.529421434669512
11,Kingsley Suamataia,OL,23.506672999825494
12,Patrick Paul,OL,23.369721817240773
13,Matt Lee,C,22.781146043394134
14,Olumuyiwa Fashanu,OL,22.422103506954528
15,Dominick Puni,OL,22.115196252444335
16,Amarius Mims,OL,22.03968216919071
17,Tylan Grable,OL,21.979348823342644
18,Taliese Fuaga,OL,21.40362582787582
19,Jordan Morgan,OL,21.276133051159363
20,Audric Estime,RB,21.230135931477648
21,Kimani Vidal,RB,21.21379995264167
22,Jackson Powers-Johnson,OL,21.181562208331187
23,Zach Frazier,OL,20.979586316461308
24,Joe Alt,OL,20.953768472110973
25,Cooper Beebe,OL,20.90994946024048
26,Christian Mahogany,OL,20.66023622129504
27,Blake Fisher,OL,20.505150931078965
28,Tanor Bortolini,OL,20.337314914441084
29,Sedrick Van Pran-Granger,OL,20.264513847263846
30,Devin Leary,QB,19.356181477878852
31,Matt Goncalves,OL,19.3487987660871
32,Javon Foster,OL,18.82405293018528
33,JC Latham,OL,18.460112159626867
34,Nick Samac,C,18.43897071717699
35,Zak Zinter,OL,18.330843113571447
36,T'Vondre Sweat,DL,18.32
37,Christian Haynes,OL,18.232241814013875
38,Michael Jurgens,OL,18.22021766223973
39,Jer'Zhan Newton,DL,18.18
40,Tyler Davis,DT,18.18
41,Hunter Nourzad,OL,18.09175646519804
42,Isaiah Adams,OL,18.010778107771134
43,Graham Barton,OL,17.942934883782048
44,KT Leveston,OL,17.8999973678809
45,Layden Robinson,OL,17.80501620931925
46,Beaux Limmer,OL,17.455431628270254
47,Jarrett Kingston,OL,17.423612020657323
48,Nathan Thomas,OL,17.37707792505626
49,Mekhi Wingo,DT,17.16
50,Marcus Harris,DL,17.16
51,Trevor Keegan,OL,16.743202249328437
52,Caedan Wallace,OL,16.727448922589815
