team_giving_picks,team_receiving_picks,picks_given,picks_received,av_difference
Bears,49ers,"[3]","[2]",-24
Jets,Colts,"[6, 37, 49]","[3]",-17
Bills,Buccaneers,"[10]","[7, 124]",12
Vikings,Eagles,"[14, 117]","[8]",-31
Cardinals,Raiders,"[15]","[19, 89]",23
Patriots,Rams,"[23]","[31, 126]",9
Packers,Saints,"[27, 147]","[14]",-42
Chiefs,Ravens,"[31, 94]","[21]",-15
Browns,Texans,"[12]","[25, 89, 150]",34
Steelers,Broncos,"[20]","[24, 113]",8
Lions,Cowboys,"[51, 117]","[34]",-18
Panthers,Seahawks,"[40]","[56, 85]",22
Dolphins,Raiders,"[48, 78]","[36]",-11
Jaguars,Giants,"[33, 106]","[42, 71, 146]",37
Falcons,Titans,"[62, 95]","[47]",-8
Chargers,49ers,"[71]","[89, 183]",6
Bengals,Chiefs,"[77]","[84, 209]",10
Texans,Eagles,"[83, 198]","[73]",-14
Ravens,Patriots,"[96]","[105, 178]",5
Buccaneers,Rams,"[104]","[126, 176, 231]",16
Cowboys,Lions,"[88]","[111, 129]",12
49ers,Broncos,"[117]","[135, 212, 254]",9
Bills,Commanders,"[122, 234]","[109]",-13
Raiders,Vikings,"[132, 212]","[114, 218]",-4
Colts,Jets,"[137, 246]","[123]",-7
Eagles,Browns,"[145, 200]","[164, 175, 223]",3
Saints,Packers,"[175, 244]","[153]",-6
Giants,Jets,"[187, 233]","[163]",-9
Panthers,Seahawks,"[226, 227]","[198, 239, 242]",4
Lions,Jaguars,"[1]","[7, 38, 201, 'Next Year 1st']",63
Dolphins,Eagles,"[6, 156]","[12, 123, 246, 'Next Year 1st']",27
Rams,Titans,"[15, 43, 45, 76, 'Next Year 1st', 'Next Year 3rd']","[1, 113, 177]",-59
Patriots,49ers,"[43, 118]","[31, 'Next Year 3rd']",11
Jets,Colts,"[34, 107, 207]","[42, 73, 107, 'Next Year 4th']",19
Giants,Bears,"[11]","[20, 87, 197, 'Next Year 4th']",48
Seahawks,Packers,"[56, 'Next Year 5th']","[48, 121]",-9
Saints,Dolphins,"[48, 78, 222]","[62, 101, 173, 217, 'Next Year 3rd']",21
Buccaneers,Bills,"[7]","[12, 53, 205]",38
Eagles,Cardinals,"[12, 65]","[16, 33]",-17
Steelers,Broncos,"[46]","[51, 116]",7
Washington,Falcons,"[31]","[44, 75, 139]",26
Cowboys,49ers,"[19]","[26, 137, 178]",21
Broncos,Packers,"[63]","[72, 234]",8
Giants,Patriots,"[68]","[94, 162]",15
Rams,Falcons,"[61]","[70, 203]",9
Jets,Vikings,"[79]","[86, 162]",6
Falcons,Seahawks,"[95]","[101, 184]",3
49ers,Cardinals,"[106]","[131, 204]",12
Bills,Chiefs,"[122]","[139, 208]",9
Lions,Eagles,"[133]","[146, 217]",5
Jets,Saints,"[141]","[160, 193]",7
Bengals,Cowboys,"[152]","[167, 207]",5
Buccaneers,Patriots,"[29]","[48, 'Next Year 2nd']",29
Lions,Packers,"[34]","[45, 114, 'Next Year 5th']",16
Vikings,Jets,"[23]","[35, 69, 'Next Year 5th']",24
Seahawks,Broncos,"[64]","[76, 112, 'Next Year 6th']",11
Texans,Browns,"[25]","[44, 99, 158, 'Next Year 3rd']",33
Chargers,Rams,"[37]","[45, 118, 'Next Year 2nd']",41
Ravens,Eagles,"[25]","[42, 60, 74, 196]",29
49ers,Bears,"[4]","[13, 55, 83, 'Next Year 3rd']",53
Chiefs,Bills,"[10]","[22, 54, 159]",25
Dolphins,Vikings,"[11]","[23, 87, 158]",26
Raiders,Cardinals,"[12]","[27, 97, 135]",31
Titans,Packers,"[18]","[26, 102, 214]",14
Eagles,Steelers,"[22]","[34, 52, 152]",20
Jaguars,Buccaneers,"[27]","[45, 76, 119]",28
Lions,Ravens,"[113]","[129, 204, 'Next Year 7th']",6
Browns,Patriots,"[132]","[147, 203, 'Next Year 7th']",5
Vikings,Dolphins,"[50, 198]","[77, 125, 'Next Year 6th']",19
Panthers,Commanders,"[103, 'Next Year 6th']","[114, 144, 149]",4
